age (Calibrated),temperature (degC)
24.112,0.698
262.29,1.621
365.583,0.759
535.961,0.698
794.909,1.478
984.862,0.965
1629.686,2.257
2328.464,0.965
3550.073,2.504
3908.414,1.416
4167.203,2.155
4397.662,1.088
4910.704,1.396
5109.332,3.119
5361.516,2.155
5549.639,1.17
5834.45,3.119
6214.994,2.257
7264.077,3.304
8011.795,3.632
8334.008,4.228
