year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1458,492,209.445,26.73,4.21,171.036
1093,857,627.443,25.77,3.87,270.696
728,1222,1045.161,24.48,3.44,312.921
546,1404,1253.957,24.75,3.53,320.884
182,1768,1671.435,25.85,3.89,313.851
-183,2133,2088.748,27.08,4.35,273.142
-365,2315,2297.318,26.61,4.17,235.286
-730,2680,2713.712,25.24,3.69,45.819
-1095,3045,3075.758,28.01,4.73,219.104
-1277,3227,3256.525,26.1,3.98,254.147
-1642,3592,3617.938,28.25,4.83,292.063
-2006,3956,3979.238,27.96,4.71,299.211
-2188,4138,4159.849,24.89,3.57,292.408
-2553,4503,4520.983,26.12,3.99,255.507
-2918,4868,4881.925,27.43,4.49,170.742
-3100,5050,5061.991,26.07,3.97,77.894
-3295,5245,5257.45,26.36,4.08,181.214
-3490,5440,5452.392,26.2,4.02,242.504
-3588,5538,5549.825,26.26,4.04,266.834
-3783,5733,5744.648,27.07,4.34,307.795
-3978,5928,5939.432,26.68,4.2,341.433
-4075,6025,6036.812,26.32,4.06,356.161
-4270,6220,6231.555,26.44,4.1,382.23
-4466,6416,6426.278,26.74,4.21,404.486
-4563,6513,6523.633,25.69,3.84,414.376
-4758,6708,6718.332,26.56,4.15,431.962
-4953,6903,6913.017,26.18,4.01,446.899
-5051,7001,7010.354,26.6,4.16,453.456
-5246,7196,7205.021,26.65,4.18,464.875
-5441,7391,7399.677,25.3,3.7,474.163
-5538,7488,7497,28.21,4.81,478.048
-5734,7684,7691.641,25.86,3.9,484.356
-5929,7879,7886.271,25.86,3.9,488.777
-6026,7976,7983.583,26.68,4.19,490.296
-6221,8171,8178.199,26.59,4.16,491.971
-6416,8366,8372.806,26.03,3.96,491.84
-6514,8464,8470.106,26.31,4.06,491.098
-6709,8659,8664.699,24.16,3.34,488.249
-6904,8854,8859.282,25.9,3.91,483.55
-7002,8952,8956.57,27.16,4.38,480.491
-7197,9147,9151.139,26.11,3.99,472.905
-7392,9342,9345.696,26.67,4.19,463.28
-7489,9439,9442.971,26.99,4.31,457.663
-7684,9634,9637.511,25.8,3.87,444.72
-7879,9829,9832.038,26.25,4.04,429.319
-7977,9927,9929.296,26.88,4.27,420.615
-8172,10122,10123.801,25.89,3.91,400.979
-8367,10317,10318.287,25.96,3.93,377.98
-8465,10415,10415.522,25.92,3.92,365.025
-8660,10610,10609.973,26.5,4.13,335.641
-8855,10805,10804.39,25.24,3.69,300.475
-8952,10902,10901.582,27.71,4.6,280.059
-9147,11097,11095.912,25.49,3.77,231.08
-9342,11292,11290.095,26.27,4.04,163.128
-9440,11390,11386.794,26.5,4.12,112.589
-9649,11599,11613.151,26.32,4.06,209.267
-9857,11807,11838.916,25.91,3.91,269.066
-9961,11911,11951.754,25.27,3.69,292.709
-10170,12120,12177.378,25.48,3.76,331.936
-10378,12328,12402.95,26.61,4.17,363.207
-10483,12433,12515.722,26.26,4.04,376.494
-10691,12641,12741.241,25.74,3.85,399.143
-11004,12954,13079.467,25.9,3.91,424.772
-11525,13475,13643.06,26.2,4.02,449.01
-11734,13684,13868.458,25.66,3.83,452.944
-12046,13996,14206.514,26.14,3.99,452.973
-12255,14205,14431.855,26.01,3.95,449.067
-12568,14518,14769.815,25.24,3.68,437.079
-12776,14726,14995.081,25.88,3.9,424.711
-13089,15039,15332.894,26.26,4.04,398.708
-13297,15247,15558.01,25.65,3.82,375.514
-13610,15560,15894.98,26.24,4.03,328.036
