depth (cm),age (BP),d18O (permil)
0.5,29,3.37
1.5,86,3.64
2.5,143,3.54
3.5,201,3.39
4.5,258,3.72
5.5,315,3.74
6.5,372,3.75
7.5,430,3.96
8.5,487,3.53
9.5,544,3.26
10.5,602,3.42
11.5,659,3.84
12.5,746,3.48
13.5,833,3.44
14.5,920,3.52
15.5,1006,3.65
16.5,1093,3.43
17.5,1180,3.69
18.5,1267,3.58
19.5,1354,3.64
20.5,1441,3.56
21.5,1527,3.52
22.5,1614,3.5
23.5,1701,3.4
24.5,1788,3.46
25.5,1875,3.61
26.5,1962,3.61
27.5,2048,3.72
28.5,2135,3.69
29.5,2222,3.71
30.5,2309,3.55
31.5,2396,3.38
32.5,2483,3.68
33.5,2569,3.62
34.5,2656,3.46
35.5,2743,3.55
36.5,2830,3.59
37.5,2846,3.57
38.5,2862,3.65
39.5,2878,NA
40.5,2894,3.38
41.5,2910,3.59
42.5,2926,3.68
43.5,2942,3.46
44.5,2958,3.46
45.5,2974,NA
46.5,2990,NA
47.5,3006,NA
48.5,3022,3.22
49.5,3039,NA
50.5,3055,3.21
51.5,3071,3.29
52.5,3087,3.56
53.5,3103,NA
54.5,3119,NA
55.5,3135,3.41
56.5,3151,3.6
57.5,3167,3.71
58.5,3183,3.45
59.5,3199,3.65
60.5,3215,3.67
61.5,3249,3.36
62.5,3301,3.46
63.5,3354,3.51
64.5,3406,3.58
65.5,3458,3.52
66.5,3510,3.63
67.5,3562,3.57
68.5,3615,3.51
69.5,3667,3.44
70.5,3719,3.42
71.5,3771,3.61
72.5,3824,3.46
73.5,3876,3.53
74.5,3928,3.45
75.5,3980,3.51
76.5,4032,3.35
77.5,4085,3.43
78.5,4137,3.36
79.5,4195,3.67
80.5,4258,3.94
81.5,4322,3.76
82.5,4385,4.04
83.5,4449,4.01
84.5,4512,4.03
85.5,4576,3.93
86.5,4639,3.85
87.5,4703,3.72
88.5,4766,3.74
89.5,4830,3.69
90.5,4893,3.73
91.5,4957,3.99
92.5,5020,4.02
93.5,5084,3.81
94.5,5147,3.82
95.5,5211,3.84
96.5,5274,3.72
97.5,5338,4.08
98.5,5401,3.83
99.5,5465,3.68
100.5,5528,3.8
101.5,5577,3.63
102.5,5625,3.77
103.5,5674,3.53
104.5,5723,3.56
105.5,5771,3.77
106.5,5820,3.64
107.5,5869,3.65
108.5,5917,3.95
109.5,5966,3.71
110.5,6015,3.74
111.5,6063,3.73
112.5,6112,3.62
113.5,6161,3.68
114.5,6209,3.56
115.5,6258,3.56
116.5,6307,3.72
117.5,6355,3.68
118.5,6404,3.5
119.5,6453,3.74
120.5,6501,3.81
121.5,6550,NA
122.5,6599,3.65
123.5,6647,3.53
124.5,6696,3.64
125.5,6745,3.65
126.5,6784,3.69
127.5,6814,3.61
128.5,6844,3.64
129.5,6874,3.54
130.5,6904,3.59
131.5,6934,NA
132.5,6964,3.48
133.5,6994,3.67
134.5,7025,3.51
135.5,7055,3.42
136.5,7085,3.54
137.5,7115,3.54
138.5,7145,3.59
139.5,7175,3.45
140.5,7205,3.61
141.5,7235,3.53
142.5,7265,3.56
143.5,7289,3.51
144.5,7308,3.6
145.5,7326,3.56
146.5,7345,3.69
147.5,7363,3.52
148.5,7382,3.57
149.5,7400,3.69
150.5,7419,3.63
151.5,7437,3.32
152.5,7455,3.72
153.5,7474,3.69
154.5,7492,3.69
155.5,7511,3.44
156.5,7529,3.36
157.5,7548,3.58
158.5,7566,3.61
159.5,7585,3.47
160.5,7603,3.37
161.5,7622,3.62
162.5,7640,3.57
163.5,7659,3.55
164.5,7677,3.5
165.5,7696,3.54
166.5,7714,3.68
167.5,7733,3.46
168.5,7751,3.68
169.5,7786,3.45
170.5,7822,3.28
171.5,7857,3.45
172.5,7892,3.53
173.5,7928,3.48
174.5,7963,3.56
175.5,7999,3.7
176.5,8034,3.45
177.5,8069,3.57
178.5,8105,3.69
179.5,8140,3.72
180.5,8175,3.53
181.5,8211,3.43
182.5,8246,3.4
183.5,8281,3.6
184.5,8317,3.66
185.5,8352,3.48
186.5,8388,3.34
187.5,8423,3.38
188.5,8458,3.63
189.5,8494,3.56
190.5,8529,3.09
191.5,8564,3.49
192.5,8600,3.48
193.5,8635,3.62
194.5,8671,3.45
195.5,8706,3.67
196.5,8741,3.55
197.5,8777,3.87
198.5,8812,3.62
199.5,8847,3.61
200.5,8883,3.6
201.5,8918,NA
202.5,8953,3.81
203.5,8989,NA
204.5,9024,3.59
205.5,9060,NA
206.5,9095,3.77
207.5,9130,3.72
208.5,9166,3.37
209.5,9201,3.83
210.5,9236,3.79
211.5,9272,3.68
212.5,9307,3.77
213.5,9342,3.98
214.5,9378,3.79
215.5,9413,3.94
216.5,9449,3.77
217.5,9484,3.75
218.5,9519,3.71
219.5,9555,3.92
220.5,9590,3.63
221.5,9625,3.97
222.5,9661,3.85
223.5,9696,3.69
224.5,9731,NA
225.5,9767,3.9
226.5,9802,NA
227.5,9838,NA
228.5,9873,3.63
229.5,9908,NA
230.5,9944,NA
231.5,9979,NA
