depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
185,Carbon-14,108629,50,5820,organic silt,NA
243.5,Carbon-14,108630,90,8760,organic silt,NA
262,Carbon-14,108631,100,9470,organic silt,NA
304,Carbon-14,108632,120,8280,clayey silt,NA
321,Carbon-14,108633,400,9730,clayey silt,NA
435.5,Carbon-14,108634,400,16050,silty clay,NA
485,Carbon-14,108635,100,18190,silty clay,NA
515,Carbon-14,108636,360,21600,silty clay,NA
556,Carbon-14,108637,400,21100,silty clay,NA
605,Carbon-14,108638,400,21040,silty clay,NA
652,Carbon-14,108639,200,18400,silty clay,NA
705,Carbon-14,108640,200,26200,silty clay,NA
775,Carbon-14,108641,450,32700,silty clay,NA
