depth (cm),age (yr BP),type (NA),labID (NA),depth_up (cm),depth_down (cm),error (yr),rejected (NA),notes (NA)
1.5,-13,137Cs,NA,1,2,NA,NA,NA
4,37,210Pb,NA,4,4,NA,NA,NA
13.5,620,14C,123325.0,12,15,50,NA,NA
17.5,690,14C,123324.0,16,19,60,NA,NA
32,1100,14C,120590.0,30,34,50,NA,NA
41.5,1610,14C,123320.0,40,43,50,x,Age rejected by authors
42,1240,14C,123323.0,41,43,50,NA,NA
55,1230,14C,127326.0,52,58,40,NA,NA
77,2250,14C,127327.0,76,78,40,NA,NA
79,2620,14C,125085.0,78,80,40,NA,NA
79,2440,14C,118135.0,78,80,50,NA,NA
96.5,2660,14C,no id,95,98,40,NA,NA
109,2980,14C,123322.0,108,110,50,NA,NA
122,3630,14C,127323.0,120,124,40,NA,NA
126,3940,14C,123326.0,124,128,50,NA,NA
133,3940,14C,123327.0,131.5,134.5,50,NA,NA
146.5,4260,14C,118134.0,146,147,40,NA,NA
154,4400,14C,118136.0,153,155,50,NA,NA
NA,5200,14C,123321.0,NA,NA,40,x,rejected - cannot be placed on April core
171.5,5330,14C,127325.0,170,173,50,NA,NA
NA,6680,14C,127324.0,NA,NA,50,x,Age rejected by authors
173,5910,14C,119227.0,172,174,60,NA,NA
233,650,14C,118131.0,232,234,60,NA,NA
