depth (m),age (BP),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),d18O (permil),d13C (permil)
0.075,214,235,28.05,-3.16,4.932,1.97,0.47
0.175,502,547,27.66,-3.11,4.763,NA,NA
0.275,791,857,28.2,-3.21,5,NA,NA
0.375,1083,1166,27.84,-3.15,4.839,NA,NA
0.475,1377,1473,26.62,-2.96,4.336,NA,NA
0.575,1672,1780,27.66,-3.09,4.761,2.11,0.54
0.675,1968,2085,27.85,-3.1,4.845,NA,NA
0.775,2266,2390,27.08,-3.16,4.519,NA,NA
0.875,2567,2694,28.72,-3.15,5.24,NA,NA
1.075,3176,3299,27.2,-3.07,4.567,NA,NA
1.175,3485,3600,27.57,-3.22,4.723,NA,NA
1.275,3796,3901,27.45,-3,4.674,NA,NA
1.375,4109,4200,28.05,-3.27,4.932,NA,NA
1.475,4420,4496,28.33,-3.29,5.057,NA,NA
1.575,4729,4787,26.68,-3.13,4.361,NA,NA
1.675,5031,5073,27.58,-3.14,4.725,2.16,0.29
1.775,5322,5349,27.8,-3.24,4.823,NA,NA
1.875,5598,5614,27.32,-3.05,4.616,NA,NA
1.975,5856,5865,28.16,-2.8,4.979,NA,NA
2.075,6101,6105,28.04,-3.25,4.925,NA,NA
2.155,6288,6290,27.7,-3.07,4.78,2.13,0.33
2.255,6512,6513,28.78,-3.18,5.266,NA,NA
2.355,6727,6729,28.05,-3.24,4.931,1.99,-0.22
2.455,6934,6939,27.92,-3.14,4.875,NA,NA
2.555,7135,7143,28.09,-3.21,4.951,NA,NA
2.655,7330,7343,27.82,-3.12,4.83,NA,NA
2.755,7520,7538,28.17,-2.94,4.986,NA,NA
2.855,7704,7729,27.99,-2.95,4.904,2.09,0.03
2.955,7883,7917,28.12,-3.09,4.961,NA,NA
3.055,8057,8100,28.22,-2.77,5.007,NA,NA
3.155,8225,8279,28.1,-2.8,4.956,NA,NA
3.175,8258,8314,27.41,-2.889,4.655,NA,NA
3.195,8291,8350,27.96,-2.824,4.89,NA,NA
3.215,8324,8385,28.12,-2.975,4.964,NA,NA
3.235,8356,8420,27.94,-2.858,4.883,NA,NA
3.255,8389,8454,28.56,-2.81,5.165,2.39,-0.22
3.275,8421,8489,27.99,-2.839,4.907,NA,NA
3.295,8453,8523,28.95,-2.911,5.346,NA,NA
3.315,8485,8558,28.63,-2.872,5.196,NA,NA
3.335,8517,8592,28.91,-3.048,5.329,NA,NA
3.355,8548,8626,28.4,-2.89,5.089,NA,NA
3.375,8580,8660,29.28,-2.769,5.508,NA,NA
3.395,8611,8694,29.3,-2.871,5.518,NA,NA
3.415,8643,8728,29.64,-2.76,5.688,NA,NA
3.435,8674,8762,28.31,-2.851,5.046,NA,NA
3.455,8706,8796,28.51,-2.86,5.139,NA,NA
3.475,8737,8830,28.48,-3.135,5.125,NA,NA
3.495,8768,8864,28.13,-3.032,4.968,NA,NA
3.515,8800,8898,28.63,-2.688,5.196,NA,NA
