year (AD),age (BP),"d18O (permil (SMOW, not PDB!))",d13C (permil)
-27,1977,-5.476,-6.78
-61,2011,-5.564,-6.97
-84,2034,-5.195,-6.65
-107,2057,-5.661,-6.72
-130,2080,-5.505,-6.58
-153,2103,-5.515,-6.78
-176,2126,-5.321,-6.42
-199,2149,-5.321,-6.67
-222,2172,-5.292,-6.78
-244,2194,-5.505,-6.67
-267,2217,-5.399,-5.87
-290,2240,-5.302,-6.37
-313,2263,-5.622,-6.49
-359,2309,-5.331,-6.12
-382,2332,-5.292,-6.22
-405,2355,-5.331,-6.02
-427,2377,-5.146,-5.81
-450,2400,-5.457,-6.08
-473,2423,-5.496,-6.5
-496,2446,-5.699,-6.45
-519,2469,-5.758,-6.31
-542,2492,-5.37,-5.98
-565,2515,-5.127,-6.29
-588,2538,-5.767,-6.04
-610,2560,-5.437,-6.15
-633,2583,-5.554,-6.19
-668,2618,-5.583,-5.98
-679,2629,-5.36,-6.25
-702,2652,-5.36,-6
-736,2686,-5.661,-6.02
-748,2698,-5.408,-6.29
-771,2721,-5.534,-5.86
-793,2743,-5.263,-6.08
-816,2766,-5.593,-5.9
-839,2789,-5.389,-5.84
-862,2812,-5.176,-5.7
-896,2846,-5.602,-5.88
-926,2876,-5.176,-5.56
-954,2904,-5.253,-5.4
-977,2927,-5.311,-5.54
-999,2949,-5.699,-5.67
-1022,2972,-5.399,-5.53
-1045,2995,-5.088,-5.68
-1068,3018,-5.302,-5.69
-1102,3052,-5.573,-6.1
-1137,3087,-5.253,-5.93
-1160,3110,-5.311,-5.66
-1182,3132,-5.408,-5.69
-1205,3155,-5.176,-5.34
-1228,3178,-4.943,-5.49
-1251,3201,-5.273,-5.4
-1274,3224,-5.331,-5.4
-1297,3247,-5.505,-5.4
-1320,3270,-5.088,-4.26
-1343,3293,-5.04,-5.46
-1349,3299,-5.185,-5.58
-1370,3320,-5.001,-5.37
-1388,3338,-5.379,-5.69
-1411,3361,-5.214,-5.56
-1434,3384,-5.088,-5.27
-1446,3396,-5.593,-5.35
-1480,3430,-5.583,-5.76
-1503,3453,-5.525,-4.64
-1519,3469,-5.641,-4.99
-1543,3493,-5.263,-4.79
-1560,3510,-5.079,-5.53
-1583,3533,-5.156,-5.5
-1606,3556,-5.214,-5.52
-1640,3590,-5.001,-5.81
-1656,3606,-5.137,-5.73
-1672,3622,-5.282,-5.95
-1689,3639,-5.292,-5.78
-1703,3653,-5.36,-5.53
-1721,3671,-5.117,-5.42
-1737,3687,-5.049,-5.04
-1749,3699,-5.273,-5.53
-1770,3720,-5.156,-4.65
-1786,3736,-5.738,-5.57
-1794,3744,-5.961,-5.49
-1811,3761,-5.243,-5.21
-1827,3777,-5.146,-4.81
-1853,3803,-5.758,-5.41
-1853,3803,-5.205,-5.18
-1871,3821,-5.767,-5.08
-1884,3834,-5.641,-5.12
-1902,3852,-5.631,-5.37
-1921,3871,-6.068,-5.45
-1936,3886,-5.602,-5.53
-1952,3902,-5.292,-5.69
-1965,3915,-5.651,-5.55
-1976,3926,-5.185,-5.55
-1993,3943,-6.097,-5.22
-2006,3956,-6.31,-5.55
-2022,3972,-5.496,-5.52
-2038,3988,-5.534,-5.58
-2051,4001,-5.806,-5.37
-2064,4014,-5.728,-5.58
-2079,4029,-5.399,-5.33
-2090,4040,-6.184,-5.31
-2111,4061,-5.36,-5.35
-2127,4077,-5.913,-5.27
-2144,4094,-5.99,-5.41
-2160,4110,-5.389,-5.21
-2176,4126,-5.069,-5.4
-2192,4142,-5.069,-5.54
-2217,4167,-5.651,-5.47
-2228,4178,-5.457,-5.46
-2241,4191,-5.748,-5.49
-2261,4211,-5.505,-5.45
-2278,4228,-5.282,-5.99
-2290,4240,-5.69,-4.99
-2314,4264,-5.767,-5.21
-2330,4280,-5.806,-4.98
-2347,4297,-6.301,-5.16
-2387,4337,-5.457,-5.32
-2392,4342,-5.709,-5.29
-2412,4362,-5.758,-5.37
-2430,4380,-6.039,-4.98
-2444,4394,-5.981,-5.32
-2460,4410,-5.554,-5.42
-2477,4427,-5.661,-4.45
-2490,4440,-5.593,-4.61
-2501,4451,-5.302,-4.97
-2514,4464,-5.37,-5.31
-2525,4475,-4.982,-5.03
-2542,4492,-4.982,-4.73
-2555,4505,-5.428,-5.39
-2564,4514,-5.505,-5.63
-2574,4524,-5.583,-5.72
-2587,4537,-4.875,-4.37
-2599,4549,-5.835,-5.28
-2615,4565,-5.825,-4.66
-2629,4579,-5.748,-5.27
-2642,4592,-5.321,-5.86
-2655,4605,-5.69,-5.76
-2663,4613,-5.515,-6.01
-2675,4625,-5.108,-5.82
-2680,4630,-5.554,-6.16
-2685,4635,-5.408,-6.11
-2696,4646,-5.457,-6.13
-2712,4662,-5.758,-6.01
-2724,4674,-5.205,-6.08
-2737,4687,-5.408,-6.1
-2753,4703,-6.039,-6.42
-2769,4719,-5.69,-6.21
-2782,4732,-5.573,-6.54
-2793,4743,-5.622,-6.17
-2805,4755,-5.399,-6.29
-2818,4768,-5.176,-6.25
-2834,4784,-5.428,-6.31
-2850,4800,-5.942,-6.61
-2863,4813,-5.399,-6.31
-2873,4823,-5.728,-6.29
-2891,4841,-5.651,-6.3
-2899,4849,-5.554,-6.2
-2915,4865,-5.651,-6.38
-2932,4882,-5.457,-6.26
-2945,4895,-5.049,-6.1
-2956,4906,-5.476,-6.5
-2972,4922,-5.758,-6.54
-2984,4934,-5.728,-6.22
-2997,4947,-5.156,-6.48
-3013,4963,-5.437,-5.91
-3027,4977,-5.379,-6.63
-3037,4987,-5.631,-6.42
-3049,4999,-5.418,-6.47
-3058,5008,-5.282,-6.03
-3075,5025,-5.282,-6.5
-3088,5038,-5.593,-5.97
-3097,5047,-5.515,-6.19
-3110,5060,-5.059,-6.63
-3127,5077,-5.641,-6.48
-3135,5085,-5.738,-5.85
-3146,5096,-4.991,-6.38
-3159,5109,-5.515,-6.37
-3169,5119,-4.982,-6.03
-3191,5141,-5.079,-6.44
-3200,5150,-5.282,-6.61
-3211,5161,-4.952,-6.82
-3224,5174,-5.214,-6.82
-3240,5190,-5.534,-6.62
-3250,5200,-5.282,-6.85
-3263,5213,-5.137,-6.81
-3276,5226,-5.04,-6.92
-3289,5239,-5.156,-6.57
-3299,5249,-5.68,-7.01
-3313,5263,-5.379,-6.68
-3325,5275,-5.661,-6.81
-3338,5288,-5.534,-6.81
-3346,5296,-5.457,-6.95
-3354,5304,-5.282,-6.81
-3367,5317,-5.166,-6.95
-3378,5328,-5.418,-7.38
-3391,5341,-5.486,-6.51
-3403,5353,-5.418,-6.93
-3414,5364,-5.418,-7.23
-3427,5377,-5.525,-7.58
-3437,5387,-5.719,-7.55
-3450,5400,-5.825,-7.35
-3460,5410,-5.544,-6.89
-3476,5426,-5.534,-7.35
-3487,5437,-5.709,-7.56
-3500,5450,-5.903,-7.97
-3516,5466,-5.806,-8.09
-3533,5483,-6.456,-8.33
-3549,5499,-5.408,-7.57
-3565,5515,-5.835,-7.2
-3573,5523,-5.389,-7.99
-3590,5540,-5.602,-7.42
-3606,5556,-5.185,-7.76
-3619,5569,-5.36,-7.52
-3633,5583,-5.631,-6.92
-3646,5596,-5.098,-7.99
-3663,5613,-5.544,-7.03
-3676,5626,-5.758,-7.14
-3689,5639,-5.593,-7.47
-3693,5643,-5.554,-6.86
-3719,5669,-5.379,-7.81
-3736,5686,-5.738,-8.21
-3749,5699,-5.787,-7.88
-3763,5713,-5.554,-8.29
-3780,5730,-5.447,-8.08
-3793,5743,-5.845,-7.96
-3809,5759,-5.234,-8.32
-3825,5775,-5.699,-8.03
-3841,5791,-5.486,-8.42
-3858,5808,-5.282,-7.03
-3874,5824,-5.476,-7.72
-3890,5840,-5.166,-7.93
-3906,5856,-5.961,-8.04
-3914,5864,-5.787,-8.11
-3931,5881,-5.36,-8.2
-3947,5897,-5.651,-8.47
-3963,5913,-5.728,-8.6
-3979,5929,-5.583,-8.42
-3996,5946,-5.476,-7.1
-4036,5986,-5.534,-7.63
-4053,6003,-5.622,-7.13
-4061,6011,-5.534,-8.44
-4069,6019,-5.564,-8.12
-4085,6035,-5.515,-8.07
-4101,6051,-5.447,-7.73
-4109,6059,-5.719,-7.63
-4118,6068,-5.554,-7.53
-4134,6084,-5.37,-7.57
-4150,6100,-5.389,-7.81
-4182,6132,-5.505,-8.01
-4214,6164,-5.787,-8.06
-4262,6212,-5.467,-7.86
-4310,6260,-5.476,-7.66
-4358,6308,-5.661,-7.63
-4407,6357,-5.37,-7.65
-4503,6453,-5.544,-8.11
-4615,6565,-4.982,-8.1
-4711,6661,-5.389,-7.75
-4782,6732,-5.195,-7.28
-4855,6805,-5.37,-7.85
-4920,6870,-5.447,-7.49
-4968,6918,-5.457,-7.78
-5000,6950,-5.001,-7.44
-5048,6998,-5.253,-7.46
-5096,7046,-5.04,-6.6
-5160,7110,-5.214,-7.32
-5216,7166,-5.311,-7.6
-5290,7240,-5.884,-7.41
-5346,7296,-5.176,-6.77
-5420,7370,-5.408,-7.94
-5495,7445,-4.923,-6.49
-5551,7501,-5.292,-7.51
-5606,7556,-5.156,-7.2
-5625,7575,-5.263,-7.4
-5681,7631,-5.253,-7.32
-5755,7705,-5.767,-8.27
-5792,7742,-5.806,-8.27
-5848,7798,-5.728,-7.92
-5896,7846,-5.399,-8.07
-5941,7891,-5.699,-8.12
-6015,7965,-5.379,-7.11
-6034,7984,-5.554,-7.53
-6112,8062,-5.156,-7.58
-6146,8096,-5.117,-7.44
-6194,8144,-5.34,-7.16
-6220,8170,-5.467,-7.24
-6276,8226,-5.108,-7.29
-6313,8263,-5.379,-7.32
-6369,8319,-5.321,-7.34
-6425,8375,-5.36,-7.49
-6499,8449,-5.185,-7
-6555,8505,-5.699,-7.68
-6611,8561,-5.214,-7.72
-6648,8598,-5.302,-7.97
