depth (cm) [1-1],age (BP) [1-1],OM (percent) [1-1],age (BP) [1-2],BSi (missing) [1-2],depth (cm) [2-1],age (BP) [2-1],BSi (missing) [2-1],BSi (mg g-1) [2-1],age (BP) [2-2],BSi (missing) [2-2]
0.5,-52,3.4,8177.501,2.785,0.125,-55.103,2.744,15.555,8177.501,2.785
2.75,-36,3.85,8145.501,NA,0.375,-53.305,2.743,15.535,8145.501,NA
4.75,-21,3.35,8113.501,NA,0.625,-51.5,2.603,13.502,8113.501,NA
7.25,-2,2.9,8081.501,NA,0.875,-49.69,2.317,10.147,8081.501,NA
9.75,18,3.92,8049.501,NA,1.125,-47.873,2.142,8.515,8049.501,NA
12.25,39,3.31,8017.501,NA,1.375,-46.05,2.126,8.382,8017.501,NA
15,62,2.88,7985.501,NA,1.625,-44.222,2.159,8.666,7985.501,NA
17.5,83,2.88,7953.501,NA,1.875,-42.387,2.164,8.704,7953.501,NA
20,105,2.78,7921.501,1.996,2.125,-40.546,2.153,8.614,7921.501,1.996
22.5,128,3.17,7889.501,NA,2.375,-38.699,2.11,8.247,7889.501,NA
25,151,3.04,7857.501,NA,2.625,-36.847,2.156,8.639,7857.501,NA
27.5,174,3.13,7825.501,NA,2.875,-34.988,2.049,7.757,7825.501,NA
30,197,2.5,7793.501,NA,3.125,-33.124,2.002,7.401,7793.501,NA
32.5,222,2.69,7761.501,NA,3.375,-31.253,2.064,7.874,7761.501,NA
35,246,2.85,7729.501,NA,3.625,-29.377,1.906,6.724,7729.501,NA
37.5,271,3.21,7697.501,NA,3.875,-27.495,1.986,7.288,7697.501,NA
40,296,3.03,7665.501,2.249,4.125,-25.607,1.828,6.222,7665.501,2.249
42.5,321,3.02,7633.501,NA,4.375,-23.713,1.87,6.489,7633.501,NA
45,347,2.67,7601.501,NA,4.625,-21.814,1.929,6.88,7601.501,NA
47.5,373,2.86,7569.501,NA,4.875,-19.909,2.032,7.629,7569.501,NA
50,399,2.98,7537.501,2.511,5.125,-17.997,2.213,9.141,7537.501,2.511
52.5,426,3.11,7505.501,NA,5.375,-16.081,2.416,11.206,7505.501,NA
55,452,2.67,7473.501,NA,5.625,-14.158,2.039,7.683,7473.501,NA
57.5,479,3.26,7441.501,NA,5.875,-12.23,1.909,6.745,7441.501,NA
60,507,3.19,7409.501,1.945,6.125,-10.296,2.034,7.648,7409.501,1.945
62.5,534,3.13,7377.501,NA,6.375,-8.357,1.877,6.536,7377.501,NA
65,562,2.99,7345.501,NA,6.625,-6.412,1.945,6.99,7345.501,NA
67.5,589,3.43,7313.501,NA,6.875,-4.461,1.979,7.234,7313.501,NA
70,617,3.66,7281.501,2.311,7.125,-2.505,1.857,6.403,7281.501,2.311
72.5,646,3.69,7249.501,NA,7.375,-0.544,1.873,6.505,7249.501,NA
75,674,3.67,7217.501,NA,7.5,0.439,1.876,6.529,7217.501,NA
77.5,702,3.67,7185.501,0.808,7.625,1.424,2.217,9.176,7185.501,0.808
80.5,736,3.66,7153.501,NA,7.875,3.397,1.853,6.377,7153.501,NA
82.5,759,3.28,7121.501,NA,8.125,5.375,1.973,7.193,7121.501,NA
85,788,3.69,7089.501,NA,8.375,7.359,1.787,5.973,7089.501,NA
87.5,817,3.16,7057.501,1.851,8.5,8.352,1.697,5.46,7057.501,1.851
90,846,3.44,7025.501,NA,8.625,9.348,1.945,6.994,7025.501,NA
92.5,875,3.61,6993.501,NA,8.875,11.342,1.953,7.047,6993.501,NA
95,904,3.56,6961.501,1.77,9.125,13.342,1.901,6.692,6961.501,1.77
97.5,933,3.4,6929.501,2.021,9.5,16.353,1.955,7.062,6929.501,2.021
100,962,3.41,6897.501,NA,10.5,24.438,1.769,5.865,6897.501,NA
102.5,991,4.05,6865.501,NA,11.5,32.609,1.825,6.206,6865.501,NA
105,1021,3.42,6833.501,2.231,14.25,55.502,1.636,5.132,6833.501,2.231
107.5,1050,3.17,6801.501,NA,15.25,63.978,1.378,3.967,6801.501,NA
110,1079,3.33,6769.501,NA,16.25,72.532,1.856,6.401,6769.501,NA
112.5,1109,2.62,6737.501,2.445,17.25,81.163,1.565,4.782,6737.501,2.445
115,1138,2.92,6705.501,NA,18.25,89.87,1.929,6.882,6705.501,NA
117.5,1167,3.05,6673.501,NA,19.25,98.652,1.756,5.791,6673.501,NA
120,1197,3.26,6641.501,NA,21.25,116.436,1.89,6.616,6641.501,NA
122.5,1226,2.95,6609.501,1.521,22.25,125.435,1.78,5.928,6609.501,1.521
125,1256,3.08,6577.501,NA,23.25,134.504,1.751,5.762,6577.501,NA
127.5,1285,2.58,6545.501,NA,24.25,143.642,1.811,6.114,6545.501,NA
130,1314,3.22,6513.501,2.422,25.25,152.848,1.793,6.005,6513.501,2.422
132.5,1344,2.73,6481.501,NA,26.25,162.12,1.753,5.77,6481.501,NA
135,1373,2.99,6449.501,NA,27.25,171.457,1.844,6.325,6449.501,NA
137.5,1403,3.59,6417.501,2.001,28.25,180.859,1.581,4.858,6417.501,2.001
140,1432,3.13,6385.501,NA,30.25,199.851,1.803,6.066,6385.501,NA
142.5,1461,3.31,6353.501,NA,31.25,209.439,1.894,6.649,6353.501,NA
145,1491,3.58,6321.501,2.333,32.25,219.087,1.877,6.535,6321.501,2.333
147.5,1520,3.86,6289.501,NA,33.25,228.793,1.84,6.295,6289.501,NA
150,1549,3.47,6257.501,NA,34.25,238.557,1.846,6.331,6257.501,NA
152.5,1579,4.38,6225.501,2.461,35.25,248.378,1.917,6.803,6225.501,2.461
155,1608,3.99,6193.501,NA,36.25,258.254,1.943,6.982,6193.501,NA
157.5,1637,3.43,6161.501,NA,37.25,268.185,2.161,8.682,6161.501,NA
160,1667,4.07,6129.501,2.728,38.25,278.169,1.937,6.937,6129.501,2.728
162.5,1696,3.88,6097.501,NA,39.25,288.205,1.931,6.895,6097.501,NA
165,1725,3.75,6065.501,NA,41.25,308.432,1.952,7.041,6065.501,NA
167.5,1754,3.88,6033.501,2.711,42.25,318.62,1.933,6.909,6033.501,2.711
170,1784,3.7,6001.501,NA,43.25,328.856,1.915,6.784,6001.501,NA
172.5,1813,3.56,5969.501,NA,44.25,339.14,1.864,6.448,5969.501,NA
175,1842,2.84,5937.501,2.412,45.25,349.471,1.846,6.337,5937.501,2.412
180,1901,4.13,5905.501,NA,46.25,359.846,1.912,6.769,5905.501,NA
185,1960,3.66,5873.501,NA,47.25,370.267,1.962,7.117,5873.501,NA
187.5,1989,3.38,5841.501,2.071,48.25,380.731,1.879,6.549,5841.501,2.071
190,2019,3.76,5809.501,NA,49.25,391.238,1.881,6.56,5809.501,NA
192.5,2048,4.03,5777.501,1.955,51.25,412.376,2.025,7.573,5777.501,1.955
195,2078,2.53,5745.501,2.901,52.25,423.005,1.556,4.738,5745.501,2.901
197.5,2108,3.23,5713.501,NA,53.25,433.674,1.958,7.084,5713.501,NA
200,2137,3.4,5681.501,2.261,54.25,444.381,1.97,7.171,5681.501,2.261
202.5,2167,3.48,5649.501,NA,55.25,455.125,2.06,7.847,5649.501,NA
205,2197,3.13,5617.501,NA,56.25,465.906,2.083,8.028,5617.501,NA
207.5,2227,3.59,5585.501,1.215,57.25,476.722,2.011,7.467,5585.501,1.215
210,2257,3.9,5553.501,NA,58.25,487.573,2.23,9.296,5553.501,NA
212.5,2287,3.17,5521.501,NA,59.25,498.458,2.167,8.735,5521.501,NA
215,2318,3.54,5489.501,2.241,61.25,520.327,2.234,9.342,5489.501,2.241
217.5,2348,4.12,5457.501,NA,62.25,531.309,2.102,8.183,5457.501,NA
220,2379,2.84,5425.501,0.357,63.25,542.322,2.074,7.955,5425.501,0.357
222.5,2410,3.28,5393.501,NA,64.25,553.364,2.332,10.297,5393.501,NA
225,2441,3.46,5361.501,NA,65.25,564.436,2.106,8.211,5361.501,NA
227.5,2472,3.12,5329.501,3.001,66.25,575.536,2.113,8.272,5329.501,3.001
230,2503,3.23,5297.501,NA,67.25,586.664,2.14,8.501,5297.501,NA
232.5,2535,3.56,5265.501,0.382,68.25,597.819,2.136,8.468,5265.501,0.382
235,2566,3.03,5233.501,NA,69.25,609,2.213,9.139,5233.501,NA
237.5,2598,3.26,5201.501,2.511,71.25,631.437,2.219,9.198,5201.501,2.511
240,2631,3.77,5169.501,NA,72.25,642.692,2.121,8.342,5169.501,NA
242.5,2663,3.73,5137.501,0.961,73.25,653.97,2.117,8.303,5137.501,0.961
245,2696,3.76,5105.501,0.581,74.25,665.271,2.183,8.876,5105.501,0.581
247.5,2729,3.18,5073.501,NA,76.25,687.938,1.947,7.006,5073.501,NA
250,2762,3.68,5041.501,0.591,77.25,699.303,2.027,7.589,5041.501,0.591
252.5,2796,3.69,5009.501,NA,78.25,710.688,2.195,8.981,5009.501,NA
255,2830,3.67,4977.501,-0.501,79.25,722.092,2.069,7.921,4977.501,-0.501
257.5,2864,3.7,4945.501,NA,81.25,744.955,1.926,6.859,4945.501,NA
260,2899,3.39,4913.501,0.531,82.25,756.413,1.987,7.296,4913.501,0.531
262.5,2934,3.95,4881.501,NA,83.25,767.888,1.897,6.664,4881.501,NA
265,2970,3.31,4849.501,1.376,84.25,779.379,1.811,6.114,4849.501,1.376
267.5,3006,4.1,4817.501,2.031,86.25,802.408,1.859,6.419,4817.501,2.031
270,3042,3.45,4785.501,NA,87.25,813.944,1.943,6.983,4785.501,NA
272.5,3079,3.91,4753.501,-0.199,88.25,825.495,1.89,6.619,4753.501,-0.199
275,3116,3.14,4721.501,NA,89.25,837.058,1.67,5.312,4721.501,NA
277.5,3154,3.65,4689.501,-0.26,91.25,860.224,1.676,5.342,4689.501,-0.26
280,3193,3.42,4657.501,NA,92.25,871.825,1.887,6.598,4657.501,NA
282.5,3232,4.45,4625.501,1.571,93.25,883.437,1.784,5.954,4625.501,1.571
285,3271,3.73,4593.501,NA,94.25,895.06,1.959,7.089,4593.501,NA
287.5,3311,4.14,4561.501,0.861,96.25,918.337,2.169,8.749,4561.501,0.861
290,3352,3.88,4529.501,NA,97.25,929.989,2.002,7.406,4529.501,NA
292.5,3393,3.67,4497.501,0.341,98.25,941.651,1.707,5.512,4497.501,0.341
295,3435,3.71,4465.501,0.084,99.25,953.321,1.803,6.066,4465.501,0.084
297.5,3477,2.99,4433.501,0.231,101.25,976.685,1.92,6.823,4433.501,0.231
300,3521,3.49,4401.501,NA,102.25,988.378,1.906,6.723,4401.501,NA
302.5,3565,3.36,4369.501,1.541,103.25,1000.077,1.96,7.101,4369.501,1.541
305,3609,3.57,4337.501,-0.364,104.25,1011.783,2.016,7.511,4337.501,-0.364
307.5,3655,4.48,4305.501,NA,106.25,1035.213,1.795,6.019,4305.501,NA
310,3701,3.31,4273.501,0.491,107.25,1046.936,1.949,7.024,4273.501,0.491
312.5,3748,4.11,4241.501,NA,108.25,1058.664,1.553,4.724,4241.501,NA
315,3796,4.02,4209.501,-0.15,109.25,1070.396,1.766,5.847,4209.501,-0.15
317.5,3845,3.78,4177.501,NA,111.25,1093.873,1.952,7.043,4177.501,NA
320,3894,3.64,4145.501,0.341,112.25,1105.616,1.854,6.384,4145.501,0.341
322.5,3945,3.82,4113.501,-0.602,113.25,1117.363,1.857,6.402,4113.501,-0.602
325,3996,3.77,4081.501,NA,114.25,1129.113,2.003,7.41,4081.501,NA
327.5,4049,3.87,4049.501,-0.149,116.25,1152.62,1.936,6.928,4049.501,-0.149
330,4102,3.52,4017.501,-0.492,117.25,1164.377,1.952,7.043,4017.501,-0.492
332.5,4157,4.36,3985.501,-0.249,118.25,1176.136,1.864,6.452,3985.501,-0.249
335,4212,4.1,3953.501,-0.199,119.25,1187.896,1.896,6.657,3953.501,-0.199
337.5,4269,4.51,3921.501,NA,121.25,1211.419,1.706,5.508,3921.501,NA
340,4326,3.54,3889.501,-0.465,122.25,1223.182,1.849,6.356,3889.501,-0.465
342.5,4385,5.56,3857.501,-0.239,123.25,1234.946,1.822,6.183,3857.501,-0.239
345,4445,4.25,3825.501,NA,124.25,1246.71,1.65,5.205,3825.501,NA
347.5,4506,4.36,3793.501,-0.046,126.25,1270.238,1.784,5.952,3793.501,-0.046
350,4569,4.52,3761.501,0.091,127.25,1282.002,1.891,6.623,3761.501,0.091
352.5,4632,5.59,3729.501,NA,128.25,1293.766,1.824,6.195,3729.501,NA
355,4697,3.78,3697.501,-0.035,129.25,1305.529,1.81,6.109,3697.501,-0.035
357.5,4763,3.82,3665.501,0.461,131.25,1329.052,1.81,6.109,3665.501,0.461
360,4831,6.05,3633.501,NA,132.25,1340.813,1.702,5.482,3633.501,NA
362.5,4900,4.55,3601.501,-0.365,133.25,1352.572,1.496,4.466,3601.501,-0.365
365,4970,3.63,3569.501,-0.659,136.25,1387.842,1.786,5.968,3569.501,-0.659
367.5,5042,4.61,3537.501,0.616,137.25,1399.596,1.764,5.838,3537.501,0.616
370,5115,4.6,3505.501,-0.529,138.25,1411.349,1.77,5.868,3505.501,-0.529
372.5,5190,6.53,3473.501,-1.029,139.25,1423.099,1.79,5.99,3473.501,-1.029
375,5266,4.68,3441.501,-0.251,141.25,1446.595,1.882,6.569,3441.501,-0.251
377.5,5344,7.02,3409.501,NA,142.25,1458.341,2.009,7.459,3409.501,NA
380,5424,4.6,3377.501,-0.349,143.25,1470.084,2.036,7.663,3377.501,-0.349
382.5,5505,6.26,3345.501,-0.254,144.25,1481.826,2.162,8.691,3345.501,-0.254
385,5588,6.16,3313.501,0.121,146.25,1505.304,2.121,8.336,3313.501,0.121
387.5,5672,6.28,3281.501,-0.369,147.25,1517.04,1.96,7.098,3281.501,-0.369
390,5759,6.92,3249.501,NA,148.25,1528.775,2.074,7.957,3249.501,NA
392.5,5847,6.09,3217.501,0.431,149.25,1540.507,1.858,6.409,3217.501,0.431
395,5937,7.06,3185.501,-0.452,152.25,1575.695,2.259,9.575,3185.501,-0.452
397.5,6029,6.73,3153.501,-0.369,153.25,1587.421,2.304,10.011,3153.501,-0.369
400,6122,7.26,3121.501,-0.625,154.25,1599.145,2.114,8.284,3121.501,-0.625
402.5,6218,6.48,3089.501,-0.109,156.25,1622.59,2.035,7.649,3089.501,-0.109
405,6316,6.38,3057.501,-0.753,157.25,1634.311,2.302,9.993,3057.501,-0.753
407.5,6415,6.02,3025.501,NA,158.25,1646.031,2.192,8.957,3025.501,NA
410,6517,6.46,2993.501,0.081,159.25,1657.749,2.291,9.887,2993.501,0.081
