depth (cm),age (BP),temperature (degC)
968,-37,12.221
970,13,12.534
972,72,12.082
976,191,12.467
980,313,12.189
984,437,12.014
988,565,11.899
992,698,11.846
996,837,11.804
1000,983,11.989
1004,1137,11.924
1010,1381,12.371
1014,1552,12.146
1018,1729,12.88
1022,1912,12.35
1026,2100,12.239
1030,2293,12.69
1034,2490,12.787
1038,2690,12.612
1042,2893,12.696
1046,3097,12.918
1050,3301,13.321
1054,3505,12.879
1058,3707,12.362
1062,3907,13.22
1066,4105,13.028
1070,4301,13.266
1074,4495,12.943
1078,4689,13.115
1082,4882,12.835
1086,5076,13.317
1090,5271,13.233
1094,5467,13.24
1098,5666,14.027
1102,5868,13.284
1106,6075,13.558
1110,6288,13.469
1114,6507,13.522
1118,6734,13.103
1122,6970,12.959
1126,7216,13.262
1130,7473,13.584
1134,7741,13.349
1138,8020,13.416
1140,8165,13.17
1142,8313,12.862
1144,8464,13.035
1146,8619,12.798
1148,8777,12.17
1150,8938,12.204
