depth (cm),age (yr BP),Reference (unitless),Site Name (unitless),State (unitless),Core ID (unitless),Lab ID (unitless),Type of material dated (unitless),Depth of top of sample (cm) (unitless),Depth of bottom of sample (cm) (unitless),error (yr),14C age youngest (yrs before 1950 AD) (unitless),14C age oldest (yrs before 1950 AD) (unitless),calibrated age (yrs before 1950 AD) (unitless),youngest calibrated age (yrs before 1950 AD) (unitless),oldest calibrated age (yrs before 1950 AD) (unitless),1 sigma or 2 sigma? (unitless),Reservoir Correction/R (unitless),Calibration used (unitless),Comments (unitless)
2,2050,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-3 2 cm,NA,mixed benthic,NA,NA,30,2020,2080,NA,NA,NA,NA,NA,NA,Intervals where the polynomial Calendar age = (3.0126 106 (Res. corr. 14C age)2 + (1.2896 Res. corr. 14C age) 1005 of Bard [1998] rather than the Calib 4.3 program of Stuiver and Reimer [1993] was used to convert radiocarbon ages. 22
22.5,2230,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-3 22-23 cm,NOSAMS 25612,mixed benthic,NA,NA,35,2195,2265,1159.959,NA,NA,NA,725,NA,NA
50.5,3030,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-3 50-51 cm,NOSAMS 22946,mixed benthic,NA,NA,40,2990,3070,2071.959,NA,NA,NA,725,NA,NA
70,3690,NA,MV99-GC31,Mexico,GC31-3 70 cm,NA,mixed benthic,NA,NA,45,3645,3735,NA,NA,NA,NA,NA,NA,NA
100.5,3840,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-3 100-101 cm,NOSAMS 22947,mixed benthic,NA,NA,50,3790,3890,2995.359,NA,NA,NA,725,NA,NA
123,5130,NA,MV99-GC31,Mexico,GC31-3 123 cm,NA,mixed benthic,NA,NA,60,5070,5190,NA,NA,NA,NA,NA,NA,NA
150.5,5810,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-2 0-1 cm,NOSAMS 22948,mixed benthic,NA,NA,40,5770,5850,5241.159,NA,NA,NA,725,NA,NA
200.5,7190,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-2 50-51 cm,NOSAMS 22949,mixed benthic,NA,NA,50,7140,7240,6814.359,NA,NA,NA,725,NA,NA
250.5,8980,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-2 100-101 cm,NOSAMS 22955,mixed benthic,NA,NA,60,8920,9040,8854.959,NA,NA,NA,725,NA,NA
300.5,10050,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-1 8-9 cm,NOSAMS 23513,mixed benthic,NA,NA,410,9640,10460,9618.759,NA,NA,NA,1125,NA,NA
324.5,11600,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-1 32-33 cm,NOSAMS 25611,mixed benthic,NA,NA,70,11530,11670,12174.383,NA,NA,NA,1125,NA,NA
350.5,13500,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-1 58-59 cm,NOSAMS 22956,mixed benthic,NA,NA,70,13430,13570,14494.378,NA,NA,NA,1125,NA,NA
386.5,13650,van Geen A. Y. Zheng J. M. Bernhard K. G. Cannariato J. Carriquiry W. E. Dean B. W. Eakins J. D. Ortiz and J. Pike (2003) On the preservation of laminated sediments along the western margin of North America Paleoceanography 18 1098 doi:10.1029/ 2003PA000911.,MV99-GC31,Mexico,GC31-1 94-95 cm,NOSAMS 22957,mixed benthic,NA,NA,150,13500,13800,14676.613,NA,NA,NA,1125,NA,NA
