depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0.5,-36.458,4.959,NA,6.65,3.268,Y
1.5,-29.179,NA,4.959,5.914,2.512,N
2.5,-21.54,5.454,NA,7.141,3.767,Y
3.5,-13.234,NA,NA,5.9,2.5,N
4.5,-2.433,NA,5.454,5.906,2.506,N
5.5,14.214,NA,NA,5.911,2.51,N
6.5,40.122,NA,NA,5.88,2.482,N
7.5,78.709,NA,NA,5.894,2.495,N
8.5,133.281,NA,NA,6.359,2.982,N
9.5,204.614,NA,NA,5.865,2.467,N
10.5,290.957,NA,NA,5.87,2.472,N
11.5,390.448,NA,NA,5.865,2.467,N
12.5,501.225,NA,NA,5.863,2.465,N
13.5,621.426,NA,NA,5.868,2.47,N
14.5,749.188,NA,NA,5.876,2.478,N
15.5,853,NA,NA,5.851,2.452,N
16.5,952.361,NA,NA,5.847,2.448,N
17.5,1051.362,NA,NA,5.89,2.491,N
18.5,1149.822,NA,NA,5.873,2.475,N
19.5,1247.684,NA,NA,6.305,2.929,N
20.5,1344.892,NA,NA,5.88,2.482,N
21.5,1441.388,NA,NA,6.005,2.613,N
22.5,1537.115,NA,NA,5.885,2.487,N
23.5,1632.017,NA,NA,5.872,2.474,N
24.5,1726.037,NA,NA,6.352,2.986,N
25.5,1819.14,NA,NA,5.853,2.454,N
26.5,1911.31,NA,NA,5.837,2.436,N
27.5,2002.551,NA,NA,5.85,2.451,N
28.5,2092.884,NA,NA,5.878,2.48,N
29.5,2182.33,NA,NA,5.888,2.489,N
30.5,2270.911,NA,NA,5.881,2.483,N
31.5,2358.65,NA,NA,5.862,2.464,N
32.5,2445.567,NA,NA,5.849,2.45,N
33.5,2531.685,NA,NA,6.337,2.96,N
34.5,2617.026,NA,NA,5.909,2.508,N
35.5,2701.603,NA,NA,6.419,3.047,N
36.5,2785.423,NA,NA,5.928,2.523,N
37.5,2868.493,NA,NA,6.467,3.094,N
38.5,2950.819,NA,NA,5.922,2.519,N
39.5,3032.408,5.133,NA,6.813,3.453,Y
40.5,3113.266,NA,NA,5.9,2.5,N
41.5,3193.4,NA,NA,5.905,2.505,N
42.5,3272.817,NA,5.133,5.892,2.493,N
43.5,3351.522,5.454,NA,7.132,3.776,Y
44.5,3429.524,NA,NA,6.351,2.974,N
45.5,3506.827,5.106,NA,6.786,3.426,Y
46.5,3583.439,6.716,NA,8.386,5.047,Y
47.5,3659.365,5.599,NA,7.274,3.925,Y
48.5,3734.614,NA,NA,6.537,3.167,N
49.5,3809.191,6.34,NA,8.016,4.663,Y
50.5,3883.102,5.978,NA,7.653,4.303,Y
51.5,3956.355,5.875,NA,7.547,4.202,Y
52.5,4028.956,NA,NA,6.593,3.224,N
53.5,4100.911,5.51,NA,7.186,3.835,Y
