depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
88.5,Carbon-14,108342,150,3010,gyttja,NA
201.5,Carbon-14,108343,260,8800,gyttja,NA
249,Carbon-14,108344,340,9870,gyttja,NA
