depth (cm),age (bp),age14C (bp),age_error (years),age_type (),lab_id (),material_dated ()
108,2340,2340,60,1,5,1
240,5020,4430,70,1,4,1
319,6360,5600,70,1,3,1
395,9770,8740,80,1,2,1
406,12030,10230,150,1,1,1
