depth (cm) [1-1],age (BP) [1-1],OM (percent) [1-1],MS (cgs) [1-1],age (BP) [1-2],BSi (percent) [1-2],depth (cm) [2-1],age (BP) [2-1],BSi (percent) [2-1],age (BP) [2-2],BSi (percent) [2-2]
0.25,-66,5.26,NA,9915.5,-2.259,2.25,-31,2.29,9915.5,-2.259
1.25,85,7.32,NA,9746.5,-2.759,4.25,-9,0.15,9746.5,-2.759
2.25,236,11.45,NA,9577.5,-1.789,6.25,20,3.06,9577.5,-1.789
3.25,385,10.76,NA,9408.5,-2.684,8.25,333,1.01,9408.5,-2.684
4.25,533,10.43,NA,9239.5,-3,10.25,1064,1.53,9239.5,-3
5.25,680,10.44,NA,9070.5,-2.864,12.25,2077,0.66,9070.5,-2.864
6.25,827,9.49,NA,8901.5,-2.767,14.25,2673,1.26,8901.5,-2.767
7.25,972,9.83,NA,8732.5,-3.224,16.5,3040,3.69,8732.5,-3.224
8.25,1116,9.69,NA,8563.5,-3.414,18.5,3254,2.91,8563.5,-3.414
9.25,1259,9.78,NA,8394.5,-3.042,20.5,3374,0.42,8394.5,-3.042
10.25,1402,15.8,NA,8225.5,-3.177,22.5,3501,2.73,8225.5,-3.177
11.5,1578,57.6,0.61,8056.5,-2.672,24.5,3690,4.31,8056.5,-2.672
12.5,1718,10,0.67,7887.5,-2.974,26.5,3958,3.89,7887.5,-2.974
13.5,1857,11.68,0.87,7718.5,-3.259,28.5,4204,1.95,7718.5,-3.259
14.5,1995,11.31,0.93,7549.5,-2.634,30.5,4425,4.35,7549.5,-2.634
15.5,2132,8.22,1.14,7380.5,-1.402,32.5,4627,6.9,7380.5,-1.402
16.5,2268,15.27,1.14,7211.5,-2.012,34.5,4814,4.5,7211.5,-2.012
17.5,2403,10.6,1.15,7042.5,-1.829,36.5,4990,2.21,7042.5,-1.829
18.5,2537,11.5,1.26,6873.5,-1.364,38.5,5159,2.32,6873.5,-1.364
19.5,2670,7.43,1.26,6704.5,0.346,40.5,5325,2.42,6704.5,0.346
20.5,2802,10.3,1.27,6535.5,-0.607,42.5,5494,0.91,6535.5,-0.607
21.5,2933,10.85,1.23,6366.5,3.846,44.5,5845,1.5,6366.5,3.846
22.5,3063,10.93,1.19,6197.5,-0.432,46.5,5845,0,6197.5,-0.432
23.5,3192,6.86,1.14,6028.5,-0.159,48.5,6018,2.36,6028.5,-0.159
24.5,3320,15.08,1.15,5859.5,-0.969,50.5,6190,0.1,5859.5,-0.969
25.5,3447,12.92,1.21,5690.5,2.468,52.5,6363,0.62,5690.5,2.468
26.5,3574,12.32,1.26,5521.5,1.216,54.5,6535,0,5521.5,1.216
27.5,3699,12.26,1.37,5352.5,0.893,56.5,6707,1.08,5352.5,0.893
28.5,3823,11.47,1.38,5183.5,1.463,58.5,6877,1.29,5183.5,1.463
29.5,3946,16.78,1.43,5014.5,1.663,60.5,7047,0.38,5014.5,1.663
30.5,4069,10.28,1.44,4845.5,1.713,62.5,7216,0,4845.5,1.713
31.5,4190,13.6,1.45,4676.5,3.083,64.5,7384,0.57,4676.5,3.083
32.5,4311,12.25,1.45,4507.5,1.193,66.5,7550,0.29,4507.5,1.193
33.5,4430,9.97,1.51,4338.5,2.658,68.5,7716,0.45,4338.5,2.658
34.5,4549,8.49,1.62,4169.5,2.178,70.5,7880,0.71,4169.5,2.178
35.5,4666,10.46,1.68,4000.5,3.113,72.5,8043,1.38,4000.5,3.113
36.5,4783,10.48,1.78,3831.5,1.878,74.5,8204,0,3831.5,1.878
37.5,4898,9.76,1.79,3662.5,2.688,76.5,8364,0.74,3662.5,2.688
38.5,5013,12.31,1.84,3493.5,2.078,78.5,8522,0.55,3493.5,2.078
39.5,5127,11.1,1.8,3324.5,2.776,80.5,8679,0.99,3324.5,2.776
40.5,5240,12.5,1.86,3155.5,-2.732,82.5,8834,1.26,3155.5,-2.732
41.5,5352,10.56,1.92,2986.5,1.693,84.5,8987,1.22,2986.5,1.693
42.5,5463,10.56,1.92,2817.5,0.708,86.5,9138,0.6,2817.5,0.708
43.5,5573,14.87,2.03,2648.5,-1.252,88.5,9287,0.68,2648.5,-1.252
44.5,5682,12.06,2.14,2479.5,1.458,90.5,9434,0.54,2479.5,1.458
45.5,5790,9.31,1.7,2310.5,5.678,92.5,9579,3,2310.5,5.678
46.5,5898,7.7,2.3,2141.5,-1.157,94.5,9721,0.69,2141.5,-1.157
47.5,6004,8.01,2.31,1972.5,1.718,96.5,9792,0.87,1972.5,1.718
48.5,6109,9.02,2.46,1803.5,2.088,98.5,10000,1.54,1803.5,2.088
49.5,6214,10.23,2.52,1634.5,24.208,100.5,10135,0.91,1634.5,24.208
50.5,6317,22.55,2.48,1465.5,6.208,110.5,10774,1.44,1465.5,6.208
51.5,6420,13.98,2.63,1296.5,0.188,120.5,11339,1.22,1296.5,0.188
52.5,6522,9.98,2.84,1127.5,0.013,130.5,11822,0.96,1127.5,0.013
53.5,6623,12.04,3,958.5,0.238,140.5,12212,0.87,958.5,0.238
54.5,6723,9.57,3.21,789.5,-0.102,150.5,12501,2.21,789.5,-0.102
55.5,6822,7.35,3.41,620.5,0.848,160.5,12501,1.36,620.5,0.848
56.5,6920,7,3.72,451.5,1.003,170.5,12828,1.76,451.5,1.003
57.5,7017,7.14,3.92,282.5,0.633,180.5,12879,0.71,282.5,0.633
58.5,7114,7.17,4.03,113.5,-2.272,190.5,12896,2.37,113.5,-2.272
59.5,7209,7.17,3.99,NA,NA,200.5,12916,0,NA,NA
60.5,7304,8.16,4.05,NA,NA,210.5,12936,1.33,NA,NA
61.5,7397,7.48,4.1,NA,NA,215.5,12946,8.25,NA,NA
62.5,7490,6.13,4.21,NA,NA,NA,NA,NA,NA,NA
63.5,7582,5.14,4.57,NA,NA,NA,NA,NA,NA,NA
64.5,7673,4.6,5.28,NA,NA,NA,NA,NA,NA,NA
65.5,7763,3.85,6.48,NA,NA,NA,NA,NA,NA,NA
66.5,7852,4.45,8.19,NA,NA,NA,NA,NA,NA,NA
67.5,7941,4.62,10.04,NA,NA,NA,NA,NA,NA,NA
68.5,8028,4.55,11.9,NA,NA,NA,NA,NA,NA,NA
69.5,8115,4.39,13.81,NA,NA,NA,NA,NA,NA,NA
70.5,8201,4.56,15.27,NA,NA,NA,NA,NA,NA,NA
71.5,8286,5.12,16.72,NA,NA,NA,NA,NA,NA,NA
72.5,8370,4.27,17.93,NA,NA,NA,NA,NA,NA,NA
73.5,8453,4.47,18.74,NA,NA,NA,NA,NA,NA,NA
74.5,8535,3.71,18.74,NA,NA,NA,NA,NA,NA,NA
75.5,8617,3.92,17.9,NA,NA,NA,NA,NA,NA,NA
76.5,8697,3.88,15.6,NA,NA,NA,NA,NA,NA,NA
77.5,8777,3.63,12.86,NA,NA,NA,NA,NA,NA,NA
78.5,8856,4.36,9.37,NA,NA,NA,NA,NA,NA,NA
79.5,8934,4.44,7.28,NA,NA,NA,NA,NA,NA,NA
80.5,9011,4.23,6.18,NA,NA,NA,NA,NA,NA,NA
81.5,9087,4.88,5.64,NA,NA,NA,NA,NA,NA,NA
82.5,9163,4.5,5.6,NA,NA,NA,NA,NA,NA,NA
83.5,9237,4.48,5.71,NA,NA,NA,NA,NA,NA,NA
84.5,9311,4.56,6.01,NA,NA,NA,NA,NA,NA,NA
85.5,9384,5.1,6.37,NA,NA,NA,NA,NA,NA,NA
86.5,9456,5.47,6.17,NA,NA,NA,NA,NA,NA,NA
87.5,9527,4.59,6.73,NA,NA,NA,NA,NA,NA,NA
88.5,9598,4.64,6.69,NA,NA,NA,NA,NA,NA,NA
89.5,9667,4.78,6.6,NA,NA,NA,NA,NA,NA,NA
90.5,9736,4.56,6.6,NA,NA,NA,NA,NA,NA,NA
91.5,9804,5.35,6.56,NA,NA,NA,NA,NA,NA,NA
92.5,9871,5.36,6.52,NA,NA,NA,NA,NA,NA,NA
93.5,9938,4.91,6.47,NA,NA,NA,NA,NA,NA,NA
94.5,10003,4.62,5.68,NA,NA,NA,NA,NA,NA,NA
95.5,10068,4.71,5.74,NA,NA,NA,NA,NA,NA,NA
96.5,10132,5.08,5.74,NA,NA,NA,NA,NA,NA,NA
97.5,10195,4.72,5.85,NA,NA,NA,NA,NA,NA,NA
98.5,10257,4.61,6.21,NA,NA,NA,NA,NA,NA,NA
99.5,10318,1.85,6.56,NA,NA,NA,NA,NA,NA,NA
100.5,10379,5.06,6.87,NA,NA,NA,NA,NA,NA,NA
101.5,10439,4.52,7.23,NA,NA,NA,NA,NA,NA,NA
102.5,10498,7.82,7.49,NA,NA,NA,NA,NA,NA,NA
103.5,10556,6.99,7.49,NA,NA,NA,NA,NA,NA,NA
104.5,10613,5.72,7.35,NA,NA,NA,NA,NA,NA,NA
105.5,10670,6.44,7.36,NA,NA,NA,NA,NA,NA,NA
106.5,10726,5.64,7.61,NA,NA,NA,NA,NA,NA,NA
107.5,10781,7.67,7.92,NA,NA,NA,NA,NA,NA,NA
108.5,10835,7.65,7.78,NA,NA,NA,NA,NA,NA,NA
109.5,10889,13.01,6.23,NA,NA,NA,NA,NA,NA,NA
110.5,10941,3.39,9.88,NA,NA,NA,NA,NA,NA,NA
111.5,10993,3.39,9.05,NA,NA,NA,NA,NA,NA,NA
112.5,11044,3.64,8.76,NA,NA,NA,NA,NA,NA,NA
113.5,11095,4,8.53,NA,NA,NA,NA,NA,NA,NA
114.5,11144,3.77,8.04,NA,NA,NA,NA,NA,NA,NA
115.5,11193,3.45,8.56,NA,NA,NA,NA,NA,NA,NA
116.5,11241,3.73,8.62,NA,NA,NA,NA,NA,NA,NA
117.5,11289,3.87,8.69,NA,NA,NA,NA,NA,NA,NA
118.5,11335,4.2,8.5,NA,NA,NA,NA,NA,NA,NA
119.5,11381,4.2,8.22,NA,NA,NA,NA,NA,NA,NA
120.5,11426,4.07,8.08,NA,NA,NA,NA,NA,NA,NA
121.5,11470,4.18,7.99,NA,NA,NA,NA,NA,NA,NA
122.5,11513,6.22,8.01,NA,NA,NA,NA,NA,NA,NA
123.5,11556,5,7.82,NA,NA,NA,NA,NA,NA,NA
124.5,11598,4.9,7.54,NA,NA,NA,NA,NA,NA,NA
125.5,11639,6.16,7.1,NA,NA,NA,NA,NA,NA,NA
126.5,11680,7.51,6.92,NA,NA,NA,NA,NA,NA,NA
127.5,11719,7.2,6.78,NA,NA,NA,NA,NA,NA,NA
128.5,11758,5.96,6.75,NA,NA,NA,NA,NA,NA,NA
129.5,11797,7.12,6.71,NA,NA,NA,NA,NA,NA,NA
130.5,11834,6.88,6.68,NA,NA,NA,NA,NA,NA,NA
131.5,11871,6.55,6.59,NA,NA,NA,NA,NA,NA,NA
132.5,11907,7.29,6.5,NA,NA,NA,NA,NA,NA,NA
133.5,11942,5,6.47,NA,NA,NA,NA,NA,NA,NA
134.5,11977,7.85,6.33,NA,NA,NA,NA,NA,NA,NA
135.5,12010,5.23,6.35,NA,NA,NA,NA,NA,NA,NA
136.5,12044,7.62,6.31,NA,NA,NA,NA,NA,NA,NA
137.5,12076,8.04,6.33,NA,NA,NA,NA,NA,NA,NA
138.5,12108,7.28,6.3,NA,NA,NA,NA,NA,NA,NA
139.5,12138,7.29,6.36,NA,NA,NA,NA,NA,NA,NA
140.5,12169,5.79,6.37,NA,NA,NA,NA,NA,NA,NA
141.5,12198,7.81,6.44,NA,NA,NA,NA,NA,NA,NA
142.5,12227,7.63,6.5,NA,NA,NA,NA,NA,NA,NA
143.5,12255,7.84,6.42,NA,NA,NA,NA,NA,NA,NA
144.5,12282,6.66,6.28,NA,NA,NA,NA,NA,NA,NA
145.5,12309,5.04,6.24,NA,NA,NA,NA,NA,NA,NA
146.5,12335,7.62,6.11,NA,NA,NA,NA,NA,NA,NA
147.5,12360,7.68,6.18,NA,NA,NA,NA,NA,NA,NA
148.5,12385,7.09,6.29,NA,NA,NA,NA,NA,NA,NA
149.5,12409,7.47,6.31,NA,NA,NA,NA,NA,NA,NA
150.5,12432,4.72,6.27,NA,NA,NA,NA,NA,NA,NA
151.5,12454,7.37,6.19,NA,NA,NA,NA,NA,NA,NA
152.5,12476,6.94,6.05,NA,NA,NA,NA,NA,NA,NA
153.5,12497,7.35,6.01,NA,NA,NA,NA,NA,NA,NA
154.5,12517,7.46,6.13,NA,NA,NA,NA,NA,NA,NA
155.5,12537,5.91,6.09,NA,NA,NA,NA,NA,NA,NA
156.5,12556,7,5.86,NA,NA,NA,NA,NA,NA,NA
157.5,12575,5.56,5.67,NA,NA,NA,NA,NA,NA,NA
158.5,12592,7.41,5.59,NA,NA,NA,NA,NA,NA,NA
159.5,12609,7.17,5.5,NA,NA,NA,NA,NA,NA,NA
160.5,12626,7.44,5.47,NA,NA,NA,NA,NA,NA,NA
161.5,12641,6.55,5.23,NA,NA,NA,NA,NA,NA,NA
162.5,12656,7.46,5.2,NA,NA,NA,NA,NA,NA,NA
163.5,12670,6.96,5.11,NA,NA,NA,NA,NA,NA,NA
164.5,12684,7.72,5.02,NA,NA,NA,NA,NA,NA,NA
165.5,12697,7.33,4.94,NA,NA,NA,NA,NA,NA,NA
166.5,12709,7.02,5,NA,NA,NA,NA,NA,NA,NA
167.5,12721,7.19,5.02,NA,NA,NA,NA,NA,NA,NA
168.5,12732,6.19,5.03,NA,NA,NA,NA,NA,NA,NA
169.5,12742,6.85,4.95,NA,NA,NA,NA,NA,NA,NA
170.5,12752,7.41,4.91,NA,NA,NA,NA,NA,NA,NA
171.5,12761,5.49,4.83,NA,NA,NA,NA,NA,NA,NA
172.5,12770,7.43,4.79,NA,NA,NA,NA,NA,NA,NA
173.5,12777,7.9,4.81,NA,NA,NA,NA,NA,NA,NA
174.5,12784,7.4,4.82,NA,NA,NA,NA,NA,NA,NA
175.5,12791,5.18,4.88,NA,NA,NA,NA,NA,NA,NA
176.5,12797,4.19,5,NA,NA,NA,NA,NA,NA,NA
177.5,12802,2.94,5.11,NA,NA,NA,NA,NA,NA,NA
178.5,12807,7.06,5.23,NA,NA,NA,NA,NA,NA,NA
179.5,12810,6.56,5.24,NA,NA,NA,NA,NA,NA,NA
180.5,12814,5.58,5.06,NA,NA,NA,NA,NA,NA,NA
