age (bp),depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),error (),cal_age_error (2_s),thickness (mm),age_type (),material_dated ()
1195,32.5,300,350,1290,40,204,50,1,1
2146,60,590,610,2120,40,310,20,1,3
2522,97.5,950,1000,2410,40,354,50,1,1
3219,153.5,1530,1540,3030,40,275,10,1,3
4850,222.5,2200,2250,4290,40,242,50,1,1
5651,297.5,2950,3000,4890,40,133,50,1,1
5746,349.5,3490,3500,4990,40,279,10,1,3
5758,395.5,3950,3960,5000,40,268,10,1,2
7057,454.5,4530,4560,6160,40,217,30,1,2
7286,546.5,5440,5490,6320,40,246,50,1,1
