depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,23,19.971,-8.1,6.408,862.143
13,71,20.057,-8.657,6.248,820
19,95,19.814,-9.157,5.906,810
21,103,19.4,-9.671,5.505,844.714
24,220,19.557,-8.529,5.931,864.286
28,448,19.157,-9.514,5.354,821.286
33,732,19.243,-8.186,5.876,852.429
35,740,19.614,-8.314,6.124,910.571
44,775,19.343,-8.186,5.982,909.857
52,807,19.071,-9.657,5.202,817.571
61,842,19.286,-9.443,5.464,846
72,885,19.343,-9.257,5.504,798.571
81,921,19.343,-9.7,5.368,816.857
96,980,18.986,-9.171,5.359,843.857
106,1019,19.414,-7.743,6.254,956.571
116,1058,19.586,-8.486,6.07,943.714
126,1133,19.786,-8.543,6.127,908.857
136,1314,19.257,-9.2,5.537,842.429
146,1496,19.257,-9.2,5.537,842.429
156,1677,19.229,-8.071,5.96,899.857
161,1768,19.429,-8.329,6.006,892.571
166,1859,19.443,-8.514,5.888,862.429
175,2022,19.114,-9.686,5.271,847.857
183,2167,19.257,-9.814,5.277,807.143
193,2349,19.357,-9.6,5.44,858.286
203,2530,19.114,-9.686,5.271,847.857
213,2695,19.243,-10.186,5.215,875.429
218,2777,19.4,-9.329,5.543,801.714
223,2860,19.543,-9.614,5.608,869.429
228,2942,19.814,-9.257,5.886,840
233,3025,19.243,-10.186,5.215,875.429
238,3107,19.857,-9.9,5.698,827.714
243,3189,19.857,-9.9,5.698,827.714
253,3354,19.857,-9.9,5.698,827.714
263,3519,19.643,-10.371,5.389,831.429
274,3701,19.857,-9.9,5.698,827.714
284,3866,19.843,-9.7,5.744,834.143
294,4030,19.829,-10.557,5.474,813.286
304,4195,19.814,-9.429,5.857,847.571
314,4360,19.971,-9.343,5.962,830.286
324,4525,19.886,-9.1,6.002,853.714
329,4736,19.757,-8.486,6.119,863.571
334,4978,19.714,-8.943,5.919,854.714
339,5221,19.771,-8.557,6.123,868.286
344,5463,19.329,-10.086,5.3,873.143
349,5706,19.757,-9.814,5.654,834
354,5949,19.771,-10.943,5.27,799.714
359,6191,19.957,-9.129,6.017,836.286
367,6579,19.786,-9.943,5.655,832.714
372,6822,19.971,-9.1,6.04,811
382,7307,20.014,-8.743,6.22,849.857
387,7550,19.8,-11.071,5.271,798.429
392,7792,19.714,-12.629,4.643,773.429
397,8035,19.914,-10.9,5.431,820.714
402,8278,19.714,-12.629,4.643,773.429
412,8763,19.714,-12.629,4.643,773.429
