depth (cm),age (BP),temperature (degC)
488,-42.16,10.929
493,113.62,11.025
498,277.59,11.115
502,408.77,10.938
507,572.74,11.305
511,703.91,10.764
515,835.09,11.296
519,966.27,11.598
523,1097.45,11.248
527,1228.62,11.655
531,1359.8,11.277
535,1490.98,11.65
539,1622.16,12.095
543,1753.33,11.653
547,1884.51,11.185
551,2015.69,11.048
555,2146.87,11.247
559,2278.04,10.8
563,2409.22,11.989
567,2540.4,11.249
571,2671.58,11.627
575,2802.75,11.174
579,2933.93,11.769
583,3065.11,11.852
587,3196.29,12.082
591,3327.46,11.543
595,3458.64,11.751
599,3589.82,12.185
603,3721,11.201
607,3852.17,11.29
611,3983.35,11.85
615,4114.53,11.744
619,4245.71,12.115
623,4376.88,11.84
627,4508.06,12.173
631,4639.24,12.165
635,4770.42,11.75
639,4901.59,12.434
643,5032.77,12.459
647,5163.95,12.421
651,5295.13,12.147
655,5426.3,12.308
659,5557.48,12.246
663,5688.66,11.733
667,5819.84,11.833
671,5951.01,12.197
675,6082.19,12.033
679,6213.37,11.987
683,6344.55,12.044
687,6475.72,12.716
691,6606.9,11.941
695,6738.08,12.61
699,6869.26,11.996
705,7066.02,12.176
709,7197.2,12.504
713,7328.38,12.18
717,7459.56,12.097
721,7590.73,12.181
725,7721.91,12.298
729,7853.09,12.037
733,7984.27,12.109
737,8115.44,12.456
741,8246.62,12.288
743,8312.21,11.9
745,8377.8,12.034
747,8443.39,12.226
749,8508.98,11.105
751,8574.56,11.436
753,8640.15,11.148
755,8705.74,11.395
757,8771.33,11.76
759,8836.92,10.822
761,8902.51,11.444
763,8968.1,9.087
