depth (cm),age (bp),age14C (bp),age_error (1s),material_dated (),note ()
1,0,NA,NA,NA,1
28,NA,1800,60,2,NA
60,NA,4630,50,1,NA
82,NA,5180,50,2,NA
112,NA,5720,50,2,NA
180,NA,8860,65,2,NA
190,NA,8890,55,2,NA
220,NA,9500,65,2,NA
230,NA,9410,70,2,NA
