depth (cm),dateType (),measurementMaterial (),sensorSpecies (),age14C (kyr),age14CHi (kyr),age14CLow (kyr),reservoirAge (kyr)
22.5,14C,planktic foraminifera,G. sacculifer,0.7,0.065,0.06,0.4
47.5,14C,planktic foraminifera,G. sacculifer,1.01,0.025,0.025,0.4
100.5,14C,planktic foraminifera,G. sacculifer,2.35,0.075,0.07,0.4
101.5,14C,planktic foraminifera,G. sacculifer,2.01,0.04,0.04,0.4
112.5,14C,planktic foraminifera,G. sacculifer,2.47,0.08,0.075,0.4
114.5,14C,planktic foraminifera,G. sacculifer,2.19,0.03,0.03,0.4
158.5,14C,planktic foraminifera,G. sacculifer,2.82,0.03,0.03,0.4
174.5,14C,planktic foraminifera,G. sacculifer,3.16,0.03,0.03,0.4
232.5,14C,planktic foraminifera,G. sacculifer,4.05,0.055,0.03,0.4
232.5,14C,planktic foraminifera,G. sacculifer,3.97,0.03,0.03,0.4
252.5,14C,planktic foraminifera,G. ruber,4.66,0.065,0.06,0.4
260.5,14C,planktic foraminifera,G. sacculifer,4.31,0.04,0.04,0.4
260.5,14C,planktic foraminifera,G. sacculifer,4.39,0.03,0.03,0.4
262.5,14C,planktic foraminifera,G. sacculifer,4.67,0.06,0.06,0.4
332.5,14C,planktic foraminifera,G. sacculifer,5.83,0.075,0.07,0.4
334.5,14C,planktic foraminifera,G. sacculifer,5.71,0.05,0.03,0.4
334.5,14C,planktic foraminifera,G. sacculifer,5.7,0.04,0.04,0.4
372.5,14C,planktic foraminifera,G. ruber,5.93,0.065,0.06,0.4
430.5,14C,planktic foraminifera,G. sacculifer,7.51,0.06,0.06,0.4
432.5,14C,planktic foraminifera,G. sacculifer,7.81,0.06,0.06,0.4
436.5,14C,planktic foraminifera,G. sacculifer,7.62,0.05,0.05,0.4
502.5,14C,planktic foraminifera,G. sacculifer,8.65,0.08,0.08,0.4
506.5,14C,planktic foraminifera,G. sacculifer,8.59,0.09,0.09,0.4
620.5,14C,planktic foraminifera,G. sacculifer,9.54,0.065,0.06,0.4
622.5,14C,planktic foraminifera,G. sacculifer,9.81,0.11,0.11,0.4
650.5,14C,planktic foraminifera,G. sacculifer,10.03,0.06,0.06,0.4
652.5,14C,planktic foraminifera,G. ruber,9.87,0.11,0.11,0.4
722.5,14C,planktic foraminifera,G. ruber,11.28,0.11,0.11,0.4
792.5,14C,planktic foraminifera,G. ruber,13.09,0.14,0.14,0.4
842.5,14C,planktic foraminifera,G. ruber,13.96,0.154,0.152,0.4
852.5,14C,planktic foraminifera,G. ruber,14.16,0.161,0.157,0.4
892.5,14C,planktic foraminifera,G. ruber,15.51,0.19,0.168,0.4
912.5,14C,planktic foraminifera,G. ruber,16.49,0.22,0.21,0.4
922.5,14C,planktic foraminifera,G. ruber,17.26,0.22,0.22,0.4
932.5,14C,planktic foraminifera,G. sacculifer,18.05,0.14,0.14,0.4
1032.5,14C,planktic foraminifera,G. ruber,24.51,0.59,0.55,0.4
1102.5,14C,planktic foraminifera,G. sacculifer,26.15,0.33,0.32,0.4
1102.5,14C,planktic foraminifera,G. ruber,26.84,0.66,0.61,0.4
1212.5,14C,planktic foraminifera,G. ruber,30.8,1.1,1,0.4
1272.5,14C,planktic foraminifera,G. ruber,35.5,2.4,1.9,0.4
