depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
1000,Carbon-14,108230,80,2000,gyttja,NA
1090,Carbon-14,108231,100,3300,gyttja,NA
1182,Carbon-14,108232,90,5220,gyttja,NA
1270,Carbon-14,108233,110,7530,gyttja,NA
1362,Carbon-14,108234,120,9520,gyttja,NA
