depth (cm),depth (mm),age (BP),temperature (degC)
0,5,-54,13.01
20,205,-15.992,13.205
30,305,1.287,13.38
41,415,20.641,13.545
60,605,303.637,13.504
66,665,435.461,13.127
80,805,748.059,13.19
89,895,954.449,13.125
99,995,1190.568,13.053
110,1105,1460.562,13.482
119,1195,1691.021,13.202
131,1315,2013.988,13.314
139,1395,2240.247,13.262
148,1485,2505.623,13.152
153,1535,2658.113,13.601
158,1585,2814.278,13.554
168,1685,3137.843,13.397
173,1735,3305.621,12.839
183,1835,3655.783,13.313
186,1865,3765.158,13.257
196,1965,4139.956,13.664
205,2055,4484.449,13.46
215,2155,4889.925,13.684
225,2255,5327.573,14.076
235,2355,5791.636,14.229
243,2435,6177.498,13.719
254,2545,6722.642,13.4
260,2605,7024.322,13.37
270,2705,7531.273,13.173
280,2805,8048.96,13.282
290,2905,8589.171,12.851
300,3005,9176.727,13.327
306,3065,9563.42,12.837
310,3105,9837.681,13.477
315,3155,10197.572,13.506
318,3185,10421.836,12.489
321,3215,10651.817,13.252
325,3255,10966.601,13.113
329,3295,11289.749,12.573
332,3325,11536.938,12.893
337,3375,11956.413,13.167
340,3405,12211.625,12.759
345,3455,12640.986,12.788
350,3505,13073.138,13.116
352,3525,13246.212,13.581
355,3555,13505.544,13.236
