age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),material_dated (),note ()
-42.4,481,4810,4810,NA,NA,0,2,NA,1
NA,525.75,5255,5260,1650,70,5,1,1,NA
NA,653.75,6535,6540,4135,100,5,1,1,NA
NA,743.75,7430,7445,6235,65,15,1,1,NA
NA,783.75,7835,7840,7310,70,5,1,1,NA
NA,810.75,8105,8110,8795,60,5,1,1,NA
NA,820,8195,8205,11530,150,10,1,1,NA
