TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
0,1,Core top,0,NA,NA,Y,NA
22,23,C14 Uncalibrated,1485,30,30,Y,Bulk
54,55,C14 Uncalibrated,2270,50,50,Y,Bulk
83,84,C14 Uncalibrated,2735,30,30,Y,Bulk
113,114,C14 Uncalibrated,3230,35,35,Y,Bulk
155,156,C14 Uncalibrated,4285,35,35,Y,Bulk
203,204,C14 Uncalibrated,3650,35,35,N,Bulk
235,236,C14 Uncalibrated,6740,40,40,Y,Bulk
290,291,C14 Uncalibrated,4165,35,35,N,Bulk
295,296,Deglaciation,11500,NA,NA,Y,NA
