year (AD),age (BP),temperature (degC),depth_core1 (cm),Mg/Ca (missing)
1118.1,831.9,17.527,NA,3.092
1060.7,889.3,16.308,0.355,2.714
1060.7,889.3,17.75,0.355,3.167
956.3,993.7,17.136,0.455,2.965
851.9,1098.1,16.312,0.555,2.715
747.5,1202.5,18.556,0.655,3.452
643.2,1306.8,17.664,0.755,3.138
486.6,1463.4,17.559,0.905,3.103
486.6,1463.4,17.485,0.905,3.078
330,1620,17.729,1.055,3.16
277.9,1672.1,16.618,1.105,2.806
-271.6,2221.6,16.974,NA,2.914
-304.9,2254.9,15.82,NA,2.576
-444.3,2394.3,17.853,NA,3.202
-476.8,2426.8,15.789,NA,2.567
-517.2,2467.2,17.164,NA,2.974
-630.4,2580.4,16.141,NA,2.666
-669.1,2619.1,17.466,NA,3.072
-784,2734,17.676,NA,3.142
-869.5,2819.5,16.885,NA,2.887
-869.5,2819.5,15.407,NA,2.465
-994.8,2944.8,17.836,NA,3.196
-1033.1,2983.1,15.922,NA,2.604
-1033.1,2983.1,14.992,NA,2.357
-1080.3,3030.3,16.959,NA,2.91
-1080.3,3030.3,16.548,NA,2.784
-1123.6,3073.6,16.371,NA,2.732
-1123.6,3073.6,15.196,NA,2.409
-1211.2,3161.2,17.031,NA,2.932
-1255.5,3205.5,16.537,NA,2.781
-1385.7,3335.7,14.766,NA,2.301
-1385.7,3335.7,14.2,NA,2.166
-1431.2,3381.2,14.801,NA,2.31
-1477,3427,15.758,NA,2.559
-1477,3427,17.315,NA,3.023
-1523,3473,15.602,NA,2.517
-1569.3,3519.3,16.775,NA,2.853
-1615.9,3565.9,17.507,NA,3.086
-1662.7,3612.7,18.662,NA,3.491
-1709.7,3659.7,16.454,NA,2.757
-1757,3707,16.82,NA,2.867
-1804.5,3754.5,15.728,NA,2.551
-1852.2,3802.2,17.454,NA,3.068
-1900.1,3850.1,15.671,NA,2.535
-2044.9,3994.9,16.117,NA,2.659
-2093.5,4043.5,16.433,NA,2.751
-2093.5,4043.5,15.6,NA,2.516
-2142.2,4092.2,16.742,NA,2.843
-2191.1,4141.1,16.191,NA,2.68
-2191.1,4141.1,15.612,NA,2.519
-2240.2,4190.2,16.171,NA,2.674
-2338.7,4288.7,15.058,NA,2.374
-2338.7,4288.7,15.665,NA,2.533
