age (BP),depth (cm),Tukey_bigweight_mean (degC),sampleID (missing),Mean consensus (degC),WAINV (degC),WAINV_total (degC),WACLS (degC),WACLS_total (degC),WAPLS-2 (degC),PLS-1 (degC),PLS-2 (degC)
507,45,10.57,WIN 45,10.612,10.404,10.544,10.48,10.647,10.655,10.589,10.966
595,50,9.95,WIN_50,9.932,9.816,10.028,9.742,10.01,10.073,9.566,10.285
689,55,9.07,WIN 55,8.892,9.223,9.266,8.997,9.07,9.048,8.488,8.153
789,60,9.17,WIN 60,8.903,9.379,9.447,9.193,9.293,8.646,8.906,7.456
894,65,9.09,WIN 65,9.1,9.293,9.552,9.085,9.422,8.851,8.784,8.716
1004,70,9.23,WIN 70,9.244,9.367,10.018,9.178,9.998,9.124,8.476,8.55
1120,75,8.86,WIN 75,8.85,9.112,9.041,8.858,8.792,8.596,8.997,8.556
1241,80,8.25,WIN 80,8.052,8.771,8.382,8.43,7.978,8.236,7.475,7.095
1368,85,9.55,WIN 85,9.295,9.68,9.794,9.571,9.721,8.956,9.269,8.074
1500,90,8.35,WIN 90,8.238,8.774,9.053,8.433,8.807,7.771,7.912,6.918
1638,95,8.85,WIN 95,8.834,9.168,9.765,8.928,9.685,8.331,8.15,7.813
1781,100,8.97,WIN_100,8.92,9.278,9.729,9.066,9.641,8.643,8.209,7.874
1929,105,9.59,WIN 105,9.312,9.785,10.123,9.704,10.128,8.756,8.669,8.018
2083,110,10.11,WIN 110,10.246,10.174,10.705,10.192,10.845,10.056,9.72,10.033
2242,115,9.36,WIN115,9.348,9.54,10.571,9.396,10.681,9.288,8.145,7.815
2407,120,9.27,WIN 120,9.053,9.466,9.875,9.302,9.821,9.09,8.381,7.439
2577,125,9.96,WIN_125,9.907,10.082,10.556,10.076,10.662,9.719,9.243,9.014
2753,130,9.98,WIN 130,9.719,10.061,10.321,10.05,10.371,9.437,9.268,8.525
2937,135,9.6,WIN 135,9.584,9.743,10.016,9.651,9.995,9.408,9.267,9.005
3136,140,9.11,WIN 140,8.867,9.385,9.796,9.201,9.724,8.36,8.577,7.027
3348,145,9.22,WIN 145,9.095,9.44,9.624,9.269,9.512,8.967,8.625,8.23
3566,150,9.82,WIN_150,9.759,9.983,10.578,9.952,10.689,9.49,9.1,8.519
3784,155,9.78,WIN 155,9.705,9.937,10.165,9.894,10.179,9.325,9.179,9.254
3998,160,9.4,WIN 161,9.218,9.659,10.099,9.544,10.098,8.804,8.6,7.721
4201,165,8.83,WIN 165,8.779,9.092,9.476,8.833,9.329,8.356,8.665,7.704
4388,170,8.12,WIN 170,7.984,8.617,8.252,8.236,7.818,8.047,7.989,6.928
4553,175,9.83,WIN_175,9.676,9.901,10.049,9.849,10.036,9.614,8.928,9.356
4701,180,7.87,WIN 180,7.806,8.279,8.599,7.811,8.247,7.641,7.491,6.574
4922,190,10.04,WIN 190,10.01,10.135,10.603,10.143,10.72,9.713,9.552,9.201
5010,195,9.75,WIN 195,9.673,9.806,10.61,9.73,10.729,9.368,9.253,8.217
5090,200,10.85,WIN_200,10.894,10.755,11.671,10.922,12.037,10.705,10.105,10.061
5168,205,10.02,WIN 205,9.995,10.12,10.799,10.124,10.961,9.458,9.563,8.938
5248,210,9.51,WIN 210,9.319,9.659,9.752,9.545,9.67,9.142,9.049,8.416
5338,215,9.51,WIN 215,9.373,9.797,10.499,9.719,10.591,8.877,8.63,7.496
5442,220,9.45,WIN 220,9.397,9.731,10.457,9.635,10.54,8.653,8.792,7.974
5566,225,10.04,WIN_225,9.491,10.015,10.21,9.992,10.235,9.169,8.78,8.034
