year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
-1,1951,2032.746,10.222,0.387,103.241
-230.43,2180.43,2261.068,10.722,0.404,199.011
-459.86,2409.86,2488.705,10.68,0.402,240.961
-689.29,2639.29,2716.122,11.252,0.422,257.956
-918.71,2868.71,2943.364,10.848,0.408,254.964
-1148.14,3098.14,3170.417,11.01,0.413,231.038
-1607,3557,3600.786,11.005,0.413,118.02
-1878.42,3828.42,3874.215,10.856,0.408,232.676
-2014.13,3964.13,4010.638,10.78,0.406,268.182
-2149.84,4099.84,4147.007,10.667,0.402,297.119
-2285.55,4235.55,4283.339,10.868,0.408,321.284
-2421.26,4371.26,4419.642,10.897,0.409,341.698
-2556.97,4506.97,4555.922,10.562,0.398,359.005
-2692.68,4642.68,4692.182,10.803,0.406,373.638
-2828.39,4778.39,4828.425,10.773,0.405,385.902
-2964.1,4914.1,4964.652,10.792,0.406,396.018
-3099.81,5049.81,5100.865,10.528,0.397,404.149
-3235.52,5185.52,5237.064,10.809,0.407,410.412
-3371.23,5321.23,5373.251,10.412,0.393,414.892
-3506.94,5456.94,5509.425,10.644,0.401,417.646
-3642.65,5592.65,5645.587,10.154,0.384,418.71
-3778.35,5728.35,5781.738,10.661,0.401,418.094
-3914.06,5864.06,5917.876,10.747,0.404,415.793
-4049.77,5999.77,6054.002,10.698,0.403,411.777
-4185.48,6135.48,6190.116,10.452,0.394,405.996
-4321.19,6271.19,6326.216,10.364,0.391,398.372
-4456.9,6406.9,6462.303,10.592,0.399,388.796
-4592.61,6542.61,6598.375,10.653,0.401,377.12
-4728.32,6678.32,6734.43,10.611,0.4,363.14
-4864.03,6814.03,6870.467,10.803,0.406,346.575
-4999.74,6949.74,7006.482,10.971,0.412,327.031
-5135.45,7085.45,7142.472,10.958,0.412,303.931
-5271.16,7221.16,7278.43,10.917,0.41,276.377
-5406.87,7356.87,7414.343,11.057,0.415,242.838
-5542.58,7492.58,7550.188,10.806,0.406,200.269
-5678.29,7628.29,7685.89,10.784,0.406,140.262
-5814,7764,7813.027,10.89,0.409,85.964
-5894,7844,7916.079,10.97,0.412,153.561
-5974,7924,8018.84,11.492,0.43,195.93
-6134,8084,8224.187,11.405,0.427,254.999
-6294,8244,8429.422,11.583,0.433,296.395
-6454,8404,8634.589,12.331,0.458,326.984
-6614,8564,8839.707,12.896,0.477,349.652
-6774,8724,9044.787,12.824,0.475,365.895
-6934,8884,9249.832,12.867,0.476,376.565
-7094,9044,9454.847,13.26,0.49,382.145
-7254,9204,9659.831,13.178,0.487,382.873
-7414,9364,9864.787,13.2,0.488,378.792
-7574,9524,10069.711,13.409,0.495,369.764
-7814,9764,10377.035,13.283,0.491,346.094
-7974,9924,10581.868,13.144,0.486,322.458
-8134,10084,10786.648,13.038,0.482,290.884
-8294,10244,10991.354,13.168,0.487,248.484
-8454,10404,11195.923,12.811,0.475,188.452
-8614,10564,11378.877,13.128,0.485,106.154
-8854,10804,11433.214,13.724,0.506,117.999
-8934,10884,11451.28,13.922,0.512,120.827
-9094,11044,11487.383,13.437,0.496,124.403
-9223.8,11173.8,11505.423,13.127,0.485,125.216
-9353.6,11303.6,11523.453,13.653,0.503,125.429
-9483.5,11433.5,11541.473,14.551,0.534,125.094
-9613.3,11563.3,11559.479,14.518,0.533,124.313
-9743.1,11693.1,11577.459,13.889,0.511,123.391
-9872.9,11822.9,11637.084,13.492,0.498,140.527
-10002.7,11952.7,11820.886,13.518,0.499,186.676
-10132.5,12082.5,12003.942,13,0.481,201.606
-10262.4,12212.4,12186.695,13.372,0.494,190.709
-10392.2,12342.2,12369.087,12.955,0.479,147.828
-10522,12472,12551.62,12.508,0.464,110.74
-10627,12577,12736.645,12.309,0.458,213.983
-10732,12682,12921.03,12.355,0.459,283.614
-10837,12787,13105.345,12.083,0.45,341.577
