year (AD),age (BP),AnnualPrecipitation (mm/yr)
1950,0,1115.256
1900,50,1101.827
1850,100,1055.179
1800,150,1067.036
1750,200,1055.118
1700,250,1047.331
1650,300,1039.543
1600,350,1031.756
1550,400,1024.894
1500,450,1039.791
1450,500,1054.689
1400,550,1069.587
1350,600,1084.485
1300,650,1075.491
1250,700,1061.309
1200,750,1047.126
1150,800,1035.214
1100,850,1035.673
1050,900,1036.132
1000,950,1036.434
950,1000,1033.085
900,1050,1029.736
850,1100,1026.387
800,1150,1019.167
750,1200,1011.643
700,1250,1004.119
650,1300,986.895
600,1350,967.443
550,1400,947.991
500,1450,963.511
450,1500,994.065
400,1550,1024.619
350,1600,1027.858
300,1650,1011.756
250,1700,995.653
200,1750,981.757
150,1800,970.333
100,1850,958.91
50,1900,958.675
0,1950,978.54
-50,2000,998.404
-100,2050,1013.607
-150,2100,1014.341
-200,2150,1015.076
-250,2200,1010.148
-300,2250,967.253
-350,2300,924.358
-400,2350,882.324
-450,2400,893.747
-500,2450,905.171
-550,2500,916.594
-600,2550,935.3
-650,2600,954.797
-700,2650,974.295
-750,2700,962.111
-800,2750,941.404
-850,2800,920.696
-900,2850,942.432
-950,2900,968.304
-1000,2950,994.176
-1050,3000,1020.048
-1100,3050,1045.92
-1150,3100,1066.967
-1200,3150,1062.225
-1250,3200,1057.482
-1300,3250,1052.74
-1350,3300,1047.997
-1400,3350,1043.255
-1450,3400,1038.663
-1500,3450,1034.293
-1550,3500,1029.923
-1600,3550,1025.737
-1650,3600,1021.714
-1700,3650,1017.692
-1750,3700,1009.513
-1800,3750,999.1
-1850,3800,988.686
-1900,3850,995.371
-1950,3900,1018.563
-2000,3950,1041.755
-2050,4000,1064.182
-2100,4050,1079.909
-2150,4100,1095.635
-2200,4150,1111.362
-2250,4200,1103.066
-2300,4250,1084.278
-2350,4300,1065.49
-2400,4350,1041.552
-2450,4400,1004.982
-2500,4450,968.413
-2550,4500,931.843
-2600,4550,937.646
-2650,4600,944.947
-2700,4650,933.54
-2750,4700,971.523
-2800,4750,1063.702
-2850,4800,1054.14
-2900,4850,1018.596
-2950,4900,1033.148
-3000,4950,1047.701
-3050,5000,1062.253
-3100,5050,1062.715
-3150,5100,1056.047
-3200,5150,1049.379
-3250,5200,1043.154
-3300,5250,1038.205
-3350,5300,1020.469
-3400,5350,992.454
-3450,5400,976.878
-3500,5450,963.477
-3550,5500,950.075
-3600,5550,936.674
-3650,5600,923.272
-3700,5650,928.9
-3750,5700,943.878
-3800,5750,958.855
-3850,5800,973.833
-3900,5850,988.286
-3950,5900,988.286
-4000,5950,988.286
-4050,6000,988.286
-4100,6050,988.286
-4150,6100,987.99
-4200,6150,987.251
-4250,6200,985.997
-4300,6250,978.97
-4350,6300,1006.301
-4400,6350,1001.892
-4450,6400,986.791
-4500,6450,985.167
-4550,6500,1000.268
-4600,6550,1013.718
-4650,6600,1015.967
-4700,6650,1018.217
-4750,6700,1020.467
-4800,6750,1022.716
-4850,6800,1026.668
-4900,6850,1032.369
-4950,6900,1038.07
-5000,6950,1043.772
-5050,7000,1049.473
-5100,7050,1045.001
-5150,7100,1038.837
-5200,7150,1025.954
-5250,7200,1014.1
-5300,7250,1002.212
-5350,7300,956.854
-5400,7350,988.535
-5450,7400,1005.058
-5500,7450,1019.974
-5550,7500,1019.89
-5600,7550,1009.227
-5650,7600,998.564
-5700,7650,987.901
-5750,7700,977.238
-5800,7750,975.704
-5850,7800,974.641
-5900,7850,973.579
-5950,7900,972.516
-6000,7950,963.905
-6050,8000,932.031
-6100,8050,900.157
-6150,8100,868.283
-6200,8150,836.409
-6250,8200,806.514
-6300,8250,828.129
-6350,8300,849.744
-6400,8350,863.14
-6450,8400,865.774
-6500,8450,868.407
-6550,8500,881.569
-6600,8550,896.902
-6650,8600,912.236
-6700,8650,927.569
-6750,8700,942.903
-6800,8750,931.22
-6850,8800,903.049
-6900,8850,874.878
-6950,8900,846.707
-7000,8950,818.536
-7050,9000,799.89
-7100,9050,794.781
-7150,9100,789.672
-7200,9150,784.564
-7250,9200,779.455
-7300,9250,774.714
-7350,9300,774.714
-7400,9350,774.714
-7450,9400,774.714
-7500,9450,774.714
-7550,9500,774.714
-7600,9550,774.714
-7650,9600,775.348
-7700,9650,776.145
-7750,9700,776.942
-7800,9750,777.738
-7850,9800,778.535
-7900,9850,779.332
-7950,9900,780.874
-8000,9950,783.104
-8050,10000,785.335
-8100,10050,787.392
-8150,10100,789.167
-8200,10150,790.943
-8250,10200,790.933
-8300,10250,785.379
-8350,10300,779.825
-8400,10350,774.824
-8450,10400,774.505
-8500,10450,774.186
-8550,10500,773.868
-8600,10550,774.011
-8650,10600,774.171
-8700,10650,774.33
-8750,10700,774.489
-8800,10750,774.649
-8850,10800,774.808
-8900,10850,774.857
-8950,10900,774.857
-9000,10950,774.857
-9050,11000,774.731
