depth (cm),age (BP),temperature (degC)
1,111,11.2
9,201,12.7
17,290,13.2
25,379,12.6
33,468,12.3
41,558,13.2
49,647,12.3
57,749,12.4
65,939,13.5
73,1138,13.5
81,1341,13.4
89,1548,13.1
97,1750,13.6
105,1955,12.5
113,2164,12.6
121,2371,13.4
129,2578,13.9
137,2775,14.8
145,2998,13.9
153,3237,14.1
161,3487,13.7
169,3732,13.9
177,3979,14.4
185,4243,14.4
193,4472,14.7
201,4721,14.4
209,4984,14.1
217,5250,14.5
225,5524,14.2
233,5775,14
241,6029,13.6
249,6294,13.8
257,6562,14.1
265,6845,13.9
273,7102,14.2
281,7374,14.1
289,7667,14.6
297,7960,11.9
305,8259,12.7
313,8551,13.1
319,8855,13.3
