depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0,-58,13.524,15.077,11.971,Y
15,47,12.984,14.526,11.442,Y
20,82,13.871,15.433,12.309,Y
40,223,14.511,16.07,12.951,Y
50,293,13.897,15.451,12.343,Y
60,363,13.614,15.167,12.061,Y
80,504,12.701,14.245,11.157,Y
100,644,14.435,16.006,12.863,Y
120,785,13.27,14.832,11.707,Y
140,925,14.693,16.242,13.144,Y
150,963,13.804,15.35,12.257,Y
160,1043,13.359,14.897,11.822,Y
180,1202,13.116,14.669,11.563,Y
200,1356,13.748,15.298,12.197,Y
220,1505,13.655,15.208,12.102,Y
240,1647,14.234,15.754,12.715,Y
250,1714,14.345,15.95,12.74,Y
260,1779,13.973,15.509,12.438,Y
280,1901,13.167,14.697,11.637,Y
300,2014,13.216,14.758,11.675,Y
320,2123,13.005,14.528,11.481,Y
340,2231,13.503,15.048,11.957,Y
350,2285,14.15,15.708,12.593,Y
360,2340,13.61,15.161,12.06,Y
380,2454,14.181,15.76,12.601,Y
400,2577,13.214,14.76,11.668,Y
420,2711,14.032,15.586,12.478,Y
440,2859,14.986,16.524,13.448,Y
450,2940,13.534,15.104,11.964,Y
460,3026,13.925,15.472,12.378,Y
480,3214,14.055,15.642,12.469,Y
500,3426,14.974,16.5,13.448,Y
520,3657,14.476,16.04,12.912,Y
540,3904,14.618,16.168,13.068,Y
550,4032,13.467,14.993,11.941,Y
560,4162,13.493,15.028,11.958,Y
580,4426,14.27,15.841,12.7,Y
600,4691,14.489,16.023,12.955,Y
620,4952,14.583,16.12,13.047,Y
640,5210,15.301,16.881,13.722,Y
650,5338,13.825,15.369,12.281,Y
660,5466,13.862,15.4,12.324,Y
680,5719,14.652,16.21,13.093,Y
700,5971,14.868,16.41,13.326,Y
720,6221,13.566,15.095,12.037,Y
740,6471,15.502,17.077,13.927,Y
750,6596,14.047,15.577,12.518,Y
760,6721,15.491,17.031,13.95,Y
780,6972,15.391,17.008,13.774,Y
800,7224,14.777,16.319,13.234,Y
820,7478,14.367,15.894,12.839,Y
840,7735,14.409,15.93,12.888,Y
850,7864,14.462,15.994,12.929,Y
860,7995,15.346,16.887,13.805,Y
870,8126,13.734,15.258,12.21,Y
880,8258,14.518,16.051,12.984,Y
900,8525,14.478,15.999,12.958,Y
920,8795,14.993,16.538,13.449,Y
930,8931,14.557,16.146,12.968,Y
940,9067,14.63,16.184,13.076,Y
950,9204,14.906,16.428,13.383,Y
960,9340,13.373,14.939,11.807,Y
980,9613,14.329,15.888,12.771,Y
990,9758,13.897,15.45,12.343,Y
1000,9920,13.691,15.227,12.155,Y
1020,10334,13.679,15.196,12.161,Y
1040,10929,12.842,14.36,11.324,Y
1045,11114,11.167,12.692,9.643,Y
1054,11483,11.263,12.865,9.662,Y
1060,11756,11.694,13.224,10.164,Y
1064,11949,11.056,12.6,9.512,Y
1070,12255,9.736,11.286,8.187,Y
1072,12361,10.608,12.156,9.061,Y
1075,12524,10.21,11.728,8.692,Y
1080,12805,11.895,13.413,10.377,Y
1085,13097,9.69,11.203,8.177,Y
1090,13398,9.644,11.154,8.134,Y
1095,13706,8.437,9.961,6.912,Y
1100,14020,11.128,12.645,9.612,Y
