depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
60,Carbon-14,109807,60,1540,copropel,NA
140,Carbon-14,109808,70,1950,copropel,NA
290,Carbon-14,109809,80,3170,copropel,NA
467,Carbon-14,109810,80,5890,clayey copropel,NA
587.5,Carbon-14,109811,80,7500,silty copropel,NA
