year (AD),age (BP),grey_scale (missing)
878.904,1071.096,202.9
876.424,1073.576,203.48
873.944,1076.056,204
871.11,1078.89,204.52
868.63,1081.37,204.57
866.15,1083.85,204.71
863.316,1086.684,204.9
860.836,1089.164,205.19
858.356,1091.644,205.48
855.522,1094.478,205.71
853.042,1096.958,205.57
850.562,1099.438,205.43
847.727,1102.273,205.1
845.247,1104.753,204.48
842.767,1107.233,204.1
839.933,1110.067,204
837.453,1112.547,203.9
834.973,1115.027,204.1
832.139,1117.861,204.43
829.659,1120.341,204.24
827.179,1122.821,204
824.699,1125.301,203.86
822.219,1127.781,203.48
819.739,1130.261,203.14
817.259,1132.741,203.48
814.779,1135.221,203.19
811.945,1138.055,203.29
809.465,1140.535,203.38
806.985,1143.015,203.33
804.505,1145.495,203.33
802.025,1147.975,203.76
799.545,1150.455,204.19
797.065,1152.935,204.05
794.584,1155.416,204.29
792.104,1157.896,204.24
789.624,1160.376,204.33
787.144,1162.856,204.29
784.664,1165.336,203.57
782.184,1167.816,202.52
779.704,1170.296,201.95
776.87,1173.13,201.57
774.39,1175.61,201.33
771.91,1178.09,201.1
769.43,1180.57,200.86
766.95,1183.05,200.62
764.47,1185.53,200.67
761.99,1188.01,200.62
759.51,1190.49,200.71
757.03,1192.97,201.43
754.55,1195.45,201.86
752.069,1197.931,201.81
749.589,1200.411,201.71
747.109,1202.891,201.43
744.629,1205.371,201.67
741.795,1208.205,201.71
739.315,1210.685,201.62
736.835,1213.165,201.05
734.355,1215.645,201.1
731.875,1218.125,200.71
729.394,1220.606,200.19
726.914,1223.086,200.43
724.434,1225.566,200.24
721.954,1228.046,200.24
719.474,1230.526,200.24
716.994,1233.006,200.14
714.514,1235.486,200.43
712.034,1237.966,201.29
709.199,1240.801,201.86
706.719,1243.281,202.48
704.239,1245.761,202.86
701.759,1248.241,202.62
699.279,1250.721,202.24
696.799,1253.201,202.29
694.319,1255.681,202.48
691.839,1258.161,202.52
689.358,1260.642,203.1
686.878,1263.122,202.86
684.398,1265.602,202.67
681.918,1268.082,202.52
679.438,1270.562,202
676.958,1273.042,202.1
674.123,1275.877,202.81
671.643,1278.357,203.29
669.163,1280.837,203.81
666.683,1283.317,203.86
664.203,1285.797,204.05
661.723,1288.277,203.95
659.242,1290.758,203.9
656.762,1293.238,203.86
654.282,1295.718,204
651.802,1298.198,204.19
649.322,1300.678,203.62
646.842,1303.158,203.24
644.361,1305.639,203
641.881,1308.119,202.81
639.047,1310.953,202.86
636.567,1313.433,202.67
634.086,1315.914,202.81
631.606,1318.394,203
629.126,1320.874,203.1
626.646,1323.354,202.9
624.166,1325.834,203.19
621.685,1328.315,203.48
619.205,1330.795,204.1
616.725,1333.275,204.67
614.245,1335.755,204.81
611.765,1338.235,204.81
609.284,1340.716,204.43
606.45,1343.55,203.9
603.97,1346.03,203.29
601.489,1348.511,203.1
