year (AD),age (BP),grey_scale (missing)
-3671.057,5621.057,193.19
-3673.554,5623.554,193.29
-3676.05,5626.05,193.38
-3678.547,5628.547,193.05
-3681.044,5631.044,192.76
-3683.54,5633.54,192.43
-3685.68,5635.68,192.48
-3688.177,5638.177,193.14
-3690.674,5640.674,193.38
-3693.17,5643.17,193.81
-3695.667,5645.667,194.24
-3698.164,5648.164,194.43
-3700.661,5650.661,194.38
-3703.158,5653.158,194.38
-3705.655,5655.655,194.43
-3707.795,5657.795,194.52
-3710.292,5660.292,194.81
-3712.788,5662.788,194.76
-3715.285,5665.285,194.67
-3717.782,5667.782,194.71
-3720.279,5670.279,195
-3722.776,5672.776,194.81
-3725.273,5675.273,194.95
-3727.77,5677.77,195.24
-3729.91,5679.91,195.1
-3732.407,5682.407,195.05
-3734.904,5684.904,195.19
-3737.401,5687.401,194.9
-3739.899,5689.899,194.62
-3742.396,5692.396,194.43
-3744.893,5694.893,194.24
-3747.39,5697.39,193.62
-3749.887,5699.887,193.29
-3752.384,5702.384,193.14
-3754.525,5704.525,193.43
-3757.022,5707.022,194.19
-3759.519,5709.519,194.38
-3762.016,5712.016,194.67
-3764.513,5714.513,194.62
-3767.011,5717.011,194.9
-3769.508,5719.508,194.62
-3772.005,5722.005,194.38
-3774.502,5724.502,194.14
-3776.643,5726.643,194.29
-3779.14,5729.14,194.52
-3781.638,5731.638,194.05
-3784.135,5734.135,193.95
-3786.632,5736.632,193.76
-3789.13,5739.13,193.81
-3791.627,5741.627,193.67
-3794.125,5744.125,193.52
-3796.622,5746.622,194.1
-3798.763,5748.763,194.62
-3801.26,5751.26,194.76
-3803.758,5753.758,194.52
-3806.255,5756.255,194.33
-3808.753,5758.753,194.14
-3811.25,5761.25,193.57
-3813.748,5763.748,193.19
-3816.245,5766.245,193.29
-3818.743,5768.743,193.57
-3821.241,5771.241,193.67
-3823.381,5773.381,193.57
-3825.879,5775.879,193.33
-3828.377,5778.377,193.33
-3830.874,5780.874,193.1
-3833.372,5783.372,192.86
-3835.87,5785.87,193
-3838.367,5788.367,193.05
-3840.865,5790.865,192.81
-3843.363,5793.363,192.38
-3845.504,5795.504,192
-3848.002,5798.002,191.52
-3850.499,5800.499,191.14
-3852.997,5802.997,190.86
-3855.495,5805.495,190.95
-3857.993,5807.993,191.24
-3860.491,5810.491,191.43
-3862.989,5812.989,191.81
-3865.487,5815.487,192.43
-3867.628,5817.628,193.19
-3870.126,5820.126,194.05
-3872.624,5822.624,194.43
-3875.121,5825.121,194.76
-3877.619,5827.619,195.33
-3880.117,5830.117,195.38
-3882.615,5832.615,195.67
-3885.114,5835.114,196.48
-3887.612,5837.612,196.95
-3890.11,5840.11,196.86
-3892.251,5842.251,196.71
-3894.749,5844.749,196.57
-3897.247,5847.247,196.1
-3899.745,5849.745,196.71
-3902.243,5852.243,196.62
-3904.742,5854.742,196.38
-3907.24,5857.24,196.52
-3909.738,5859.738,196.24
-3912.236,5862.236,195.57
-3914.377,5864.377,195.24
-3916.876,5866.876,195
-3919.374,5869.374,194.38
-3921.872,5871.872,194.05
-3924.371,5874.371,193.71
-3926.869,5876.869,193.29
-3929.367,5879.367,193.19
-3931.866,5881.866,193.1
-3934.364,5884.364,192.9
-3936.505,5886.505,192.1
-3939.004,5889.004,191.67
-3941.502,5891.502,191.29
-3944.001,5894.001,190.81
-3946.499,5896.499,190.86
-3948.998,5898.998,191.29
-3951.496,5901.496,191
-3953.995,5903.995,190.95
-3956.493,5906.493,191.24
-3958.992,5908.992,191
-3961.133,5911.133,191.33
-3963.632,5913.632,191.9
-3966.13,5916.13,191.9
-3968.629,5918.629,192.29
-3971.128,5921.128,192.29
-3973.626,5923.626,192.14
-3976.125,5926.125,192.14
-3978.624,5928.624,192.57
-3981.122,5931.122,192.33
-3983.264,5933.264,192.1
-3985.763,5935.763,192.14
-3988.261,5938.261,192.71
-3990.76,5940.76,192.76
-3993.259,5943.259,192.95
-3995.758,5945.758,193
-3998.257,5948.257,192.86
-4000.755,5950.755,192.62
-4003.254,5953.254,192.14
-4005.396,5955.396,192.05
-4007.895,5957.895,192.33
-4010.394,5960.394,192.38
-4012.893,5962.893,191.86
-4015.392,5965.392,191.57
-4017.891,5967.891,191.67
-4020.39,5970.39,192.14
-4022.888,5972.888,192.52
-4025.387,5975.387,192.95
-4027.886,5977.886,193.62
-4030.029,5980.029,193.86
-4032.528,5982.528,194
-4035.027,5985.027,194.29
-4037.526,5987.526,194.71
-4040.025,5990.025,195
-4042.524,5992.524,195.14
-4045.023,5995.023,194.81
-4047.522,5997.522,194.57
-4050.021,6000.021,194.38
-4052.163,6002.163,194.33
-4054.663,6004.663,194
-4057.162,6007.162,194
-4059.661,6009.661,193.62
-4062.16,6012.16,193.52
-4064.66,6014.66,193.62
-4067.159,6017.159,193.76
-4069.658,6019.658,194.19
-4072.158,6022.158,194.24
-4074.3,6024.3,194.33
-4076.799,6026.799,194.33
-4079.299,6029.299,193.9
-4081.798,6031.798,193.43
-4084.297,6034.297,193.33
-4086.797,6036.797,193.33
-4089.296,6039.296,193
-4091.796,6041.796,192.95
-4094.295,6044.295,192.76
-4096.795,6046.795,192.19
-4098.937,6048.937,192.05
-4101.437,6051.437,192
-4103.936,6053.936,191.95
-4106.436,6056.436,192.05
-4108.935,6058.935,192.67
-4111.435,6061.435,192.81
-4113.934,6063.934,192.67
-4116.434,6066.434,192.67
-4118.934,6068.934,192.86
-4121.076,6071.076,193.57
-4123.576,6073.576,194.48
-4126.076,6076.076,195.1
-4128.575,6078.575,195.52
-4131.075,6081.075,195.62
-4133.575,6083.575,195.33
-4136.075,6086.075,195.33
-4138.574,6088.574,195.57
-4141.074,6091.074,195.57
-4143.217,6093.217,195.57
-4145.717,6095.717,195.1
-4148.217,6098.217,194.33
-4150.716,6100.716,193.81
-4153.216,6103.216,193.38
-4155.716,6105.716,193.48
-4158.216,6108.216,193.95
-4160.716,6110.716,194.62
-4163.216,6113.216,194.9
-4165.716,6115.716,195
-4167.859,6117.859,194.9
-4170.359,6120.359,195.05
-4172.859,6122.859,195
-4175.359,6125.359,194.71
-4177.859,6127.859,194.48
-4180.359,6130.359,194.38
-4182.859,6132.859,194.19
-4185.359,6135.359,193.86
-4187.859,6137.859,193.33
-4190.002,6140.002,193.52
-4192.503,6142.503,194.05
-4195.003,6145.003,194.67
-4197.503,6147.503,195.33
-4200.003,6150.003,195.43
-4202.503,6152.503,195.57
-4205.004,6155.004,195.81
-4207.504,6157.504,195.67
-4210.004,6160.004,195.48
-4212.147,6162.147,195.24
-4214.648,6164.648,195.1
-4217.148,6167.148,194.52
-4219.648,6169.648,194.29
-4222.149,6172.149,193.76
-4224.649,6174.649,193.29
-4227.15,6177.15,193.24
-4229.65,6179.65,192.95
-4232.15,6182.15,192.95
-4234.651,6184.651,192.71
-4236.794,6186.794,192.62
-4239.295,6189.295,192.57
-4241.795,6191.795,192.33
-4244.296,6194.296,192.05
-4246.796,6196.796,191.57
-4249.297,6199.297,191.52
-4251.797,6201.797,191.24
-4254.298,6204.298,191.14
-4256.799,6206.799,190.81
-4258.942,6208.942,190.86
-4261.443,6211.443,191.14
-4263.943,6213.943,191.38
-4266.444,6216.444,190.67
-4268.945,6218.945,190.14
-4271.446,6221.446,190.24
-4273.946,6223.946,190.05
-4276.447,6226.447,190.05
-4278.948,6228.948,190.24
-4281.091,6231.091,190.48
-4283.592,6233.592,190.43
-4286.093,6236.093,190.33
-4288.594,6238.594,190.62
-4291.095,6241.095,190.76
-4293.596,6243.596,191.43
-4296.097,6246.097,191.81
-4298.598,6248.598,191.62
-4301.098,6251.098,191.52
-4303.599,6253.599,191.05
-4305.743,6255.743,190.76
-4308.244,6258.244,191
-4310.745,6260.745,191.38
-4313.246,6263.246,191
-4315.747,6265.747,190.76
-4318.248,6268.248,190.62
-4320.749,6270.749,190.33
-4323.25,6273.25,190.19
-4325.752,6275.752,190
-4327.895,6277.895,190.29
-4330.397,6280.397,191.14
-4332.898,6282.898,191.43
-4335.399,6285.399,191.52
-4337.9,6287.9,191.52
-4340.401,6290.401,191.62
-4342.903,6292.903,191.33
-4345.404,6295.404,191.24
-4347.905,6297.905,191.43
-4350.049,6300.049,191.71
-4352.551,6302.551,191.95
-4355.052,6305.052,191.86
-4357.553,6307.553,191.81
-4360.055,6310.055,191.57
-4362.556,6312.556,191.48
-4365.057,6315.057,191.62
-4367.559,6317.559,192.33
-4370.06,6320.06,192.71
-4372.562,6322.562,192.62
-4374.706,6324.706,192.81
-4377.207,6327.207,192.71
-4379.709,6329.709,192.86
-4382.21,6332.21,192.38
-4384.712,6334.712,192.43
-4387.214,6337.214,192.57
-4389.715,6339.715,192.71
-4392.217,6342.217,192.57
-4394.718,6344.718,192.33
-4396.863,6346.863,192.48
-4399.364,6349.364,192.67
-4401.866,6351.866,192.52
-4404.368,6354.368,192.67
-4406.869,6356.869,193.14
-4409.371,6359.371,193.9
-4411.873,6361.873,194.52
-4414.375,6364.375,195.05
-4416.877,6366.877,195.29
-4419.021,6369.021,195.9
-4421.523,6371.523,196.71
-4424.025,6374.025,197.33
-4426.526,6376.526,197.81
-4429.028,6379.028,197.9
-4431.53,6381.53,197.86
-4434.032,6384.032,197.76
-4436.534,6386.534,197.1
-4439.036,6389.036,196.57
-4441.538,6391.538,196.29
-4443.683,6393.683,196
-4446.185,6396.185,195.38
-4448.687,6398.687,194.76
-4451.189,6401.189,194.62
-4453.691,6403.691,194.95
-4456.193,6406.193,195.52
-4458.695,6408.695,195.38
-4461.197,6411.197,195.38
-4463.699,6413.699,195.71
-4464.772,6414.772,195.76
-4467.274,6417.274,195.71
-4470.133,6420.133,195.81
-4472.636,6422.636,195.86
-4475.495,6425.495,196.14
-4477.998,6427.998,196.1
-4480.857,6430.857,195.95
-4483.36,6433.36,195.52
-4486.219,6436.219,195.86
-4488.722,6438.722,196.48
-4491.582,6441.582,196.14
-4494.084,6444.084,196.24
-4496.944,6446.944,196.48
-4499.446,6449.446,196.48
-4502.306,6452.306,196.43
-4505.166,6455.166,195.81
-4507.669,6457.669,195.48
-4510.529,6460.529,195.52
-4513.031,6463.031,195.67
-4515.891,6465.891,194.57
-4518.394,6468.394,194.1
-4521.254,6471.254,194.05
-4523.756,6473.756,193.81
-4526.616,6476.616,193.43
-4529.119,6479.119,192.86
-4531.979,6481.979,192.33
-4534.482,6484.482,191.62
-4537.342,6487.342,191.24
-4539.845,6489.845,190.86
-4542.705,6492.705,190.52
-4545.208,6495.208,189.9
-4548.068,6498.068,189.52
-4550.571,6500.571,189.14
-4553.431,6503.431,188.62
-4555.934,6505.934,188.57
-4558.795,6508.795,188.33
-4561.297,6511.297,188.62
-4564.158,6514.158,188.95
-4566.661,6516.661,188.9
-4569.521,6519.521,189.1
-4572.024,6522.024,189.52
-4574.885,6524.885,189.62
-4577.745,6527.745,189.48
-4580.248,6530.248,189.57
-4583.109,6533.109,189.38
-4585.612,6535.612,189.43
-4588.473,6538.473,189.52
-4590.976,6540.976,189.43
-4593.837,6543.837,189.43
-4596.34,6546.34,189.14
-4599.2,6549.2,188.48
-4601.704,6551.704,188.38
-4604.564,6554.564,188.67
-4607.068,6557.068,188.95
-4609.929,6559.929,189.33
-4612.432,6562.432,189.52
-4615.293,6565.293,189.71
-4617.796,6567.796,189.57
-4620.657,6570.657,189.24
-4623.16,6573.16,189
-4626.021,6576.021,188.95
-4628.525,6578.525,188.71
-4631.386,6581.386,188.19
-4633.889,6583.889,187.57
-4636.75,6586.75,187.14
-4639.254,6589.254,186.81
-4642.115,6592.115,186.62
-4644.618,6594.618,186.57
-4647.48,6597.48,186.9
-4650.341,6600.341,187.33
-4652.844,6602.844,187.24
-4655.706,6605.706,187.33
-4658.209,6608.209,187.38
-4661.07,6611.07,187.67
-4663.574,6613.574,187.48
-4666.435,6616.435,187.38
-4668.939,6618.939,187.67
-4671.801,6621.801,187.67
-4674.304,6624.304,187.52
-4677.166,6627.166,187.86
-4679.67,6629.67,187.86
-4682.531,6632.531,188.24
-4685.035,6635.035,188.62
-4687.896,6637.896,188.86
-4690.4,6640.4,189.19
-4693.262,6643.262,189.67
-4695.766,6645.766,189.29
-4698.627,6648.627,189.62
-4701.131,6651.131,190.43
-4703.993,6653.993,190.38
-4706.497,6656.497,190.14
-4709.359,6659.359,190.1
-4711.863,6661.863,189.67
-4714.725,6664.725,189.62
-4717.586,6667.586,189.86
-4720.09,6670.09,190
-4722.952,6672.952,190.1
-4725.456,6675.456,190.19
-4728.318,6678.318,189.38
-4730.822,6680.822,189.05
-4733.684,6683.684,189.05
-4736.189,6686.189,189.14
-4739.051,6689.051,189.57
-4741.555,6691.555,189.95
-4744.417,6694.417,190.1
-4746.921,6696.921,190.29
-4749.783,6699.783,190.33
-4752.288,6702.288,190.29
-4755.15,6705.15,190.1
-4757.654,6707.654,190.24
-4760.516,6710.516,190.43
-4763.021,6713.021,190.62
-4765.883,6715.883,190.33
-4768.387,6718.387,190.24
-4771.25,6721.25,190.29
-4773.754,6723.754,190.43
-4776.617,6726.617,190.33
-4779.121,6729.121,190.33
-4781.984,6731.984,190.43
-4784.488,6734.488,190.48
-4787.351,6737.351,190.43
-4790.213,6740.213,190.14
-4792.718,6742.718,190.24
-4795.58,6745.58,190.14
-4798.085,6748.085,190.1
-4800.947,6750.947,189.67
-4803.452,6753.452,189.52
-4806.315,6756.315,189.62
-4808.82,6758.82,189.48
-4811.682,6761.682,189.29
-4814.187,6764.187,189.38
-4817.05,6767.05,189.1
-4819.555,6769.555,189.33
-4822.417,6772.417,189.24
-4824.922,6774.922,189.19
-4827.785,6777.785,189.05
-4830.29,6780.29,189.19
-4833.153,6783.153,188.9
-4835.658,6785.658,188.67
-4838.521,6788.521,188.9
-4841.026,6791.026,189.38
-4843.889,6793.889,189.57
-4846.394,6796.394,189.67
-4849.257,6799.257,190.24
-4851.762,6801.762,190.62
-4854.625,6804.625,190.86
-4857.13,6807.13,191.19
-4859.993,6809.993,191.52
-4862.856,6812.856,192.14
-4865.361,6815.361,192.19
-4868.225,6818.225,192.14
-4870.73,6820.73,192
-4873.593,6823.593,192.43
-4876.098,6826.098,192.62
-4878.962,6828.962,192.43
-4881.467,6831.467,192.43
-4884.33,6834.33,192.43
-4886.836,6836.836,191.9
-4889.699,6839.699,191.19
-4892.205,6842.205,190.48
-4895.068,6845.068,189.67
-4897.573,6847.573,189.38
-4900.437,6850.437,188.86
-4902.942,6852.942,188.48
-4905.806,6855.806,188.29
-4908.311,6858.311,188.52
-4911.175,6861.175,188.95
-4913.681,6863.681,189.14
-4916.544,6866.544,189.43
-4919.05,6869.05,189.76
-4921.914,6871.914,190.19
-4924.419,6874.419,190.43
-4927.283,6877.283,190.67
-4929.789,6879.789,190.52
-4932.652,6882.652,190.24
-4935.516,6885.516,189.76
-4938.022,6888.022,188.95
-4940.886,6890.886,188.71
-4943.392,6893.392,188.81
-4946.256,6896.256,188.76
-4948.761,6898.761,188.81
-4951.625,6901.625,189.24
-4954.131,6904.131,189.62
-4956.995,6906.995,190.19
-4959.501,6909.501,190.62
-4962.365,6912.365,190.67
-4964.871,6914.871,191.1
-4967.735,6917.735,191.62
-4970.241,6920.241,192.24
-4973.106,6923.106,192.67
-4975.612,6925.612,193.1
-4978.476,6928.476,193.52
-4980.982,6930.982,193.67
-4983.846,6933.846,193.43
-4986.352,6936.352,192.95
-4989.217,6939.217,193.05
-4991.723,6941.723,193.62
-4994.587,6944.587,193.71
-4997.093,6947.093,193.14
-4999.958,6949.958,192.38
-5002.464,6952.464,191.9
-5005.329,6955.329,191.62
-5008.193,6958.193,191.48
-5010.699,6960.699,191.52
-5013.564,6963.564,191.67
-5016.07,6966.07,191.43
-5018.935,6968.935,190.62
-5021.441,6971.441,189.57
-5024.306,6974.306,189.1
-5026.813,6976.813,189
-5029.677,6979.677,189.29
-5032.184,6982.184,189.29
-5035.048,6985.048,188.76
-5037.555,6987.555,188.14
-5040.42,6990.42,188.14
-5042.926,6992.926,188.33
-5045.791,6995.791,188.71
-5048.298,6998.298,189.33
-5051.163,7001.163,189.67
-5053.67,7003.67,190
-5056.534,7006.534,190.43
-5059.041,7009.041,191
-5061.906,7011.906,191.71
-5064.413,7014.413,191.76
-5067.278,7017.278,191.62
-5069.785,7019.785,191.52
-5072.65,7022.65,191.52
-5075.515,7025.515,192.38
-5078.022,7028.022,192.52
-5080.887,7030.887,192.43
-5083.394,7033.394,192.71
-5086.259,7036.259,192.86
-5088.766,7038.766,192.67
-5091.631,7041.631,193.19
-5094.139,7044.139,194.43
-5097.004,7047.004,195.48
-5099.511,7049.511,196.33
-5102.376,7052.376,196.19
-5104.883,7054.883,195.81
-5107.749,7057.749,195.86
-5110.256,7060.256,195.86
-5113.121,7063.121,195.57
-5115.629,7065.629,195.1
-5118.494,7068.494,194.38
-5121.001,7071.001,193.9
-5123.867,7073.867,193.1
-5126.374,7076.374,192.14
-5129.24,7079.24,191.05
-5131.747,7081.747,190.71
-5134.613,7084.613,190.33
-5137.12,7087.12,190.67
-5139.986,7089.986,190.67
-5142.493,7092.493,190.43
-5145.359,7095.359,191.05
-5148.225,7098.225,191.29
-5150.733,7100.733,190.95
-5153.598,7103.598,191
-5156.106,7106.106,191.48
-5158.972,7108.972,191.67
-5161.479,7111.479,192
-5164.345,7114.345,192
-5166.853,7116.853,191.86
-5169.719,7119.719,191.9
-5172.227,7122.227,191.38
-5175.093,7125.093,190.9
-5177.6,7127.6,191.67
-5180.466,7130.466,192.48
-5182.974,7132.974,193
-5185.84,7135.84,193.24
-5188.348,7138.348,193.57
-5191.214,7141.214,193.81
-5193.722,7143.722,193.86
-5196.589,7146.589,194
-5199.097,7149.097,193.9
-5201.963,7151.963,194.24
-5204.471,7154.471,194.29
-5207.337,7157.337,193.95
-5209.845,7159.845,193.43
-5212.711,7162.711,193.33
-5215.22,7165.22,193.38
-5218.086,7168.086,193.05
-5220.594,7170.594,192.62
-5223.102,7173.102,192.67
-5225.61,7175.61,193.05
-5228.119,7178.119,193.29
-5230.627,7180.627,193.33
-5233.135,7183.135,193.1
-5235.643,7185.643,192.57
-5238.152,7188.152,192.1
-5240.66,7190.66,191.57
-5243.168,7193.168,191.38
-5245.677,7195.677,191.19
-5248.185,7198.185,190.86
-5250.693,7200.693,190.52
-5253.202,7203.202,190.1
-5256.069,7206.069,189.67
-5258.577,7208.577,189.24
-5261.085,7211.085,189
-5263.594,7213.594,188.81
-5266.103,7216.103,188.76
-5268.611,7218.611,188.81
-5271.12,7221.12,188.62
-5273.628,7223.628,188.81
-5276.137,7226.137,188.9
-5278.645,7228.645,188.67
-5281.154,7231.154,188.67
-5283.663,7233.663,188.95
-5286.171,7236.171,189.33
-5288.68,7238.68,189.9
-5291.189,7241.189,190.48
-5293.698,7243.698,190.57
-5296.206,7246.206,190.52
-5298.715,7248.715,190.48
-5301.224,7251.224,190.33
-5303.733,7253.733,190.43
-5306.242,7256.242,190.48
-5308.751,7258.751,189.9
-5311.259,7261.259,189.24
-5313.768,7263.768,188.57
-5316.277,7266.277,188.1
-5318.786,7268.786,187.86
-5321.295,7271.295,187.71
-5323.804,7273.804,187.48
-5326.313,7276.313,187.33
-5328.822,7278.822,186.95
-5331.69,7281.69,186.9
-5334.199,7284.199,187
-5336.708,7286.708,187.33
-5339.217,7289.217,187.71
-5341.726,7291.726,187.95
-5344.235,7294.235,187.95
-5346.745,7296.745,187.9
-5349.254,7299.254,187.86
-5351.763,7301.763,187.76
-5354.272,7304.272,188.1
-5356.782,7306.782,188.62
-5359.291,7309.291,188.9
-5361.8,7311.8,189.19
-5364.31,7314.31,189.38
-5366.819,7316.819,189.05
-5369.328,7319.328,188.52
-5371.838,7321.838,188.57
-5374.347,7324.347,188.76
-5376.857,7326.857,189.14
-5379.366,7329.366,189.43
-5381.876,7331.876,189.57
-5384.385,7334.385,189.76
-5386.895,7336.895,189.86
-5389.404,7339.404,189.9
-5391.914,7341.914,190.19
-5394.424,7344.424,190.52
-5396.933,7346.933,190.52
-5399.443,7349.443,190.62
-5401.953,7351.953,190.76
-5404.821,7354.821,190.48
-5407.33,7357.33,189.95
-5409.84,7359.84,189.67
-5412.35,7362.35,189.62
-5414.86,7364.86,189.57
-5417.37,7367.37,189.1
-5419.879,7369.879,189.29
-5422.389,7372.389,190
-5424.899,7374.899,190.19
-5427.409,7377.409,189.81
-5429.919,7379.919,189.62
-5432.429,7382.429,189.86
-5434.939,7384.939,190.1
-5437.449,7387.449,190.14
-5439.959,7389.959,190.86
-5442.469,7392.469,191.62
-5444.979,7394.979,191.81
-5447.489,7397.489,191.62
-5449.999,7399.999,191.67
-5452.509,7402.509,191.95
-5455.019,7405.019,192.48
-5457.529,7407.529,192.76
-5460.04,7410.04,192.86
-5462.55,7412.55,192.71
-5465.06,7415.06,192.19
-5467.57,7417.57,191.24
-5470.08,7420.08,190.67
-5472.591,7422.591,190.29
-5475.101,7425.101,189.86
-5477.97,7427.97,189.43
-5480.48,7430.48,189.33
-5482.991,7432.991,189
-5485.501,7435.501,188.71
-5488.012,7438.012,188.29
-5490.522,7440.522,188.48
-5493.032,7443.032,188.48
-5495.543,7445.543,188.48
-5498.053,7448.053,188.43
-5500.564,7450.564,188.05
-5503.074,7453.074,188
-5505.585,7455.585,187.86
-5508.096,7458.096,187.81
-5510.606,7460.606,187.71
-5513.117,7463.117,187.95
-5515.628,7465.628,187.9
-5518.138,7468.138,187.67
-5520.649,7470.649,187.52
-5523.16,7473.16,187.57
-5525.67,7475.67,187.67
-5528.181,7478.181,187.9
-5530.692,7480.692,187.81
-5533.203,7483.203,188.19
-5535.714,7485.714,188.57
-5538.224,7488.224,188.95
-5540.735,7490.735,189.29
-5543.246,7493.246,189.62
-5545.757,7495.757,189.71
-5548.268,7498.268,189.81
-5550.779,7500.779,190.05
-5553.649,7503.649,190.19
-5556.16,7506.16,190.29
-5558.671,7508.671,190.33
-5561.182,7511.182,190.33
-5563.693,7513.693,190.33
-5566.204,7516.204,190.24
-5568.715,7518.715,190.14
-5571.226,7521.226,190.52
-5573.737,7523.737,190.62
-5576.249,7526.249,190.86
-5578.76,7528.76,191.19
-5581.271,7531.271,191.48
-5583.782,7533.782,191.62
-5586.294,7536.294,191.52
-5588.805,7538.805,191.52
-5591.316,7541.316,191.48
-5593.828,7543.828,191.52
-5596.339,7546.339,191.38
-5598.85,7548.85,191.14
-5601.362,7551.362,190.95
-5603.873,7553.873,190.76
-5606.385,7556.385,190.14
-5608.896,7558.896,190.38
-5611.408,7561.408,190.67
-5613.919,7563.919,190.43
-5616.431,7566.431,190
-5618.942,7568.942,189.57
-5621.454,7571.454,189.29
-5623.965,7573.965,189.14
-5626.836,7576.836,189.14
-5629.348,7579.348,188.9
-5631.859,7581.859,188.86
-5634.371,7584.371,189
-5636.883,7586.883,188.33
-5639.394,7589.394,188.43
-5641.906,7591.906,188.76
-5644.418,7594.418,189.14
-5646.93,7596.93,189.57
-5649.442,7599.442,190.1
-5651.953,7601.953,190.52
-5654.465,7604.465,190.95
-5656.977,7606.977,191.38
-5659.489,7609.489,191.67
-5662.001,7612.001,191.95
-5664.513,7614.513,191.95
-5667.025,7617.025,192
-5669.537,7619.537,192.14
-5672.049,7622.049,192
-5674.561,7624.561,191.81
-5677.073,7627.073,192.14
-5679.585,7629.585,192.43
-5682.097,7632.097,192.19
-5684.61,7634.61,192.19
-5687.122,7637.122,192.38
-5689.634,7639.634,192.48
-5692.146,7642.146,192.62
-5694.658,7644.658,192.76
-5697.171,7647.171,192.67
-5699.683,7649.683,192.76
-5702.554,7652.554,192.62
-5705.067,7655.067,192.24
-5707.579,7657.579,191.67
-5710.091,7660.091,191.67
-5712.604,7662.604,191.48
-5715.116,7665.116,191.19
-5717.629,7667.629,191.43
-5720.141,7670.141,191.76
-5722.653,7672.653,192.05
-5725.166,7675.166,192.19
-5727.679,7677.679,191.86
-5730.191,7680.191,191.9
-5732.704,7682.704,192
-5735.216,7685.216,191.95
-5737.729,7687.729,191.76
-5740.242,7690.242,191.62
-5742.754,7692.754,191.38
-5745.267,7695.267,190.81
-5747.78,7697.78,190.29
-5750.292,7700.292,190.33
-5752.805,7702.805,190.29
-5755.318,7705.318,190.1
-5757.831,7707.831,190
-5760.344,7710.344,190.24
-5762.856,7712.856,190.71
-5765.369,7715.369,191.29
-5767.882,7717.882,191.71
-5770.395,7720.395,191.9
-5772.908,7722.908,192
-5775.78,7725.78,192.24
-5778.293,7728.293,192.48
-5780.806,7730.806,193.24
-5783.319,7733.319,193.81
-5785.832,7735.832,194.52
-5788.345,7738.345,194.71
-5790.858,7740.858,194.71
-5793.371,7743.371,194.67
-5795.885,7745.885,194.67
-5798.398,7748.398,194.76
-5800.911,7750.911,194.76
-5803.424,7753.424,194.48
-5805.937,7755.937,194.14
-5808.451,7758.451,193.57
-5810.964,7760.964,193
-5813.477,7763.477,192.48
-5815.991,7765.991,192.24
-5818.504,7768.504,191.71
-5821.017,7771.017,191.29
-5823.531,7773.531,190.62
-5826.044,7776.044,190.48
-5828.558,7778.558,190.43
-5831.071,7781.071,190.33
-5833.584,7783.584,190.52
-5836.098,7786.098,190.48
-5838.612,7788.612,190.43
-5841.125,7791.125,190.67
-5843.639,7793.639,190.95
-5846.152,7796.152,191.14
-5848.666,7798.666,191.48
-5851.539,7801.539,191.62
-5854.052,7804.052,191.76
-5856.566,7806.566,191.81
-5859.08,7809.08,191.71
-5861.594,7811.594,191.67
-5864.107,7814.107,191.57
-5866.621,7816.621,191.05
-5869.135,7819.135,190.57
-5871.649,7821.649,190.05
-5874.163,7824.163,190
-5876.676,7826.676,189.67
-5879.19,7829.19,189.33
-5881.704,7831.704,189.29
-5884.218,7834.218,188.9
-5886.732,7836.732,189.05
-5889.246,7839.246,189.33
-5891.76,7841.76,190
-5894.274,7844.274,190.48
-5896.788,7846.788,190.9
-5899.303,7849.303,191.33
-5901.817,7851.817,191.43
-5904.331,7854.331,192.1
-5906.845,7856.845,192.48
-5909.359,7859.359,192.9
-5911.873,7861.873,193.14
-5914.388,7864.388,192.9
-5916.902,7866.902,192.62
-5919.416,7869.416,192.71
-5921.93,7871.93,192.52
-5924.804,7874.804,192.57
-5927.318,7877.318,192.71
-5929.833,7879.833,192.57
-5932.347,7882.347,191.9
-5934.861,7884.861,191.52
-5937.376,7887.376,191
-5939.89,7889.89,190.9
-5942.405,7892.405,191.48
-5944.919,7894.919,191.57
-5947.434,7897.434,191.62
-5949.948,7899.948,191.71
-5952.463,7902.463,191.52
-5954.978,7904.978,191.62
-5957.492,7907.492,192.05
-5960.007,7910.007,193.05
-5962.522,7912.522,193.43
-5965.036,7915.036,193.48
-5967.551,7917.551,193.1
-5970.066,7920.066,193.29
-5972.581,7922.581,193.29
-5975.095,7925.095,193.52
-5977.61,7927.61,193.48
-5980.125,7930.125,193.48
-5982.64,7932.64,193.14
-5985.155,7935.155,192.48
-5987.67,7937.67,191.95
-5990.185,7940.185,192
-5992.7,7942.7,192.57
-5995.215,7945.215,192.29
-5998.089,7948.089,191.9
-6000.604,7950.604,191.52
-6003.119,7953.119,191.1
-6005.634,7955.634,191.24
-6008.149,7958.149,191.52
-6010.664,7960.664,191.76
-6013.179,7963.179,192.14
-6015.695,7965.695,192.67
-6018.21,7968.21,193
-6020.725,7970.725,192.81
-6023.24,7973.24,192.9
-6025.755,7975.755,193.43
-6028.271,7978.271,194.19
-6030.786,7980.786,194.43
-6033.301,7983.301,194.43
-6035.817,7985.817,194.38
-6038.332,7988.332,193.86
-6040.848,7990.848,193.48
-6043.363,7993.363,193.29
-6045.878,7995.878,193
-6048.394,7998.394,193.29
-6050.909,8000.909,192.95
-6053.425,8003.425,192.38
-6055.94,8005.94,191.95
-6058.456,8008.456,191.62
-6060.972,8010.972,191.48
