age (BP),age (BP),temperature (degC),ageMin (BP),uncertaintyHigh (degC),uncertaintyLow (degC)
20,40,5.55,0,6.44,4.67
120,140,3.84,100,4.79,2.88
140,160,6.21,120,7.03,5.4
180,200,2.47,160,2.85,2.09
360,380,6.35,340,7.44,5.27
580,600,5.26,560,6.11,4.4
600,620,6.22,580,7.09,5.34
620,640,7.18,600,7.8,6.56
700,720,7.19,680,7.85,6.53
720,740,6.31,700,7.1,5.52
740,760,5.96,720,6.78,5.13
760,780,7.16,740,7.76,6.56
800,820,6.77,780,7.6,5.94
860,880,6.77,840,7.46,6.07
880,900,3.07,860,3.78,2.36
900,920,4.58,880,5.77,3.39
940,960,6.97,920,7.82,6.11
1000,1020,2.57,980,3.04,2.1
1020,1040,4.8,1000,5.77,3.84
1060,1080,5.28,1040,6.39,4.18
1080,1100,3.98,1060,4.94,3.02
1100,1120,5.03,1080,6.2,3.87
1120,1140,6.61,1100,7.38,5.85
1140,1160,7.02,1120,7.6,6.44
1180,1200,4.68,1160,5.52,3.84
1240,1260,3.66,1220,4.58,2.75
1260,1280,5.14,1240,6.29,3.99
1320,1340,4.97,1300,6.18,3.76
1340,1360,5.34,1320,6.39,4.29
1360,1380,6.42,1340,7.32,5.51
1380,1400,7.42,1360,7.91,6.94
1420,1440,4.1,1400,5.25,2.95
1440,1460,5.57,1420,6.56,4.57
1520,1540,5.28,1500,6.46,4.1
1540,1560,6.19,1520,7.24,5.14
1600,1620,7.03,1580,7.84,6.22
1620,1640,7.44,1600,7.87,7.01
1640,1660,6.41,1620,7.5,5.33
1680,1700,6.98,1660,7.66,6.3
1740,1760,7.26,1720,7.84,6.68
1760,1780,5.93,1740,7.1,4.76
1780,1800,4.6,1760,5.52,3.68
1800,1820,6.72,1780,7.57,5.87
1820,1840,6.36,1800,7.21,5.5
1840,1860,6.29,1820,7.07,5.5
1860,1880,6.45,1840,7.33,5.56
1881,1901,5.3,1861,6.37,4.23
1905,1925,3.18,1885,3.84,2.52
1928,1948,6.69,1908,7.62,5.76
1952,1972,6.56,1932,7.3,5.83
1975,1995,6.09,1955,6.97,5.2
2023,2043,6.32,2003,7.15,5.49
2093,2113,7.18,2073,7.9,6.46
2117,2137,5.92,2097,6.82,5.01
2141,2161,6.35,2121,7.25,5.45
2447,2467,7.22,2427,7.86,6.58
2518,2538,6.72,2498,7.61,5.83
2542,2562,7.48,2522,7.92,7.04
2565,2585,6.99,2545,7.72,6.25
2589,2609,7.28,2569,7.86,6.71
2613,2633,6.88,2593,7.53,6.23
2636,2656,6.76,2616,7.61,5.9
2660,2680,5.48,2640,6.58,4.39
2683,2703,6.15,2663,7.01,5.28
2707,2727,5.74,2687,6.55,4.93
2731,2751,6.79,2711,7.51,6.07
2754,2774,4.36,2734,5.74,2.97
2778,2798,5.67,2758,6.57,4.76
2825,2845,7,2805,7.63,6.36
2849,2869,6.72,2829,7.56,5.89
2872,2892,6.19,2852,7.1,5.27
2896,2916,6.97,2876,7.64,6.3
2967,2987,7.08,2947,7.77,6.4
2990,3010,6.56,2970,7.44,5.68
3014,3034,5.77,2994,6.82,4.73
3037,3057,6.35,3017,7.16,5.54
3061,3081,6.17,3041,7.11,5.22
3085,3105,6.98,3065,7.76,6.19
3108,3128,5.35,3088,6.36,4.33
3132,3152,7.06,3112,7.75,6.36
3155,3175,6.9,3135,7.62,6.18
3179,3199,7.19,3159,7.73,6.64
3203,3223,5.25,3183,6.4,4.11
3226,3246,5.34,3206,6.42,4.25
3250,3270,6.22,3230,7.15,5.29
3273,3293,6.19,3253,7.22,5.17
3297,3317,6.16,3277,7.14,5.18
3321,3341,6.98,3301,7.78,6.17
3344,3364,5.52,3324,6.59,4.46
3399,3419,7.07,3379,7.71,6.43
3453,3473,4.96,3433,5.88,4.04
3480,3500,6.17,3460,7.09,5.24
3507,3527,6.92,3487,7.69,6.16
3534,3554,6.9,3514,7.7,6.1
3561,3581,7.4,3541,7.9,6.9
3588,3608,6.3,3568,7.3,5.29
3615,3635,7.05,3595,7.81,6.29
3642,3662,7.31,3622,7.82,6.8
3669,3689,6.35,3649,7.26,5.44
3723,3743,7,3703,7.72,6.29
3750,3770,5.17,3730,6.24,4.1
3831,3851,5.38,3811,6.44,4.33
3858,3878,5.45,3838,6.61,4.29
3885,3905,5.22,3865,6.07,4.38
3912,3932,6.75,3892,7.55,5.96
3939,3959,4.97,3919,5.98,3.97
3993,4013,4.19,3973,5.23,3.14
4074,4094,5.07,4054,6.17,3.96
4101,4121,5.15,4081,6.25,4.05
4128,4148,6.51,4108,7.24,5.77
4155,4175,7.11,4135,7.63,6.59
4209,4229,4.11,4189,5.23,2.99
4533,4553,2.72,4513,3.23,2.21
4695,4715,2.83,4675,3.43,2.24
4854,4874,6.14,4834,7.1,5.18
4939,4959,4.91,4919,5.9,3.92
4982,5002,6.14,4962,7.07,5.2
5003,5023,3.52,4983,4.43,2.61
5025,5045,6.64,5005,7.5,5.78
5068,5088,5.58,5048,6.54,4.62
5153,5173,5.65,5133,6.65,4.66
5175,5195,4.9,5155,5.77,4.03
5196,5216,3.8,5176,4.83,2.77
5239,5259,4.92,5219,6.02,3.83
5260,5280,4.88,5240,5.86,3.9
5324,5344,3.05,5304,3.77,2.34
5517,5537,4.56,5497,5.63,3.48
5538,5558,6.47,5518,7.43,5.52
5581,5601,6.79,5561,7.59,5.99
5752,5772,2.75,5732,3.3,2.19
