year (AD),age (BP),depth (m),temperature (degC)
1768.78,181.22,0.025,12.15
1683.44,266.56,0.055,11.3
1598.11,351.89,0.085,12.99
1494.08,455.92,0.125,11.4
1428.25,521.75,0.155,12.98
1340.48,609.52,0.195,13.7
1252.71,697.29,0.235,11.68
1121.05,828.95,0.295,13.16
1033.27,916.73,0.335,12.37
989.39,960.61,0.355,12.34
945.5,1004.5,0.375,12.39
796.5,1153.5,0.395,13
498.5,1451.5,0.435,12.66
349.5,1600.5,0.455,11.8
200.5,1749.5,0.475,13.53
146.5,1803.5,0.495,13.26
38.6,1911.4,0.535,12.11
-15.4,1965.4,0.555,12.7
-123.3,2073.3,0.595,12.43
-231.3,2181.3,0.635,12.98
-339.2,2289.2,0.675,12.59
-501.1,2451.1,0.735,12.98
-663,2613,0.795,12.5
-794.8,2744.8,0.855,12.95
-876,2826,0.895,12.13
-957.2,2907.2,0.935,12.39
-997.8,2947.8,0.955,11.34
-1078.9,3028.9,0.995,12.91
-1160.1,3110.1,1.035,11.94
-1200.7,3150.7,1.055,12.22
-1281.9,3231.9,1.095,13
-1363.1,3313.1,1.135,13.47
-1444.2,3394.2,1.175,14.15
-1484.8,3434.8,1.195,12.88
-1566,3516,1.235,13.26
-1706.6,3656.6,1.255,12.84
-1847.1,3797.1,1.275,13.75
-1987.7,3937.7,1.295,12.97
-2409.4,4359.4,1.355,12.93
-2550,4500,1.375,14.56
-2690.6,4640.6,1.395,13.03
-2938.9,4888.9,1.435,14.17
-3053.3,5003.3,1.455,13.04
-3310.6,5260.6,1.5,14.76
-3510.7,5460.7,1.535,12.38
-3625.1,5575.1,1.555,13.67
-3739.4,5689.4,1.575,13.76
-3853.8,5803.8,1.595,14.36
-4082.5,6032.5,1.635,13.7
-4151.2,6101.2,1.655,13.77
-4219.9,6169.9,1.675,14.53
-4288.6,6238.6,1.695,12.65
-4494.6,6444.6,1.755,15.36
-4563.3,6513.3,1.775,13.02
-4632,6582,1.795,14.58
-4826.4,6776.4,1.835,15.26
-4940.7,6890.7,1.855,13
-5055,7005,1.875,13.07
-5169.3,7119.3,1.895,14.44
-5397.9,7347.9,1.935,13.13
-5512.2,7462.2,1.955,11.11
-5626.5,7576.5,1.975,13.88
-5689.4,7639.4,1.995,13.89
-5815.3,7765.3,2.035,12.73
-5878.3,7828.3,2.055,13.74
-5941.2,7891.2,2.075,12.76
-6193,8143,2.155,13.33
-6318.9,8268.9,2.195,11.63
-6444.8,8394.8,2.235,11.89
-6570.6,8520.6,2.275,12
-6759.5,8709.5,2.335,12.48
-6822.4,8772.4,2.355,12.99
-6885.4,8835.4,2.375,10.71
-6948.3,8898.3,2.395,12.76
-7041.2,8991.2,2.435,12.34
-7114.4,9064.4,2.475,13.16
-7150.9,9100.9,2.495,13.24
-7224.1,9174.1,2.535,14.11
-7260.7,9210.7,2.555,14.61
-7333.8,9283.8,2.595,13.06
-7407,9357,2.635,14.48
-7480.1,9430.1,2.675,13.3
-7516.7,9466.7,2.695,13.59
-7589.8,9539.8,2.735,14.27
-7626.4,9576.4,2.755,15.7
-7699.6,9649.6,2.795,12.28
-7767.9,9717.9,2.835,15.13
-7833.4,9783.4,2.875,14.44
-7931.5,9881.5,2.935,14.22
-8029.7,9979.7,2.995,14.03
-8193,10143,3.095,14.36
-8382,10332,3.635,11
-8461,10411,3.875,12.86
-8545,10495,3.955,12.38
-8645,10595,4.495,10.94
-8760,10710,4.675,9.82
-8837,10787,4.795,8.21
-8926,10876,4.935,11.3
-9016,10966,5.075,10.16
-9118,11068,5.235,6.52
-9210,11160,5.435,9.03
-9294,11244,5.655,7.65
-10449,12399,8.855,6.96
