year (AD),age (BP),MTWM (degC)
1950,0,21.05
1900,50,21.061
1850,100,21.08
1800,150,21.223
1750,200,21.366
1700,250,21.361
1650,300,21.096
1600,350,20.831
1550,400,21.238
1500,450,21.779
1450,500,21.89
1400,550,21.87
1350,600,21.733
1300,650,21.616
1250,700,21.536
1200,750,21.456
1150,800,21.357
1100,850,21.254
1050,900,21.114
1000,950,20.897
950,1000,20.68
900,1050,20.61
850,1100,20.57
800,1150,20.545
750,1200,20.553
700,1250,20.526
650,1300,20.458
600,1350,20.389
550,1400,20.35
500,1450,20.371
450,1500,20.392
400,1550,20.414
350,1600,20.433
300,1650,20.447
250,1700,20.461
200,1750,20.475
150,1800,20.558
100,1850,20.821
50,1900,21.083
0,1950,21.346
-50,2000,21.514
-100,2050,21.401
-150,2100,21.287
-200,2150,21.173
-250,2200,21.06
-300,2250,20.946
-350,2300,20.832
-400,2350,20.719
-450,2400,20.612
-500,2450,20.534
-550,2500,20.456
-600,2550,20.378
-650,2600,20.317
-700,2650,20.333
-750,2700,20.348
-800,2750,20.364
-850,2800,20.38
-900,2850,20.62
-950,2900,20.998
-1000,2950,20.829
-1050,3000,20.657
-1100,3050,20.508
-1150,3100,20.363
-1200,3150,20.715
-1250,3200,21.316
-1300,3250,21.352
-1350,3300,20.83
-1400,3350,20.508
-1450,3400,20.574
-1500,3450,20.663
-1550,3500,20.859
-1600,3550,20.967
-1650,3600,20.851
-1700,3650,20.734
-1750,3700,20.654
-1800,3750,20.942
-1850,3800,21.23
-1900,3850,21.518
-1950,3900,21.648
-2000,3950,21.716
-2050,4000,21.784
-2100,4050,21.846
-2150,4100,21.896
-2200,4150,21.947
-2250,4200,21.998
-2300,4250,21.963
-2350,4300,21.925
-2400,4350,21.887
-2450,4400,21.806
-2500,4450,21.694
-2550,4500,21.582
-2600,4550,21.469
-2650,4600,21.357
-2700,4650,21.245
-2750,4700,21.133
-2800,4750,21.069
-2850,4800,21.014
-2900,4850,20.959
-2950,4900,20.905
-3000,4950,20.85
-3050,5000,20.829
-3100,5050,20.829
-3150,5100,20.829
-3200,5150,20.829
-3250,5200,20.829
-3300,5250,20.829
-3350,5300,20.829
-3400,5350,20.829
-3450,5400,20.829
-3500,5450,20.829
-3550,5500,20.829
-3600,5550,20.851
-3650,5600,20.878
-3700,5650,20.904
-3750,5700,20.931
-3800,5750,20.957
-3850,5800,21.014
-3900,5850,21.104
-3950,5900,21.194
-4000,5950,21.285
-4050,6000,21.375
-4100,6050,21.44
-4150,6100,21.252
-4200,6150,21.063
-4250,6200,20.875
-4300,6250,20.686
-4350,6300,20.498
-4400,6350,20.46
-4450,6400,20.484
-4500,6450,20.508
-4550,6500,20.531
-4600,6550,20.555
-4650,6600,20.596
-4700,6650,20.671
-4750,6700,20.746
-4800,6750,20.821
-4850,6800,20.896
-4900,6850,20.971
-4950,6900,20.935
-5000,6950,20.829
-5050,7000,20.724
-5100,7050,20.627
-5150,7100,20.613
-5200,7150,20.599
-5250,7200,20.585
-5300,7250,20.573
-5350,7300,20.591
-5400,7350,20.608
-5450,7400,20.626
-5500,7450,20.642
-5550,7500,20.624
-5600,7550,20.606
-5650,7600,20.588
-5700,7650,20.573
-5750,7700,20.601
-5800,7750,20.638
-5850,7800,20.944
-5900,7850,21.24
-5950,7900,21.119
-6000,7950,20.997
-6050,8000,20.784
-6100,8050,20.572
-6150,8100,20.678
-6200,8150,20.785
-6250,8200,20.927
-6300,8250,21.224
-6350,8300,20.991
-6400,8350,20.663
-6450,8400,20.391
-6500,8450,20.513
-6550,8500,20.905
-6600,8550,21.156
-6650,8600,21.218
-6700,8650,20.955
-6750,8700,20.484
-6800,8750,20.392
-6850,8800,20.4
-6900,8850,20.644
-6950,8900,20.82
-7000,8950,20.577
-7050,9000,20.425
-7100,9050,20.456
-7150,9100,20.471
-7200,9150,20.471
-7250,9200,20.477
-7300,9250,20.485
-7350,9300,20.534
-7400,9350,20.584
-7450,9400,20.553
-7500,9450,20.521
-7550,9500,20.49
-7600,9550,20.476
-7650,9600,20.486
-7700,9650,20.497
-7750,9700,20.472
-7800,9750,20.43
-7850,9800,20.39
-7900,9850,20.351
-7950,9900,20.1
-8000,9950,19.789
-8050,10000,20.102
-8100,10050,20.388
-8150,10100,20.147
-8200,10150,19.98
-8250,10200,20.011
-8300,10250,20.039
-8350,10300,20.062
-8400,10350,20.068
-8450,10400,20.063
-8500,10450,20.058
-8550,10500,20.017
-8600,10550,19.97
-8650,10600,19.944
-8700,10650,20.069
-8750,10700,20.194
-8800,10750,20.175
-8850,10800,19.925
-8900,10850,19.674
-8950,10900,19.692
-9000,10950,19.856
-9050,11000,20.02
