depth (cm),ageType (unitless),labID (unitless),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (unitless),notes (unitless)
85,Carbon-14,110491,100,2100,gyttja,NA
177.5,Carbon-14,110492,100,4030,gyttja,NA
282.5,Carbon-14,110493,130,5790,gyttja,NA
347.5,Carbon-14,110494,120,7350,gyttja,NA
352.5,Carbon-14,110495,150,8700,Tsuga mertensiana needles,NA
382.5,Carbon-14,110496,120,9870,Tsuga mertensiana needles,NA
387.5,Carbon-14,110497,130,10620,gyttja,NA
