depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated (),rejected_dates (),note ()
6.5,70,60,652,36,333,256,10,1,4,3,NA,NA
11,120,100,775,40,472,374,20,1,20,8,NA,NA
37.5,380,370,1466,38,1053,956,10,1,5,3,NA,NA
47.5,480,470,2154,38,1802,1697,10,1,6,3,NA,NA
81,820,800,2910,40,2748,2659,20,1,15,2,NA,NA
113.5,1140,1130,3840,39,3850,3724,10,1,14,4,1,1
123.5,1240,1230,3624,41,3574,3458,10,1,7,3,NA,NA
141,1420,1400,4568,44,4874,4618,20,1,16,4,NA,NA
163.5,1640,1630,5636,57,6112,5953,10,1,NA,5,NA,NA
181,1820,1800,6200,56,6779,6488,20,1,17,4,NA,NA
197.5,1980,1970,7095,25,7606,7547,10,1,23,4,NA,NA
241,2420,2400,8379,51,9058,8900,20,1,18,2,NA,NA
281,2820,2800,8978,53,9704,9541,20,1,19,4,NA,NA
315.5,3160,3150,9393,66,10316,10167,10,1,8,3,NA,NA
343.5,3440,3430,9424,48,10328,10204,10,1,9,1,NA,NA
389.5,3900,3890,9555,74,10509,10327,10,1,10,6,NA,NA
401,4020,4000,9710,65,10628,10502,20,1,21,8,NA,NA
413.5,4140,4130,9734,50,10634,10533,10,1,11,7,NA,NA
448,4480,4480,9735,51,10637,10533,0,1,13,7,NA,NA
529.5,5300,5290,10075,57,11177,11036,10,1,12,7,NA,NA
791,7920,7900,10700,55,12336,11869,20,1,22,8,NA,NA
1173.5,11750,11720,11840,90,13374,13217,30,1,1,9,NA,NA
2261,22620,22600,13790,80,16087,15680,20,1,2,11,NA,NA
2320,23200,23200,42000,NA,NA,NA,0,1,3,10,NA,NA
