age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated ()
-54,0,0,0,NA,NA,-50,-58,0,2,NA,NA
NA,1.5,15,15,1110,60,1060,950,0,1,6,1
NA,35.5,355,355,2310,55,2350,2210,0,1,7,1
NA,76.5,765,765,3610,95,4080,3730,0,1,8,2
NA,107,1070,1070,4770,60,5590,5330,0,1,1,2
NA,108,1080,1080,4860,60,5650,5490,0,1,2,1
NA,137.5,1375,1375,5870,65,6750,6570,0,1,9,1
NA,167.5,1675,1675,7620,55,8420,8380,0,1,11,1
NA,202.5,2025,2025,9260,80,10560,10250,0,1,10,2
NA,275,2750,2750,10440,100,12800,12110,0,1,3,1
NA,303.5,3035,3035,10950,120,12810,11770,0,1,4,3
NA,366.5,3665,3665,11350,100,12980,12660,0,1,5,3
