depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),OriginalSampleID (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
1293,107.31,10.732,NA,1,11.797,9.667,y
1297,324.12,9.932,NA,2,10.981,8.883,y
1301,538.59,10.162,NA,3,11.214,9.109,y
1305,749.31,10.363,NA,4,11.427,9.299,y
1309,954.88,10.61,NA,5,11.665,9.555,y
1313,1153.9,10.69,NA,6,11.743,9.637,y
1317,1344.97,10.409,NA,7,11.475,9.344,y
1321,1527.51,11.22,NA,8,12.268,10.172,y
1325,1702.27,10.483,NA,9,11.524,9.442,y
1329,1870.11,10.91,NA,10,11.963,9.858,y
1333,2031.89,10.942,NA,11,11.997,9.887,y
1337,2188.48,10.312,NA,12,11.357,9.268,y
1342,2378.24,10.192,NA,13,11.245,9.14,y
1346,2526.32,10.903,NA,14,11.954,9.851,y
1350,2672.01,10.525,NA,15,11.579,9.471,y
1354,2816.19,10.575,NA,16,11.615,9.535,y
1358,2959.72,10.799,NA,17,11.846,9.752,y
1362,3103.46,10.795,NA,18,11.851,9.738,y
1366,3248.28,10.676,NA,19,11.734,9.619,y
1370,3395.05,10.795,NA,20,11.839,9.751,y
1374,3544.62,11.296,NA,21,12.348,10.245,y
1380,3776,NA,10.732,22,11.807,9.699,n
1385,3976.03,NA,9.932,23,12.009,9.918,n
1389,4140.98,NA,10.162,24,11.574,9.492,n
1393,4310.5,NA,10.363,25,11.404,9.293,n
1397,4484.71,NA,10.61,26,11.82,9.71,n
1403,4755.07,NA,10.69,27,11.594,9.503,n
1406,4894.06,NA,10.409,28,12.122,10.022,n
1409,5035.34,NA,11.22,29,11.976,9.896,n
1413,5226.9,NA,10.483,30,11.913,9.831,n
1417,5421.68,NA,10.91,31,11.178,9.064,n
1421,5619.2,NA,10.942,32,12.003,9.906,n
1425,5818.97,NA,10.312,33,10.957,8.865,n
1429,6020.51,NA,10.192,34,11.505,9.413,n
1433,6223.35,NA,10.903,35,11.872,9.771,n
1437,6427,NA,10.525,36,11.862,9.72,n
1441,6630.99,NA,10.575,37,11.743,9.651,n
1445,6834.86,NA,10.799,38,11.387,9.303,n
1449,7038.23,NA,10.795,39,11.816,9.714,n
1453,7240.69,NA,10.676,40,11.955,9.852,n
1457,7441.85,NA,10.795,41,11.171,9.085,n
1461,7641.37,NA,11.296,42,11.848,9.725,n
1465,7839.29,NA,NA,43,11.616,9.532,n
1469,8035.82,NA,NA,44,11.438,9.32,n
1472,8182.41,NA,NA,45,11.286,9.182,n
1475,8328.42,NA,NA,46,11.886,9.797,n
1479,8522.33,NA,NA,47,11.202,9.099,n
1483,8715.55,NA,NA,48,10.902,8.768,n
1487,8908.3,NA,NA,49,11.303,9.196,n
1491,9100.85,NA,NA,50,11.525,9.389,n
1495,9293.55,NA,NA,51,11.419,9.287,n
1499,9486.71,NA,NA,52,10.941,8.761,n
1503,9680.66,NA,NA,53,11.544,9.414,n
1507,9875.72,NA,NA,54,10.985,8.89,n
1511,10072.23,NA,NA,55,11.254,9.154,n
1515,10270.46,NA,NA,56,11.11,8.985,n
1519,10470.33,NA,NA,57,10.53,8.368,n
1523,10671.54,NA,NA,58,10.517,8.371,n
1527,10873.82,NA,NA,59,10.301,8.171,n
1531,11076.88,NA,NA,60,10.525,8.395,n
1535,11280.43,NA,NA,61,9.915,7.771,n
