age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),note ()
-43.5,936,9360,9360,NA,NA,0,2,1
NA,954.5,9540,9550,1886,65,10,1,2
NA,992.5,9920,9930,2130,70,10,1,2
NA,1036.5,10360,10370,2995,55,10,1,2
NA,1084.5,10840,10850,4705,70,10,1,2
NA,1128.5,11280,11290,6270,85,10,1,2
NA,1136.5,11360,11370,7240,60,10,1,2
NA,1152.5,11520,11530,9265,55,10,1,2
