depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
35,Carbon-14,111326,155,2005,Gyttja,NA
95,Carbon-14,111327,155,2795,Gyttja,NA
160,Carbon-14,111328,185,5235,Gyttja,NA
