year (AD),age (BP),HumidificationIndex (abs)
1724,226,0.18
1681,269,0.052
1639,311,0.269
1596,354,0.432
1554,396,0.522
1511,439,0.485
1469,481,0.218
1426,524,0.007
1384,566,-0.232
1341,609,-0.283
1299,651,-0.193
1256,694,-0.205
1214,736,-0.233
1171,779,-0.209
1140,810,-0.014
1120,830,0.02
1100,850,0.298
1080,870,0.409
1060,890,0.693
1040,910,0.613
1020,930,0.408
1000,950,0.591
981,969,0.604
961,989,0.459
941,1009,0.016
921,1029,-0.4
897,1053,-0.342
874,1076,-0.395
854,1096,-0.412
834,1116,-0.554
814,1136,-0.663
794,1156,-0.7
775,1175,-0.568
755,1195,-0.281
735,1215,0.384
715,1235,0.791
695,1255,0.852
675,1275,0.378
655,1295,-0.118
635,1315,-0.481
615,1335,-0.706
573,1377,-0.858
532,1418,-0.788
490,1460,-0.748
448,1502,-0.668
407,1543,-0.835
365,1585,-0.964
323,1627,-1.094
282,1668,-1.109
240,1710,-1.017
198,1752,-0.765
157,1793,-0.538
115,1835,-0.368
73,1877,-0.437
32,1918,-0.537
-10,1960,-0.59
-52,2002,-0.444
-93,2043,-0.143
-135,2085,0.047
-184,2134,0.061
-232,2182,-0.146
-274,2224,-0.278
-316,2266,0.115
-357,2307,0.285
-399,2349,0.455
-441,2391,0.225
-482,2432,0.428
-524,2474,0.441
-566,2516,0.693
-607,2557,0.624
-649,2599,0.967
-691,2641,0.766
-732,2682,1.114
-774,2724,0.823
-816,2766,1.191
-857,2807,0.846
-899,2849,1.406
-941,2891,1.291
-982,2932,1.604
-1024,2974,1.387
-1062,3012,1.327
-1096,3046,1.126
-1131,3081,0.768
-1165,3115,0.426
-1199,3149,0.145
-1233,3183,-0.155
-1268,3218,-0.359
-1302,3252,-0.506
-1336,3286,-0.193
-1370,3320,-0.016
-1405,3355,0.081
-1439,3389,-0.217
-1468,3418,-0.299
-1490,3440,-0.267
-1519,3469,-0.146
-1553,3503,-0.091
-1587,3537,-0.187
-1622,3572,-0.26
-1656,3606,-0.401
-1690,3640,-0.458
-1724,3674,-0.487
-1759,3709,0.033
-1793,3743,0.637
-1819,3769,1.186
-1845,3795,1.304
-1871,3821,0.961
-1896,3846,0.653
-1922,3872,0.117
-1948,3898,-0.114
-1974,3924,-0.374
-2000,3950,-0.517
-2026,3976,-0.727
-2052,4002,-0.834
-2077,4027,-0.557
-2103,4053,-0.33
-2129,4079,-0.019
-2155,4105,-0.221
-2181,4131,-0.356
-2207,4157,-0.479
-2232,4182,-0.605
-2258,4208,-0.325
-2284,4234,0.014
-2310,4260,0.138
-2355,4305,0.506
-2401,4351,0.175
-2446,4396,0.371
-2484,4434,-0.141
-2514,4464,0.026
-2551,4501,0.01
-2597,4547,0.197
-2642,4592,0.339
-2687,4637,0.202
-2733,4683,0.05
-2778,4728,-0.341
-2823,4773,-0.492
-2868,4818,-0.728
-2914,4864,-0.466
-2959,4909,-0.124
-3004,4954,-0.013
-3049,4999,-0.394
-3095,5045,-0.749
-3140,5090,-0.85
-3197,5147,-0.799
-3253,5203,-0.703
-3310,5260,-0.59
-3367,5317,-0.662
-3424,5374,-0.866
-3480,5430,-0.982
-3537,5487,-0.826
-3594,5544,-0.391
-3650,5600,0.026
-3707,5657,0.243
-3764,5714,0.007
-3820,5770,-0.105
-3877,5827,-0.233
-3934,5884,-0.071
-3991,5941,-0.195
-4047,5997,-0.421
-4104,6054,-0.494
-4161,6111,-0.208
-4208,6158,0.361
-4246,6196,0.241
-4293,6243,-0.213
-4350,6300,-0.584
-4406,6356,-0.549
-4463,6413,-0.043
-4520,6470,0.071
-4576,6526,-0.079
-4633,6583,-0.341
-4690,6640,-0.404
-4747,6697,0.009
-4803,6753,0.071
-4860,6810,0.321
-4917,6867,0.264
-4973,6923,0.199
-5030,6980,-0.014
-5117,7067,0.175
-5205,7155,0.359
-5292,7242,0.476
-5379,7329,0.005
-5466,7416,-0.298
-5554,7504,-0.557
-5641,7591,-0.18
-5728,7678,0.108
-5816,7766,0.164
-5903,7853,0.419
-5990,7940,0.475
-6077,8027,0.668
-6165,8115,0.365
-6252,8202,0.422
-6339,8289,0.705
-6412,8362,1.05
-6441,8391,0.966
-6499,8449,0.758
-6514,8464,0.391
-6587,8537,0.151
-6674,8624,-0.044
-6703,8653,-0.042
-6732,8682,0.302
-6761,8711,0.588
-6848,8798,0.681
-6936,8886,0.528
-7023,8973,0.302
-7110,9060,0.187
-7198,9148,0.215
-7285,9235,0.239
-7372,9322,0.195
-7459,9409,-0.041
-7547,9497,-0.289
-7634,9584,-0.404
-7721,9671,-0.436
-7809,9759,-0.738
