depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
200,4076,18.343,-14.6,2.857,842.571
210,4282,16.671,-17,0.889,983
220,4488,19.157,-13.6,3.86,814.714
230,4693,19.229,-13.686,3.865,802.714
240,4899,19.143,-13,4.03,799.714
250,5104,19.229,-13.686,3.865,802.714
260,5310,19.257,-12.714,4.271,807.857
270,5515,18.629,-12.157,3.929,797.714
280,5721,19.229,-13.686,3.865,802.714
290,5926,19.257,-12.714,4.271,807.857
300,6132,19.286,-13.457,4.042,803.429
310,6453,19.286,-13.686,3.91,799.429
320,7121,19.157,-13.6,3.86,814.714
330,7788,19.514,-13.986,3.986,789.286
340,8456,19.157,-13.6,3.86,814.714
350,9124,18.629,-14.729,3.094,759.714
360,9791,18.171,-16.543,2.032,759.143
370,10459,18.457,-16.386,2.226,740
380,11127,NA,NA,NA,NA
