year (AD),age (BP),MTWM (degC)
1950,0,22
1900,50,22.03
1850,100,22.061
1800,150,22.091
1750,200,22.122
1700,250,22.152
1650,300,22.183
1600,350,22.213
1550,400,22.244
1500,450,22.19
1450,500,22.071
1400,550,21.953
1350,600,21.834
1300,650,21.716
1250,700,21.597
1200,750,21.479
1150,800,21.36
1100,850,21.247
1050,900,21.175
1000,950,21.102
950,1000,21.029
900,1050,20.956
850,1100,20.883
800,1150,20.81
750,1200,20.738
700,1250,20.665
650,1300,20.626
600,1350,20.603
550,1400,20.579
500,1450,20.555
450,1500,20.531
400,1550,20.508
350,1600,20.484
300,1650,20.46
250,1700,20.452
200,1750,20.488
150,1800,20.523
100,1850,20.559
50,1900,20.595
0,1950,20.63
-50,2000,20.666
-100,2050,20.701
-150,2100,20.737
-200,2150,20.756
-250,2200,20.771
-300,2250,20.786
-350,2300,20.801
-400,2350,20.817
-450,2400,20.832
-500,2450,20.847
-550,2500,20.862
-600,2550,20.877
-650,2600,20.89
-700,2650,20.904
-750,2700,20.917
-800,2750,20.931
-850,2800,20.945
-900,2850,20.958
-950,2900,20.972
-1000,2950,20.985
-1050,3000,20.948
-1100,3050,20.909
-1150,3100,20.87
-1200,3150,20.831
-1250,3200,20.792
-1300,3250,20.753
-1350,3300,20.714
-1400,3350,20.675
-1450,3400,20.654
-1500,3450,20.649
-1550,3500,20.644
-1600,3550,20.639
-1650,3600,20.634
-1700,3650,20.629
-1750,3700,20.624
-1800,3750,20.619
-1850,3800,20.615
-1900,3850,20.62
-1950,3900,20.625
-2000,3950,20.63
-2050,4000,20.635
-2100,4050,20.64
-2150,4100,20.528
-2200,4150,20.28
-2250,4200,20.033
-2300,4250,19.936
-2350,4300,19.926
-2400,4350,19.916
-2450,4400,20.155
-2500,4450,20.453
-2550,4500,20.751
-2600,4550,20.534
-2650,4600,20.307
-2700,4650,20.105
-2750,4700,20.045
-2800,4750,19.984
-2850,4800,19.962
-2900,4850,20.023
-2950,4900,20.084
-3000,4950,20.189
-3050,5000,20.341
-3100,5050,20.492
-3150,5100,20.442
-3200,5150,20.29
-3250,5200,20.139
-3300,5250,20.025
-3350,5300,19.919
-3400,5350,19.814
-3450,5400,19.814
-3500,5450,19.814
-3550,5500,19.821
-3600,5550,19.856
-3650,5600,19.891
-3700,5650,19.975
-3750,5700,20.146
-3800,5750,20.318
-3850,5800,20.236
-3900,5850,19.923
-3950,5900,19.61
-4000,5950,19.66
-4050,6000,19.869
-4100,6050,20.079
-4150,6100,20.288
-4200,6150,20.346
-4250,6200,20.229
-4300,6250,20.112
-4350,6300,19.995
-4400,6350,19.879
-4450,6400,19.762
-4500,6450,19.813
-4550,6500,19.897
-4600,6550,19.98
-4650,6600,20.064
-4700,6650,20.148
-4750,6700,20.223
-4800,6750,20.263
-4850,6800,20.304
-4900,6850,20.345
-4950,6900,20.385
-5000,6950,20.426
-5050,7000,20.346
-5100,7050,20.179
-5150,7100,20.011
-5200,7150,19.844
-5250,7200,19.676
-5300,7250,19.509
-5350,7300,19.628
-5400,7350,19.762
-5450,7400,19.897
-5500,7450,20.031
-5550,7500,20.166
-5600,7550,20.214
-5650,7600,20.08
-5700,7650,19.945
-5750,7700,19.811
-5800,7750,19.676
-5850,7800,19.542
-5900,7850,19.668
-5950,7900,19.912
-6000,7950,20.155
-6050,8000,20.399
-6100,8050,20.643
-6150,8100,20.858
-6200,8150,20.645
-6250,8200,20.432
-6300,8250,20.219
-6350,8300,20.006
-6400,8350,19.793
-6450,8400,19.706
-6500,8450,19.788
-6550,8500,19.869
-6600,8550,19.95
-6650,8600,20.031
-6700,8650,20.113
-6750,8700,19.98
-6800,8750,19.795
-6850,8800,19.609
-6900,8850,19.424
-6950,8900,19.239
-7000,8950,19.122
-7050,9000,19.333
-7100,9050,19.543
-7150,9100,19.754
-7200,9150,19.965
-7250,9200,20.175
-7300,9250,20.266
-7350,9300,20.256
-7400,9350,20.246
-7450,9400,20.235
-7500,9450,20.225
-7550,9500,20.215
-7600,9550,20.293
-7650,9600,20.38
-7700,9650,20.466
-7750,9700,20.552
-7800,9750,20.638
-7850,9800,20.632
-7900,9850,20.393
-7950,9900,20.155
-8000,9950,19.916
-8050,10000,19.678
-8100,10050,19.439
-8150,10100,19.474
-8200,10150,19.651
-8250,10200,19.829
-8300,10250,20.007
-8350,10300,20.184
-8400,10350,20.355
-8450,10400,20.284
-8500,10450,20.213
-8550,10500,20.142
-8600,10550,20.071
-8650,10600,20
-8700,10650,19.997
-8750,10700,20.096
-8800,10750,20.194
-8850,10800,20.293
-8900,10850,20.392
-8950,10900,20.491
-9000,10950,20.502
-9050,11000,20.487
