age (Calibrated),temperature (degC),ReliabIeYN1 (missing)
7573.93,10.923,Y
7672.44,10.646,Y
7902.58,10.825,Y
8009.38,10.71,Y
8110.93,11.223,Y
8207.43,10.664,Y
8316.83,10.698,Y
8386.04,9.853,Y
8468.54,10.256,Y
8546.76,8.566,Y
8620.9,9.186,Y
8677.41,9.564,Y
8757.72,9.588,Y
8833,9.638,Y
8880.55,9.522,Y
8937.21,9.673,Y
8990.96,10.199,Y
9041.99,8.901,Y
9071.38,10.77,Y
9109.24,10.233,Y
9145.65,10.702,Y
9172.08,9.397,Y
9206.21,7.766,Y
9263.21,9.499,Y
9302.03,9.242,Y
9324.66,8.361,Y
9375.81,10.33,Y
9390.05,8.703,Y
9425.07,8.226,Y
9445.74,9.132,Y
9472.98,8.841,Y
9513.38,8.25,Y
9540.14,8.912,Y
9587,10.918,Y
9613.95,9.685,Y
9654.9,8.161,Y
9682.69,8.289,Y
9718.15,7.941,Y
9754.59,8.256,Y
9784.59,7.249,Y
9815.44,7.717,Y
9871.79,7.589,Y
9914.13,7.239,Y
9949.9,6.728,Y
10004.88,7.005,Y
10053.69,6.947,Y
10105.05,6.308,Y
10255.177,7.139,Y
10400.958,6.438,Y
10473.847,6.843,Y
10619.628,6.912,Y
10692.517,6.815,Y
10809.601,6.355,Y
10816.021,6.276,Y
10828.861,6.423,Y
10835.28,6.499,Y
10848.12,5.878,Y
10867.379,5.581,Y
10883.429,5.58,Y
10899.478,6.071,Y
10915.528,5.921,Y
