depth (cm),age (bp),age14C (bp),age_error (1s),cal_age_error (2s),age_type (unitless),lab_id (unitless)
11.5,459,815,25,49.5,1,5
21,1130,1570,25,82.5,1,3
28.5,1544,1985,25,96.5,1,6
41.5,2242,2565,25,83,1,7
60.5,3240,3365,30,97.5,1,16
94.5,5256,4915,30,104,1,17
139,6927,6440,30,106.7,1,18
169,7767,7305,35,93.5,1,2
192,8285,7815,45,97,1,4
214.5,8922.5,8360,50,169.5,1,8
280.5,10026,9220,50,154,1,1
322.5,10422,9580,50,129,1,9
428.5,13833,12360,60,135,1,10
687.5,17017.5,14650,80,391.5,1,11
716.25,19923,17200,120,351,1,14
762.25,22438.5,19300,150,305.5,1,12
780.75,23881,20390,150,446,1,15
882.75,28909.5,24476,186,480.5,1,13
