year (AD),age (BP),d18O (missing)
1990,-40,-32.078
1980,-30,-32.775
1970,-20,-33.917
1960,-10,-34.109
1950,0,-33.963
1940,10,-33.711
1930,20,-32.988
1920,30,-34.382
1910,40,-33.606
1900,50,-33.365
1890,60,-33.639
1880,70,-33.508
1870,80,-34.415
1860,90,-33.583
1850,100,-33.525
1840,110,-33.862
1830,120,-35.234
1820,130,-32.818
1810,140,-31.458
1800,150,-28.745
1790,160,-28.686
1780,170,-30.476
1770,180,-30.902
1760,190,-28.001
1750,200,-31.072
1740,210,-30.988
1730,220,-31.46
1720,230,-30.136
1710,240,-28.68
1700,250,-28.947
1690,260,-31.093
1680,270,-32.248
1670,280,-31.752
1660,290,-31.2
1650,300,-30.9
1640,310,-31.2
1630,320,-29.879
1620,330,-29.364
1610,340,-31.507
1600,350,-31.151
1590,360,-31.576
1580,370,-29.002
1570,380,-31.894
1560,390,-32.024
1550,400,-31.516
1540,410,-32.034
1530,420,-31.964
1520,430,-33.394
1510,440,-30.724
1500,450,-31.066
1490,460,-30.375
1480,470,-31.904
1470,480,-31.928
1460,490,-30.101
1450,500,-32.278
1440,510,-33.469
1430,520,-31.438
1420,530,-32.789
1410,540,-32.808
1400,550,-32.19
1390,560,-31.617
1380,570,-33.208
1370,580,-31.603
1360,590,-31.278
1350,600,-31.011
1340,610,-30.717
1330,620,-31.464
1320,630,-28.185
1310,640,-28.91
1300,650,-31.319
1290,660,-32.183
1280,670,-31.834
1270,680,-32.526
1260,690,-29.357
1250,700,-32.682
1240,710,-32.51
1230,720,-33.619
1220,730,-32.252
1210,740,-31.588
1200,750,-34.773
1190,760,-31.633
1180,770,-33.255
1170,780,-30.357
1160,790,-30.688
1150,800,-32.267
1140,810,-31.937
1130,820,-34.848
1120,830,-32.763
1110,840,-33.411
1100,850,-35.495
1090,860,-30.906
1080,870,-30.957
1070,880,-33.142
1060,890,-33.933
1050,900,-30.388
1040,910,-31.19
1030,920,-33.42
1020,930,-31.389
1010,940,-31.299
1000,950,-32.154
990,960,-30.201
980,970,-31.887
970,980,-31.849
960,990,-31.267
950,1000,-30.714
940,1010,-32.119
930,1020,-31.928
920,1030,-31.111
910,1040,-31.713
900,1050,-31.306
890,1060,-32.824
880,1070,-33.403
870,1080,-31.482
860,1090,-30.902
850,1100,-32.469
840,1110,-31.742
830,1120,-32.134
820,1130,-30.972
810,1140,-31.647
800,1150,-31.317
790,1160,-28.525
780,1170,-30.368
770,1180,-29.783
760,1190,-29.453
750,1200,-29.21
740,1210,-27.847
730,1220,-28.401
720,1230,-31.818
710,1240,-31.175
700,1250,-30.591
690,1260,-31.808
680,1270,-30.677
670,1280,-29.034
660,1290,-30.87
650,1300,-30.392
640,1310,-28.862
630,1320,-30.485
620,1330,-31.78
610,1340,-31.809
600,1350,-29.674
590,1360,-30.846
580,1370,-30.651
570,1380,-30.556
560,1390,-31.974
550,1400,-30.219
540,1410,-28.55
530,1420,-29.214
520,1430,-30.529
510,1440,-31.455
500,1450,-29.709
490,1460,-30.072
480,1470,-30.778
470,1480,-30.523
460,1490,-29.329
450,1500,-28.433
440,1510,-30.521
430,1520,-31.218
420,1530,-30.527
410,1540,-28.804
400,1550,-28.514
390,1560,-28.096
380,1570,-29.853
370,1580,-30.491
360,1590,-31.869
350,1600,-32.422
340,1610,-32.13
330,1620,-31.373
320,1630,-28.71
310,1640,-29.958
300,1650,-30.02
290,1660,-29.214
280,1670,-29.826
270,1680,-30.09
260,1690,-29.621
250,1700,-30.016
240,1710,-30.333
230,1720,-30.493
220,1730,-31.623
210,1740,-32.842
200,1750,-33.941
190,1760,-34.078
180,1770,-30.964
170,1780,-30.542
160,1790,-32.2
150,1800,-31.023
140,1810,-31.107
130,1820,-31.547
120,1830,-31.812
110,1840,-31.349
100,1850,-31.153
90,1860,-32.779
80,1870,-32.617
70,1880,-32.797
60,1890,-30.693
50,1900,-32.554
40,1910,-31.943
30,1920,-31.655
20,1930,-30.766
10,1940,-31.071
0,1950,-30.411
-10,1960,-31.017
-20,1970,-31.26
-30,1980,-30.299
-40,1990,-29.47
-50,2000,-30.825
-60,2010,-31.21
