depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
12800,Carbon-14,109069,750,2700,NA,NA
26000,Carbon-14,109070,1100,3400,NA,NA
28400,Carbon-14,109071,600,3880,NA,NA
29000,Carbon-14,109072,700,5600,NA,NA
29200,Carbon-14,109073,700,5800,NA,NA
NA,Silicon-32,109074,100,20,NA,NA
NA,Silicon-32,109075,200,430,NA,NA
NA,Silicon-32,109076,300,630,NA,NA
NA,Silicon-32,109077,50,900,NA,NA
NA,Silicon-32,109078,100,1300,NA,NA
NA,Silicon-32,109079,110,1860,NA,NA
NA,Silicon-32,109080,300,2800,NA,NA
NA,Silicon-32,109081,550,4600,NA,NA
