age (yr BP),x_LABAndID_ (unitless),UpperDepth_cm_ (cm),LowerDepth_cm_ (cm),MaterialDated (unitless),x13C_12C_permil_ (permil),error (yr),x2SigmaCalibrationLower (unitless),x2SigmaCalibrationUpper (unitless),Rel_AreaUnderProb_Distribution (unitless),x_meanCalYr_ka_BP (yr)
3510,# BETA349650,150,152,Bulk Organic C,-22.3,30.0,3698.0,3864.0,1.0,3780.0
102.1,# BETA349651,266,267,Woody fragment,-25.5,0.3 pMc,-,Modern,-,reworked
6080,# BETA349652,390,393,Bulk Organic C,-22.4,40.0,6796.0,7027.0,0.926,6910.0
7570,# UCIAMS 128889,468,470,Bulk Organic C,too small,300.0,7786.0,9129.0,0.999,8460.0
11270,# BETA349653,569,570,Bulk Organic C,-22.8,50.0,13072.0,13310.0,1.0,13190.0
10040,# UCIAMS 145790,587,590,>125 um ostracods,NA,150.0,11197.0,12123.0,1.0,11660.0
11200,# BETA349654,728,730,Bulk Organic C,-22.4,50.0,12905.0,13259.0,1.0,13080.0
10850,# BETA349655,815,818,Bulk Organic C,-22.3,50.0,12603.0,12888.0,1.0,12750.0
