depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0.7,-40.9,NA,NA,13.552,10.532,N
12.7,170,NA,NA,13.779,10.759,N
18.7,276,NA,NA,14.275,11.255,N
34.7,564,NA,NA,14.291,11.271,N
49.8,847,NA,NA,13.061,10.041,N
66.8,1181,NA,NA,13.246,10.226,N
77.6,1403,NA,NA,13.457,10.437,N
87.6,1594,NA,NA,12.995,9.975,N
99.6,1880,NA,NA,12.909,9.889,N
111.6,2153,NA,NA,13.357,10.337,N
122.6,2410,11.404,NA,12.914,9.894,Y
139.6,2818,11.941,NA,13.451,10.431,Y
151,3098,11.975,NA,13.485,10.465,Y
162,3371,11.762,NA,13.272,10.252,Y
169,3547,10.664,NA,12.174,9.154,Y
177,3748,11.758,NA,13.268,10.248,Y
185,3950,12.093,NA,13.603,10.583,Y
192,4127,12.066,NA,13.576,10.556,Y
203,4405,12.165,NA,13.675,10.655,Y
212,4633,11.958,NA,13.468,10.448,Y
220,4834,13.283,NA,14.793,11.773,Y
226,4984,12.024,NA,13.534,10.514,Y
236,5232,12.386,NA,13.896,10.876,Y
242,5379,12.199,NA,13.709,10.689,Y
250,5574,12.206,NA,13.716,10.696,Y
258,5766,12.178,NA,13.688,10.668,Y
270,6048,11.489,NA,12.999,9.979,Y
281,6300,13.503,NA,15.013,11.993,Y
288,6456,11.921,NA,13.431,10.411,Y
300,6713,12.669,NA,14.179,11.159,Y
319.2,7107,11.167,NA,12.677,9.657,Y
329.2,7300,12.718,NA,14.228,11.208,Y
339.2,7485,10.562,NA,12.072,9.052,Y
345.2,7592,13.817,NA,15.327,12.307,Y
352.2,7712,11.142,NA,12.652,9.632,Y
361.2,7862,10.613,NA,12.123,9.103,Y
381.4,8174,11.575,NA,13.085,10.065,Y
390.4,8305,11.38,NA,12.89,9.87,Y
405.4,8493,12.492,NA,14.002,10.982,Y
426.4,8766,12.662,NA,14.172,11.152,Y
440.4,8925,11.814,NA,13.324,10.304,Y
454.4,9074,11.798,NA,13.308,10.288,Y
470.4,9234,12.053,NA,13.563,10.543,Y
482.4,9347,12.779,NA,14.289,11.269,Y
488.4,9401,10.897,NA,12.407,9.387,Y
519.4,9664,12.83,NA,14.34,11.32,Y
533,9771,12.256,NA,13.766,10.746,Y
565.1,10010,11.416,NA,12.926,9.906,Y
596.1,10224,12.359,NA,13.869,10.849,Y
620.5,10383,11.971,NA,13.481,10.461,Y
637.5,10489,10.427,NA,11.937,8.917,Y
672.6,10699,11.068,NA,12.578,9.557,Y
699.4,10853,11.819,NA,13.329,10.309,Y
725.4,10999,12.168,NA,13.678,10.658,Y
774,11280,12.017,NA,13.527,10.507,Y
801.8,11410,11.698,NA,13.208,10.188,Y
822.4,11519,10.604,NA,12.114,9.094,Y
879.4,11820,NA,11.404,12.57,9.55,N
931.4,12096,NA,11.941,11.645,8.625,N
972.4,12313,NA,11.975,11.881,8.861,N
1008.1,12503,NA,11.762,12.542,9.522,N
1083.4,12901,NA,10.664,12.36,9.34,N
