depth (m),age (BP),temperature (degC),temperature (degC),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol)
0.742,10,27.44,21.78,4.49,2.33
0.82,30,27.56,20.52,4.54,2.08
0.977,70,26.75,19.75,4.22,1.94
1.134,110,27.51,20.03,4.52,1.99
1.448,190,27.16,19.22,4.38,1.85
1.605,230,25.23,19.86,3.68,1.96
1.919,310,26.72,19.28,4.21,1.86
2.233,390,27.21,20.09,4.4,2
2.39,430,25.99,19.46,3.94,1.89
2.546,470,26.51,19.69,4.13,1.93
2.704,510,27.09,19.28,4.35,1.86
2.86,550,27.14,20.03,4.37,1.99
3.017,590,26.72,20.58,4.21,2.09
3.174,630,26.85,18.92,4.26,1.8
3.331,670,27.73,20.2,4.61,2.02
3.488,710,26.96,19.28,4.3,1.86
3.645,750,27.44,19.34,4.49,1.87
3.802,790,26.7,19.92,4.2,1.97
4.273,910,27.44,19.04,4.49,1.82
4.43,950,27.71,19.4,4.6,1.88
4.587,990,26.59,20.68,4.16,2.11
4.9,1070,26.78,20.42,4.23,2.06
5.214,1150,26.37,20.74,4.08,2.12
5.528,1230,27.34,19.92,4.45,1.97
5.842,1310,27.29,21.49,4.43,2.27
6.156,1390,26.8,21.05,4.24,2.18
6.47,1470,27.19,22.74,4.39,2.54
6.784,1550,26.67,21.05,4.19,2.18
7.097,1630,26.26,21.93,4.04,2.36
7.254,1670,27.14,22.07,4.37,2.39
7.411,1710,26.46,21.74,4.11,2.32
7.742,1790,26.59,20.63,4.16,2.1
8.078,1870,27.63,21.88,4.57,2.35
8.413,1950,27.09,22.96,4.35,2.59
8.749,2030,27.51,20.52,4.52,2.08
9.084,2110,27.16,21.74,4.38,2.32
9.42,2190,27.61,21.83,4.56,2.34
9.755,2270,27.51,20.84,4.52,2.14
10.091,2350,27.63,20.36,4.57,2.05
10.426,2430,27.46,21.05,4.5,2.18
10.761,2510,27.34,21.05,4.45,2.18
11.097,2590,28.39,21.2,4.89,2.21
11.432,2670,27.14,21.69,4.37,2.31
11.671,2750,27.63,19.98,4.57,1.98
11.814,2830,28.16,20.25,4.79,2.03
11.957,2910,27.8,19.58,4.64,1.91
12.029,2950,26.54,20.58,4.14,2.09
12.171,3030,26.54,19.63,4.14,1.92
12.243,3070,27.11,19.86,4.36,1.96
12.386,3150,26.98,19.58,4.31,1.91
12.529,3230,26.4,19.58,4.09,1.91
12.671,3310,27.04,20.52,4.33,2.08
12.814,3390,26.67,20.25,4.19,2.03
12.957,3470,26.72,20.2,4.21,2.02
13.1,3550,26.29,20.09,4.05,2
13.243,3630,27.09,21.2,4.35,2.21
13.386,3710,26.4,19.81,4.09,1.95
13.529,3790,26.96,19.4,4.3,1.88
13.671,3870,26.18,20.63,4.01,2.1
13.814,3950,26.48,20.63,4.12,2.1
13.957,4030,25.93,20.79,3.92,2.13
14.1,4110,25.76,19.34,3.86,1.87
14.243,4190,26.21,20.36,4.02,2.05
14.386,4270,25.61,20.52,3.81,2.08
14.529,4350,25.26,20.09,3.69,2
14.694,4430,25.87,20.14,3.9,2.01
14.883,4510,25.47,19.86,3.76,1.96
15.072,4590,26.04,19.22,3.96,1.85
15.261,4670,24.57,21.45,3.47,2.26
15.45,4750,25.17,20.42,3.66,2.06
15.616,4830,25.2,20.58,3.67,2.09
15.73,4910,24.48,20.31,3.44,2.04
15.844,4990,24.98,20.89,3.6,2.15
15.958,5070,25.23,21.88,3.68,2.35
16.072,5150,24.86,20.09,3.56,2
16.186,5230,24.73,20.74,3.52,2.12
16.3,5310,25.14,19.34,3.65,1.87
16.414,5390,25.08,19.52,3.63,1.9
16.528,5470,24.73,20.68,3.52,2.11
16.642,5550,24.73,19.52,3.52,1.9
16.756,5630,24.05,19.69,3.31,1.93
16.87,5710,24.41,19.81,3.42,1.95
16.984,5790,24.38,19.92,3.41,1.97
17.098,5870,24.35,18.28,3.4,1.7
17.212,5950,23.81,18.35,3.24,1.71
17.326,6030,24.41,18.98,3.42,1.81
17.44,6110,23.61,19.63,3.18,1.92
17.554,6190,23.46,19.86,3.14,1.96
17.668,6270,24.22,19.81,3.36,1.95
17.782,6350,25.08,19.86,3.63,1.96
17.896,6430,24.89,19.98,3.57,1.98
18.005,6510,23.78,19.86,3.23,1.96
18.109,6590,23.36,18.35,3.11,1.71
18.316,6750,23.03,19.75,3.02,1.94
18.419,6830,23.74,18.92,3.22,1.8
18.522,6910,23.5,19.1,3.15,1.83
18.626,6990,25.44,18.98,3.75,1.81
18.729,7070,23.46,19.28,3.14,1.86
18.833,7150,23.46,19.1,3.14,1.83
18.936,7230,23.25,18.86,3.08,1.79
19.04,7310,23.36,18.98,3.11,1.81
19.143,7390,23.61,18.98,3.18,1.81
19.247,7470,24.02,18.67,3.3,1.76
19.35,7550,23.85,19.4,3.25,1.88
19.454,7630,25.01,19.63,3.61,1.92
19.66,7710,23.88,19.04,3.26,1.82
19.873,7790,24.45,19.52,3.43,1.9
20.086,7870,23.78,19.52,3.23,1.9
20.3,7950,23.07,17.75,3.03,1.62
20.513,8030,23.43,19.4,3.13,1.88
20.726,8110,24.15,19.28,3.34,1.86
20.939,8190,24.67,19.16,3.5,1.84
21.152,8270,24.35,18.35,3.4,1.71
21.366,8350,24.77,20.68,3.53,2.11
21.579,8430,24.54,19.81,3.46,1.95
21.792,8510,23.5,20.42,3.15,2.06
22.005,8590,24.86,19.92,3.56,1.97
22.218,8670,24.18,20.47,3.35,2.07
22.432,8750,24.25,21.93,3.37,2.36
22.645,8830,24.02,19.69,3.3,1.93
22.858,8910,23.32,19.63,3.1,1.92
23.071,8990,24.35,19.63,3.4,1.92
23.285,9070,23.61,20.89,3.18,2.15
23.498,9150,25.01,20.52,3.61,2.08
23.711,9230,25.32,21.35,3.71,2.24
23.924,9310,23.1,19.86,3.04,1.96
24.137,9390,23.98,18.92,3.29,1.8
24.351,9470,24.35,19.69,3.4,1.93
24.564,9550,24.77,19.98,3.53,1.98
24.777,9630,23.92,20.42,3.27,2.06
24.99,9710,23.43,19.75,3.13,1.94
