year (AD),age (BP),MAR (g/cm2/yr)
1926.206,23.794,0.004
1905.808,44.192,0.01
1885.934,64.066,0.012
1864.562,85.438,0.012
1839.668,110.332,0.013
1809.23,140.77,0.012
1771.226,178.774,0.008
1723.634,226.366,0.006
1664.429,285.571,0.009
1591.59,358.41,0.003
1503.095,446.905,0.003
1396.92,553.08,0.002
1360.779,589.221,0.006
1321.631,628.369,0.004
1279.439,670.561,0.006
1270.087,679.913,0.018
1258.567,691.433,0.015
1245.043,704.957,0.015
1229.516,720.484,0.015
1211.985,738.015,0.011
1192.45,757.55,0.009
1170.911,779.089,0.009
1147.369,802.631,0.015
1121.823,828.177,0.017
1094.273,855.727,0.013
1064.719,885.281,0.01
1033.161,916.839,0.009
999.599,950.401,0.009
964.034,985.966,0.014
926.465,1023.535,0.018
904.169,1045.831,0.023
880.772,1069.228,0.021
840.585,1109.415,0.008
830.555,1119.445,0.032
820.525,1129.475,0.024
810.495,1139.505,0.028
800.465,1149.535,0.063
790.435,1159.565,0.055
780.405,1169.595,0.058
770.375,1179.625,0.037
760.345,1189.655,0.033
755.672,1194.328,0.126
751.005,1198.995,0.057
749.5,1200.5,0.112
748,1202,0.088
746.5,1203.5,0.134
745,1205,0.128
743.5,1206.5,0.159
742,1208,0.131
740.5,1209.5,0.12
739,1211,0.209
737.5,1212.5,0.142
723.5,1226.5,0.018
699.5,1250.5,0.015
675.5,1274.5,0.023
651.5,1298.5,0.029
627.5,1322.5,0.025
603.5,1346.5,0.021
572.738,1377.262,0.011
540.09,1409.91,0.007
505.424,1444.576,0.003
468.74,1481.26,0.008
430.037,1519.963,0.007
389.316,1560.684,0.004
346.577,1603.422,0.004
301.82,1648.18,0.005
255.045,1694.955,0.006
206.252,1743.748,0.004
155.44,1794.56,0.002
102.61,1847.39,0.001
47.762,1902.238,0.002
-9.104,1959.104,0.001
-67.989,2017.989,0.001
-128.892,2078.892,0.001
-191.812,2141.812,0.001
-256.752,2206.752,0.002
-397.959,2347.959,0.001
-541.184,2491.184,0.001
-593.011,2543.011,0.001
-646.876,2596.876,0.001
-661.918,2611.918,0.005
-677.021,2627.021,0.013
-692.021,2642.021,0.006
-706.917,2656.917,0.007
-721.71,2671.709,0.002
-736.398,2686.398,0.003
-750.983,2700.983,0.003
-765.464,2715.464,0.003
-779.842,2729.842,0.003
-794.115,2744.115,0.004
-808.286,2758.286,0.005
-822.352,2772.352,0.011
-836.315,2786.315,0.017
-850.174,2800.174,0.011
-863.929,2813.929,0.005
-891.493,2841.493,0.005
-918.278,2868.278,0.003
-945.334,2895.334,0.008
-972.659,2922.659,0.006
-1000.255,2950.255,0.005
-1028.121,2978.121,0.006
-1056.258,3006.258,0.004
-1084.664,3034.664,0.007
-1113.341,3063.341,0.006
-1142.289,3092.289,0.004
-1171.506,3121.506,0.006
-1200.994,3150.994,0.003
-1230.753,3180.753,0.004
-1260.781,3210.781,0.002
-1291.08,3241.08,0.004
-1326.532,3276.532,0.003
-1363.748,3313.748,0.003
-1402.353,3352.353,0.003
-1442.347,3392.347,0.007
-1483.731,3433.731,0.009
-1526.504,3476.504,0.005
-1570.667,3520.667,0.002
-1616.219,3566.219,0.005
-1663.16,3613.16,0.007
-1711.49,3661.49,0.008
-1761.21,3711.21,0.005
-1812.319,3762.319,0.004
-1864.817,3814.817,0.005
-1918.704,3868.704,0.004
-1973.981,3923.981,0.004
-2030.647,3980.647,0.006
-2088.703,4038.703,0.006
-2148.148,4098.148,0.009
-2208.982,4158.982,0.004
-2271.205,4221.205,0.003
-2334.818,4284.818,0.006
-2387.305,4337.305,0.007
-2425.429,4375.429,0.01
-2466.186,4416.186,0.01
-2500.785,4450.785,0.026
-2526.624,4476.624,0.027
-2553.615,4503.615,0.009
-2581.76,4531.76,0.009
-2611.059,4561.059,0.013
-2641.51,4591.51,0.023
-2673.115,4623.115,0.016
-2705.872,4655.872,0.018
-2739.783,4689.783,0.011
-2774.848,4724.848,0.006
-2811.065,4761.065,0.007
-2848.436,4798.436,0.014
-2886.959,4836.959,0.009
-2926.636,4876.636,0.006
-2967.467,4917.467,0.007
-3009.45,4959.45,0.007
-3052.587,5002.587,0.003
-3096.876,5046.876,0.002
-3142.319,5092.319,0.003
-3182.75,5132.75,0.004
-3222.508,5172.507,0.005
