age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),material_dated (),note ()
-45,635,6350,6350,NA,NA,0,2,NA,1
NA,691.75,6915,6920,2175,65,5,1,1,NA
NA,755.75,7555,7560,3425,80,5,1,1,NA
NA,827.75,8275,8280,4770,100,5,1,1,NA
NA,915.75,9155,9160,6935,95,5,1,1,NA
NA,969.75,9695,9700,8200,100,5,1,1,NA
NA,1015.75,10155,10160,10655,110,5,1,1,NA
