age (BP),year (AD),age (BP),depth (m),age (BP),Ratio (missing),CI (missing)
0,1950,0,0,NA,1.4,NA
125,1804,146,0.1,100,1.6,0.119
325,1605,345,0.2,100,2.9,0.125
450,1493,457,0.3,100,0.7,0.099
550,1378,572,0.4,100,2.2,0.067
700,1292,658,0.5,100,1.8,0.079
850,1150,800,0.6,100,2.2,0.09
1025,1009,941,0.75,100,1.8,0.114
1300,752,1198,1,100,2.4,0.098
1400,640,1310,1.1,100,1.1,0.096
1550,489,1461,1.2,100,3.3,0.096
1700,335,1615,1.3,100,1.5,0.121
1800,223,1727,1.4,100,2.4,0.117
1950,44,1906,1.5,100,2.3,0.123
2050,-86,2036,1.6,100,1.6,0.122
2300,-390,2340,1.75,100,1.4,0.154
2400,-560,2510,1.85,100,1.9,0.148
2600,-707,2657,1.95,100,2,0.142
2700,-890,2840,2.1,100,1.3,0.096
2800,-999,2949,2.2,100,2.3,0.124
2950,-1170,3120,2.3,100,2.4,0.139
3075,-1306,3256,2.4,100,1.5,0.127
3200,-1484,3434,2.5,100,3.1,0.116
3350,-1655,3605,2.6,100,1.5,0.119
3500,-1835,3785,2.7,100,2,0.126
3600,-1967,3917,2.8,100,0.8,0.144
3650,-2042,3992,2.85,100,1.2,0.136
3775,-2217,4167,2.9,100,0.4,0.154
3900,-2378,4328,3,100,0.9,0.143
4050,-2639,4589,3.1,100,0.7,0.158
4175,-2743,4693,3.2,100,0.9,0.127
4300,-2928,4878,3.3,100,0.8,0.161
4425,-3130,5080,3.4,100,2.3,0.159
4550,-3270,5220,3.5,100,1.1,0.167
4750,-3517,5467,3.6,100,1.25,0.111
4800,-3556,5506,3.8,100,2.8,0.122
4900,-3702,5652,3.9,100,1.8,0.125
4950,-3779,5729,4,100,1.9,0.114
5000,-3812,5762,4.1,100,1.4,0.108
5050,-3843,5793,4.2,100,0.7,0.105
5125,-3923,5873,4.3,100,1.5,0.117
5200,-4027,5977,4.4,100,2.6,0.148
5275,-4119,6069,4.5,100,3.1,0.115
5375,-4198,6148,4.6,100,2.5,0.116
5400,-4214,6164,4.7,100,3.5,0.117
5450,-4267,6217,4.8,100,2.1,0.125
5525,-4372,6322,4.9,100,2.6,0.098
5575,-4437,6387,5,100,2,0.09
5700,-4560,6510,5.1,100,3.6,0.111
5750,-4605,6555,5.2,100,4.8,0.108
5800,-4660,6610,5.3,100,3,0.114
5900,-4779,6729,5.4,100,2.3,0.128
5950,-4849,6799,5.5,100,2.4,0.12
6100,-5040,6990,5.6,100,1.5,0.14
6150,-5091,7041,5.7,100,3.3,0.126
6225,-5173,7123,5.9,100,3.9,0.121
6325,-5287,7237,6,100,4.6,0.127
6425,-5394,7344,6.1,100,4.8,0.083
6450,-5415,7365,6.2,100,5.5,0.084
6650,-5584,7534,6.3,100,5.9,0.073
6850,-5763,7713,6.4,100,4.4,0.093
7050,-5916,7866,6.5,100,9.4,0.095
7300,-6188,8138,6.6,100,7.2,0.109
7450,-6313,8263,6.7,100,4.2,0.093
7800,-6691,8641,6.9,100,3.2,0.149
8150,-7170,9120,7,100,4.1,0.139
8375,-7400,9350,7.15,100,5.7,0.119
8500,-7531,9481,7.25,100,4.2,0.081
8700,-7797,9747,7.3,100,7.4,0.15
8950,-8086,10036,7.4,100,5,0.15
9100,-8352,10302,7.5,100,9.3,0.113
9300,-8541,10491,7.6,100,9.4,0.143
9450,-8842,10792,7.7,100,6.7,0.202
9650,-9037,10987,7.8,100,6.5,0.164
9850,-9402,11352,7.9,100,10.6,0.146
10000,-9599,11549,8,100,7,0.205
10100,-9742,11692,8.1,100,0.6,0.243
10200,-9938,11888,8.2,100,0.4,0.247
10300,-10187,12137,8.3,100,0.6,0.269
10400,-10358,12308,8.4,100,0.7,0.214
10500,-10456,12406,8.5,100,0.3,0.205
10650,-10619,12569,8.6,100,1,0.152
10800,-10842,12792,8.75,100,1.8,0.099
10950,-10946,12896,8.9,100,1.1,0.112
11100,-11056,13006,9,100,0.7,0.142
11250,-11196,13146,9.1,100,0.9,0.134
11400,-11354,13304,9.3,100,0.6,0.155
11500,-11449,13399,9.4,100,0.7,0.14
11700,-11633,13583,9.5,100,1.05,0.157
11775,-11720,13670,9.6,100,0.7,0.164
11850,-11816,13766,9.7,100,0.45,0.16
12000,-12039,13989,9.8,100,0.4,0.232
12100,-12180,14130,9.9,100,0.6,0.265
12200,-12316,14266,10,100,0.9,0.274
12300,-12509,14459,10.1,100,1.1,0.361
12600,-12999,14949,10.4,100,0.7,0.321
