depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],d18O (permil v smow) [2-1]
340.9,41.651,9.185,340.9,46.62,-19.996
347.7,190.718,9.013,347.7,164.625,-22.065
354.1,331.017,8.825,360.3,391.565,-21.272
357.2,398.974,9.29,366.6,510.139,-20.74
363.45,535.984,8.807,372.8,630.583,-18.776
369.7,672.994,9.134,378.95,753.916,-21.346
378.95,875.77,9.638,387.95,941.322,-19.049
384.95,1007.299,10.199,391.1,1008.812,-20.061
394.1,1209.16,9.611,403.85,1291.68,-19.83
400.45,1353.769,10.828,410.1,1435.417,-20.679
407.1,1505.21,9.25,421.8,1712.144,-22.007
413.1,1641.849,9.707,428.1,1864.438,-19.314
421.8,1839.975,9.333,431.1,1937.621,-20.903
428.1,1983.445,10.697,439.95,2155.386,-18.194
434.1,2120.084,10.03,446.1,2307.861,-18.071
443.1,2325.042,9.801,449.1,2382.445,-19.461
449.1,2461.681,9.654,458.3,2611.454,-19.758
455.2,2605.663,9.733,467.6,2842.535,-19.648
461.2,2752.107,8.938,476.95,3073.545,-20.274
467.6,2908.314,10.23,483.2,3226.96,-19.775
473.8,3059.64,9.106,486.2,3300.293,-21.153
480.1,3213.406,9.774,496.45,3549.387,-21.787
483.2,3289.069,9.87,502.6,3698.016,-20.508
486.2,3362.291,8.618,505.7,3772.805,-20.05
489.45,3441.615,8.963,514.2,3935.675,-21.345
493.05,3529.482,9.72,520.6,4133.356,-17.557
496.45,3612.467,10.518,527.6,4305.346,-19.652
499.6,3689.35,9.476,535.1,4492.99,-19.737
502.6,3762.572,9.436,540.1,4620.616,-17.535
505.7,3838.235,9.682,549.2,4863.553,-18.743
509.05,3920,9.565,555.55,5042.057,-19.018
515.85,4081.596,8.518,568.1,5425.64,-18.37
521.95,4226.557,9.667,574.35,5574.798,-17.276
529.2,4398.846,9.496,586.3,6090.038,-19.289
536.85,4580.642,9.017,593.3,6392.07,-18.132
543.85,4746.99,9.935,598.775,6654.393,-16.721
550.7,4909.775,9.63,606.275,7049.842,-15.238
556.2,5040.477,10.035,612.05,7437.603,-17.672
563.6,5216.331,10.412,621.85,8047.125,-16.881
569.7,5423.805,11.008,629.725,8658.284,-17.865
575.85,5698.104,10.076,638.075,9403.307,-17.888
582.2,5981.324,10.511,NA,NA,NA
590.3,6342.596,9.726,NA,NA,NA
596.45,6616.896,9.775,NA,NA,NA
602.6,6891.195,9.867,NA,NA,NA
608.45,7215.543,10.252,NA,NA,NA
614.3,7606.657,9.83,NA,NA,NA
617.45,7817.257,10.013,NA,NA,NA
620.35,8011.143,9.376,NA,NA,NA
623.1,8195,9.662,NA,NA,NA
626.1,8463.701,9.072,NA,NA,NA
629.1,8732.402,9.473,NA,NA,NA
631.85,8978.711,9.83,NA,NA,NA
634.6,9225.02,10.713,NA,NA,NA
640.05,9713.159,10.526,NA,NA,NA
645.5,10201.299,11.087,NA,NA,NA
648.5,10470,11.473,NA,NA,NA
