depth (cm),age (BP),LOI (percent),calibrated (missing),carbonate (percent),Avg_MS (m),AVG_MS_DRS1_2A_3_2B_4 (m)
227.5,9363.795,55.323,CAL,3.232,-0.578,-0.385
228.5,9423.402,57.411,CAL,2.251,-0.565,-0.388
229.5,9483.888,57.167,CAL,4.833,-0.582,-0.412
230.5,9545.274,59.245,CAL,3.962,-0.633,-0.465
231.5,9607.583,55.556,CAL,3.564,-0.618,-0.443
232.5,9670.839,52.877,CAL,3.732,-0.535,-0.343
233.5,9735.064,50.953,CAL,3.466,-0.522,-0.345
234.5,9800.282,52.292,CAL,4.792,-0.523,-0.323
234.5,9800.282,40.482,CAL,11.802,-0.523,-0.323
235.5,9866.516,40.05,CAL,10.076,-0.48,-0.305
236.5,9933.79,39.767,CAL,12.209,-0.498,-0.333
237.5,10002.128,48.09,CAL,6.424,-0.482,-0.282
238.5,10071.554,44.904,CAL,6.474,-0.468,-0.235
239.5,10142.093,46.699,CAL,3.06,-0.47,-0.237
240.5,10213.769,51.154,CAL,5.329,-0.405,-0.165
241.5,10286.608,42.042,CAL,7.825,-0.34,-0.092
242.5,10360.634,36.518,CAL,12.042,-0.258,0.03
243.5,10435.873,42.044,CAL,8.926,-0.195,0.128
244.5,10512.35,47.578,CAL,5.698,-0.012,0.427
244.5,10512.35,45.817,CAL,6.821,-0.012,0.427
245.5,10590.092,33.507,CAL,15.817,0.332,0.945
246.5,10669.124,40.205,CAL,8.835,1.032,2.02
247.5,10749.472,32.361,CAL,16.812,2.23,3.792
248.5,10831.164,24.783,CAL,21.863,4.243,6.765
249.5,10914.225,9.766,CAL,3.698,6.275,9.762
250.5,10998.683,0,CAL,0,23.07,23.07
251.5,11084.565,0,CAL,0,27.37,27.37
252.5,11171.899,0,CAL,0,29.87,29.87
253.5,11260.711,4.326,CAL,1.099,33.52,33.52
254.5,11351.03,0,CAL,0,40.27,40.27
255.5,11442.884,0,CAL,0,51.71,51.71
256.5,11536.302,0,CAL,0,64.71,64.71
257.5,11631.311,7.131,CAL,2.916,79.06,79.06
258.5,11727.941,0,CAL,0,96.11,96.11
259.5,11826.22,0,CAL,0,111.96,111.96
260.5,11926.178,0,CAL,0,118.96,118.96
261.5,12027.844,1.313,CAL,1.122,112.16,112.16
262.5,12131.248,0,CAL,0,101.81,101.81
263.5,12236.42,0,CAL,0,90.26,90.26
264.5,12343.389,0,CAL,0,85.61,85.61
265.5,12452.187,2.318,CAL,1.124,85.2,85.2
266.5,12562.844,0,CAL,0,83.85,83.85
267.5,12675.39,0,CAL,0,79.6,79.6
268.5,12789.857,0,CAL,0,65.7,65.7
269.5,12906.275,2.286,CAL,1.033,43.05,43.05
