depth (cm),age (BP),temperature (degC),temperature (missing),temperatureComposite (degC),uncertainty (missing),uncertainty (missing),reliable (missing),uncertainty (missing),uncertainty (missing),reliable (missing)
3,5.047,8.173,10.564,0.047,10.349,5.997,Y,12.875,8.253,Y
4,7.025,7.026,5.957,-2.83,9.081,4.971,Y,8.05,3.864,Y
5,17.25,7.95,7.683,-1.505,10.026,5.875,Y,9.908,5.457,Y
7,19.997,7.902,9.776,-0.483,9.964,5.839,Y,12.075,7.478,Y
9,28.522,7.432,6.385,-2.413,9.548,5.317,Y,8.477,4.294,Y
10,43.3,6.752,5.825,-3.033,8.819,4.685,Y,7.921,3.729,Y
11,50.833,7.291,7.025,-2.164,9.545,5.037,Y,9.19,4.86,Y
12,58.367,7.276,7.941,-1.713,9.417,5.134,Y,10.352,5.529,Y
13,65.902,6.509,5.817,-3.159,8.624,4.395,Y,7.803,3.831,Y
14,73.098,7.2,6.238,-2.603,9.268,5.132,Y,8.262,4.215,Y
15,80.291,6.106,5.815,-3.361,8.233,3.979,Y,7.8,3.83,Y
16,89.662,6.905,6.055,-2.842,8.946,4.863,Y,8.095,4.015,Y
17,99.031,6.27,5.81,-3.282,8.338,4.201,Y,7.779,3.842,Y
18,112.918,7.765,8.784,-1.047,9.811,5.719,Y,11.02,6.548,Y
19,126.804,7.195,6.441,-2.504,9.235,5.155,Y,8.486,4.397,Y
20,144.97,7.397,6.345,-2.451,9.501,5.293,Y,8.369,4.321,Y
30,524.11,6.907,6.179,-2.779,8.954,4.86,Y,8.386,3.971,Y
35,724.635,7.675,7.719,-1.625,9.856,5.495,Y,9.984,5.454,Y
40,900.89,7.604,11.193,0.077,9.746,5.461,Y,13.296,9.09,Y
45,1020.59,9.435,11.17,0.981,11.452,7.418,Y,13.219,9.121,Y
50,1140.28,9.418,11.011,0.893,11.436,7.4,Y,13.042,8.98,Y
55,1260,9.279,11.338,0.987,11.33,7.227,Y,13.308,9.368,Y
60,1379.7,9.781,11.473,1.305,11.774,7.788,Y,13.469,9.478,Y
65,1499.39,9.081,11.462,0.95,11.067,7.095,Y,13.416,9.508,Y
70,1619.09,9.248,12.528,1.566,11.361,7.134,Y,14.524,10.532,Y
75,1710.31,7.378,7.354,-1.956,9.43,5.327,Y,9.638,5.07,Y
