year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
2004.8,-54.8,0.25,-14.53,-4.99
2004.3,-54.3,0.75,-14.81,-5.15
2003.8,-53.8,1.25,-14.82,-5.19
2003.3,-53.3,1.75,-14.9,-5.25
2003,-53,2.25,-14.72,-5.19
2002.8,-52.8,3.25,-14.87,-5.17
2002.3,-52.3,3.75,-14.88,-5.16
2001.5,-51.5,4.25,-14.59,-5.04
2000.5,-50.5,4.75,-14.77,-5.31
1999.8,-49.8,5.25,-14.8,-5.18
1999.3,-49.3,5.75,-14.68,-5.12
1998.5,-48.5,6.25,-14.85,-5
1997.5,-47.5,6.75,-14.87,-5.06
1996.5,-46.5,7.25,-14.65,-4.92
1995.5,-45.5,7.75,-14.68,-4.78
1994.5,-44.5,8.25,-14.78,-5.09
1993.5,-43.5,8.75,-14.55,-4.76
1992.8,-42.8,9.25,-14.86,-4.9
1992.3,-42.3,9.75,-14.57,-4.7
1991.5,-41.5,10.25,-14.83,-4.91
1990.5,-40.5,10.75,-14.69,-4.9
1989.8,-39.8,11.25,-14.61,-4.77
1989.3,-39.3,11.75,-14.73,-4.81
1988.3,-38.3,12.25,-14.67,-4.83
1986.8,-36.8,12.75,-14.59,-4.75
1985.5,-35.5,13.25,-14.69,-4.74
1984.5,-34.5,13.75,-14.67,-4.78
1983,-33,14.25,-14.74,-5.1
1981,-31,14.75,-14.7,-4.85
1979.3,-29.3,15.25,-14.67,-4.74
1977.8,-27.8,15.75,-14.52,-4.74
1976.3,-26.3,16.25,-14.71,-4.73
1974.8,-24.8,16.75,-14.73,-4.84
1973,-23,17.25,-14.58,-4.67
1971,-21,17.75,-14.73,-4.66
1968.3,-18.3,18.25,-14.69,-4.69
1964.8,-14.8,18.75,-14.54,-4.6
1961.8,-11.8,19.25,-14.54,-4.43
1959.3,-9.3,19.75,-14.46,-4.36
1956.3,-6.3,20.25,-14.54,-4.31
1952.8,-2.8,20.75,-14.53,-4.33
1948.2,1.8,21.25,-14.54,-4.29
1942.7,7.3,21.75,-14.53,-4.36
1937.2,12.8,22.25,-14.33,-4.34
1931.7,18.3,22.75,-14.47,-4.55
1924.5,25.5,23.25,-14.47,-4.64
1915.5,34.5,23.75,-14.28,-4.73
1883.1,66.9,25.55,-14.62,-4.77
1873.4,76.6,26.09,-14.57,-5.25
1859.2,90.8,26.88,-14.48,-5.36
1847.5,102.5,27.53,-14.6,-5.51
1836.6,113.4,28.14,-14.77,-5.68
1824.6,125.4,28.8,-14.86,-5.2
1814.2,135.8,29.38,-14.99,-5.36
1801.6,148.4,30.08,-14.47,-5.08
1791.3,158.7,30.65,-14.48,-5.01
1782.3,167.7,31.15,-14.36,-5.3
1773.3,176.7,31.65,-14.58,-5.41
1760.7,189.3,32.35,-14.51,-5.55
1750.3,199.7,32.93,-14.68,-4.59
1739,211,33.56,-14.33,-3.84
1728.3,221.7,34.15,-14.11,-3.79
1717.4,232.6,34.76,-14.17,-3.8
1705.3,244.7,35.43,-14.52,-4.57
1695.7,254.3,35.96,-14.45,-4.53
1683.8,266.2,36.62,-14.6,-4.85
1672.8,277.2,37.3,-14.61,-4.36
1665.1,284.9,37.85,-14.78,-4.19
1658.8,291.2,38.35,-14.64,-4.19
1652.8,297.2,38.85,-14.56,-3.96
1647.1,302.9,39.35,-14.64,-4.32
1641.6,308.4,39.85,-14.76,-4.42
1635.9,314.1,40.38,-14.64,-4.83
1630.6,319.4,40.85,-15.14,-4.7
1624.2,325.8,41.44,-15.2,-5.09
1617.3,332.7,42.06,-15.11,-5.34
1610.2,339.8,42.71,-14.96,-4.88
1603.2,346.8,43.31,-14.83,-4.2
1595.6,354.4,43.95,-14.91,-4.06
1588.9,361.1,44.55,-14.82,-4.18
1582.2,367.8,45.16,-14.71,-4.66
1574,376,45.91,-14.65,-4.58
1565.8,384.2,46.65,-14.79,-4.86
1560.3,389.7,47.15,-15.08,-5.15
1557,393,47.45,-14.84,-4.98
1554.3,395.7,47.7,-14.2,-4.89
1551,399,48,-14.82,-4.9
1547.6,402.4,48.29,-14.16,-3.83
1544.4,405.6,48.55,-14.66,-4.73
1543.6,406.4,48.61,-14.47,-4.23
1540.8,409.2,48.85,-14.52,-4.07
1538.4,411.6,49.05,-14.27,-3.78
1534,416,49.45,-14.92,-5.07
1533.4,416.6,49.51,-14.81,-4.6
1528.5,421.5,49.95,-14.99,-4.65
1523,427,50.45,-14.99,-4.79
1522.9,427.1,50.46,-15.18,-4.64
1518.8,431.2,50.84,-14.89,-5.17
1516.4,433.6,51.05,-15.15,-4.91
1514.2,435.8,51.25,-14.9,-5.05
1509.7,440.3,51.66,-15.18,-4.74
1504.5,445.5,52.14,-14.93,-4.77
1503.9,446.1,52.19,-14.89,-4.86
1499.9,450.1,52.55,-14.88,-4.98
1497.8,452.2,52.74,-14.89,-4.62
1490.5,459.5,53.38,-14.61,-4.34
1481.4,468.6,54.05,-14.73,-4.56
1463.4,486.6,54.61,-14.78,-4.74
1443.8,506.2,55.18,-14.69,-4.59
1418.7,531.3,55.79,-14.85,-4.76
1395.6,554.4,56.35,-14.68,-4.74
1370,580,56.98,-14.77,-4.9
1356.7,593.3,57.3,-14.91,-5.17
1348,602,57.51,-14.95,-5.13
1325.9,624.1,58.05,-14.71,-4.95
1305.4,644.6,58.55,-14.8,-5.01
1284.9,665.1,59.05,-14.61,-4.5
1262.4,687.6,59.6,-14.63,-5.16
1238.6,711.4,60.18,-14.58,-4.98
1214.5,735.5,60.75,-13.95,-3.52
1193.7,756.3,61.25,-14.45,-4.27
1171.2,778.8,61.8,-14.42,-4.22
1148.6,801.4,62.35,-14.44,-5.22
1125.6,824.4,62.91,-14.36,-7.08
1120.3,829.7,63.05,-14.67,-4.99
1107.1,842.9,63.45,-14.33,-5.35
1087.7,862.3,64.05,-14.4,-4.18
1074,876,64.6,-14.37,-4.12
1061.5,888.5,65.1,-14.57,-4.21
1047.7,902.3,65.65,-14.79,-4.6
1035.4,914.6,66.15,-14.69,-4.57
1020.4,929.6,66.78,-14.62,-5.21
1008.7,941.3,67.25,-14.34,-5.32
1007.5,942.5,67.3,-14.33,-5.38
996.2,953.8,67.75,-14.42,-5.3
984.1,965.9,68.24,-14.6,-5.04
972.5,977.5,68.7,-14.77,-4.96
958.7,991.3,69.25,-14.72,-4.71
945,1005,69.8,-14.63,-4.39
932.2,1017.8,70.31,-15.15,-5.31
918.7,1031.3,70.85,-14.95,-4.97
903.9,1046.1,71.45,-14.84,-5.08
890.9,1059.1,71.96,-14.87,-5.14
876.2,1073.8,72.55,-14.87,-5.16
863.7,1086.3,73.05,-14.98,-5.18
852.2,1097.8,73.51,-14.74,-4.65
841.2,1108.8,73.95,-14.82,-4.69
828.7,1121.3,74.45,-14.71,-5.29
816.2,1133.8,74.95,-14.69,-4.96
803.3,1146.7,75.45,-14.71,-5.83
787.6,1162.4,76.05,-14.73,-4.75
780.6,1169.4,76.3,-14.63,-5.12
772.9,1177.1,76.58,-14.46,-6.36
755.2,1194.8,77.2,-14.74,-5.05
739.2,1210.8,77.75,-14.68,-4.13
725,1225,78.25,-14.66,-4.32
713.4,1236.6,78.66,-14.5,-4.7
700.8,1249.2,79.12,-14.62,-4.44
689.6,1260.4,79.51,-14.27,-7.11
679.1,1270.9,79.89,-14.62,-3.98
663.7,1286.3,80.44,-14.38,-2.67
649.4,1300.6,80.95,-14.74,-4.51
633.1,1316.9,81.51,-14.95,-5.57
617.6,1332.4,82.05,-14.93,-4.81
610.6,1339.4,82.3,-14.66,-5.96
604.2,1345.8,82.53,-14.87,-4.86
589.9,1360.1,83.04,-14.95,-5.14
575.5,1374.5,83.56,-14.33,-6.61
561.6,1388.4,84.05,-14.7,-6.89
547.6,1402.4,84.55,-14.64,-6.7
533.5,1416.5,85.05,-14.53,-7.3
519,1431,85.55,-14.56,-7.73
504.6,1445.4,86.05,-14.92,-7.4
490.6,1459.4,86.55,-14.99,-8.21
476.6,1473.4,87.05,-14.93,-7.55
469.6,1480.4,87.3,-15,-6.6
465.4,1484.6,87.45,-14.82,-6.78
451.4,1498.6,87.95,-15.33,-6.61
437.4,1512.6,88.45,-14.82,-6.29
423.4,1526.6,88.95,-14.76,-6.16
356.6,1593.4,91.3,-14.02,-7.76
194.6,1755.4,97.05,-15.19,-6.14
46.3,1903.7,102.3,-15,-6.54
-94.1,2044.1,107.3,-15.26,-5.43
-259.4,2209.4,113.3,-15.17,-5.69
-397.4,2347.4,118.3,-14.45,-7.8
-508.1,2458.1,122.3,-15.01,-5.66
-598.8,2548.8,125.6,-14.63,-7.18
-646.1,2596.1,127.3,-15.22,-5.7
-709.2,2659.2,129.6,-15.04,-4.65
-784.1,2734.1,132.3,-14.48,-5.92
-847.2,2797.2,134.6,-15.06,-5.87
-922.1,2872.1,137.3,-14.92,-6.36
-985.2,2935.2,139.6,-15.26,-5.32
-1060.1,3010.1,142.3,-15.5,-5.11
-1123.2,3073.2,144.6,-15.19,-4.96
-1233.8,3183.8,148.6,-14.86,-6.71
-1399.2,3349.2,154.6,-14.24,-6.88
-1537.8,3487.8,159.6,-14.41,-5.58
-1680.4,3630.4,164.6,-15.05,-4.59
-1822.8,3772.8,169.6,-14.67,-4.83
-1965.4,3915.4,174.6,-14.94,-4.78
-2107.8,4057.8,179.6,-14.63,-5.38
-2250.4,4200.4,184.6,-15.82,-9.14
-2392.8,4342.8,189.6,-15.24,-4.92
