depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],depth (cm) [2-1],age (BP) [2-1],SBT (degC) [2-1],d18O (permil) [2-1],depth (cm) [3-1],age (BP) [3-1],Sea_Ice_months (months/year) [3-1],age (BP) [4-1],depth (cm) [4-1],temperature (degC) [4-1],salinity (psu) [4-1],Sea_Ice_months (months/year) [4-1],Sea_Ice_conc (0-10) [4-1],productivity (gcm2) [4-1],age (BP) [4-2],temperature (degC) [4-2]
3,52,0.23,4.211,1.6,275,0.29,4.195,0.4,69,7.1,415.43,4,7.184,31.246,4.277,3.381,172.504,415.43,3.086
8,137,0.12,4.241,2.4,412,0.18,4.225,1.4,241,9.4,579.07,14,6.831,31.382,4.343,3.433,167.452,579.07,2.813
12,206,0.17,4.228,2.6,447,0.23,4.211,2.4,412,9.1,742.71,24,6.414,28.022,4.83,3.88,207.61,742.71,2.746
24,412,-0.2,4.332,2.8,481,0.2,4.219,3.4,584,7.6,906.35,34,6.91,31.611,4.11,3.253,196.592,906.35,2.763
26,447,0.14,4.236,3.1,533,0.54,4.124,4.4,756,8.8,1070,44,5.957,29.942,5.722,4.569,179.104,1070,2.175
28,481,-0.02,4.282,3.4,584,0.04,4.265,5.4,928,9.1,1233.6,54,7.383,31.757,3.083,2.414,203.976,1233.6,3.096
31,533,0.34,4.179,3.6,618,0.24,4.209,6.4,1100,8.4,1397,64,8.667,31.907,2.946,2.322,212.334,1397,3.942
34,584,0.01,4.274,4.1,704,-0.16,4.322,7.4,1271,8.2,1558.8,74,6.266,29.006,5.352,4.288,158.843,1558.8,2.489
36,618,0.07,4.257,4.6,790,0.05,4.261,8.4,1443,9.1,1718.9,84,7.256,30.104,3.473,2.724,211.463,1718.9,3.232
41,704,-0.3,4.36,6.1,1048,-0.34,4.373,9.4,1615,8.9,1877.5,94,7.308,31.773,3.299,2.602,193.171,1877.5,3.16
46,790,-0.16,4.321,6.6,1134,0.14,4.235,10.4,1787,9.4,2034.4,104,3.397,29.638,8.314,6.568,126.133,2034.4,0.906
51,876,-0.3,4.362,7.6,1306,-0.1,4.305,11.4,1959,6.3,2189.6,114,6.24,31.481,4.851,3.875,191.459,2189.6,2.395
58,996,0.06,4.258,8.1,1392,0.04,4.265,12.4,2130,8.6,2343.3,124,6.603,29.582,4.582,3.66,184.523,2343.3,2.612
61,1048,-0.1,4.304,8.6,1477,-0.55,4.433,13.4,2302,6.6,2495.3,134,6.788,31.56,4.327,3.444,193.522,2495.3,2.815
66,1134,-0.05,4.289,9.1,1563,0.29,4.195,14.4,2474,9.1,2645.6,144,5.43,29.097,6.175,4.913,179.94,2645.6,1.984
71,1220,-0.31,4.365,10.6,1821,0.9,4.023,15.4,2646,8.8,2794.3,154,3.909,24.936,9.186,7.415,128.658,2794.3,1.096
76,1306,-0.15,4.318,10.85,1864,0.17,4.229,16.4,2818,8.9,2941.4,164,4.688,26.501,7.944,6.366,145.463,2941.4,1.495
81,1392,0.13,4.239,11.1,1907,-0.12,4.309,17.4,2989,7.7,3086.9,174,6.676,30.832,5.666,4.465,185.069,3086.9,2.537
86,1477,-0.34,4.372,11.85,2036,0.03,4.268,18.4,3161,8.4,3230.7,184,1.274,31.798,8.934,7.193,91.402,3230.7,-0.174
91,1563,1.2,3.938,12.1,2079,0.03,4.267,19.4,3333,8.1,3372.9,194,6.102,31.416,5.105,4.085,188.456,3372.9,2.311
