depth (cm),age (yr BP),CAMS# (unitless),error (yr),calAge (yr BP),1sgma (yr)
5.5,475,# 152757,30,*assumed post-bomb,NA
41.5,1565,# 152758,30,916.0,46
90.5,2465,# 152759,30,1868.0,49
150.5,3030,# 152760,35,2649.0,55
200.5,4395,# 152761,30,4292.0,62
220.5,4765,# 156467,35,4790.0,59
260.5,5485,# 152762,30,5640.0,42
340.5,6790,# 156468,35,7143.0,57
420.5,9430,# 152763,35,10036.0,80
460.5,10045,# 156469,40,10794.0,112
520.5,11730,# 152764,40,13020.0,85
560.5,12910,# 156470,45,14557.0,265
580.5,14160,# 159387,40,16721.0,109
600.5,15370,# 156471,70,17886.0,146
640.5,16570,# 152765,60,19264.0,122
680.5,21150,# 159388,70,24526.0,171
700.5,23160,# 156472,160,26963.0,307
780.5,27170,# 156473,260,31104.0,162
840.5,29180,# 156474,340,33901.0,454
900.5,34930,# 152766,450,38372.0,667
