year (AD),age (BP),depth (mm),d18O (permil),sampleID (missing),d13C (permil)
1578,372,0,-5.6,Jeita-3,-10.02
1574,376,2,-5.72,Jeita-3,-10.99
1570,380,4,-5.77,Jeita-3,-10.07
1567,383,6,-5.94,Jeita-3,-9.92
1563,387,8,-5.46,Jeita-3,-10.11
1559,391,10,-5.4,Jeita-3,-10.1
1557,393,11,NA,Jeita-3,NA
1555,395,12,-5.67,Jeita-3,-10.51
1551,399,14,-5.87,Jeita-3,-10.86
1547,403,16,-5.73,Jeita-3,-10.5
1544,406,18,-5.61,Jeita-3,-10.71
1540,410,20,-5.61,Jeita-3,-10.33
1536,414,22,-5.77,Jeita-3,-10.99
1532,418,24,-5.72,Jeita-3,-10.58
1528,422,26,-5.67,Jeita-3,-10.9
1524,426,28,-5.37,Jeita-3,-11
1521,429,30,-5.56,Jeita-3,-10.77
1517,433,32,-5.46,Jeita-3,-10.48
1513,437,34,-5.45,Jeita-3,-10.3
1509,441,36,-5.46,Jeita-3,-10.64
1505,445,38,-5.43,Jeita-3,-10.81
1501,449,40,-5.26,Jeita-3,-10.59
1498,452,42,-5.19,Jeita-3,-10.54
1494,456,44,-5.44,Jeita-3,-10.55
1490,460,46,-5.62,Jeita-3,-10.37
1486,464,48,-5.45,Jeita-3,-11
1480,470,49,-5.02,Jeita-3,-11.2
1474,476,50,-5.24,Jeita-3,-11.18
1468,482,51,-5.37,Jeita-3,-11.23
1463,487,52,-5.31,Jeita-3,-11.16
1457,493,53,-5.41,Jeita-3,-11.25
1451,499,54,-5.5,Jeita-3,-10.75
1445,505,55,-5.53,Jeita-3,-10.74
1439,511,56,NA,Jeita-3,NA
1433,517,57,-5.2,Jeita-3,-10.28
1427,523,58,-5.28,Jeita-3,-10.45
1422,528,59,-5.34,Jeita-3,-10.68
1416,534,60,-5.49,Jeita-3,-10.51
1410,540,61,-5.5,Jeita-3,-10.63
1404,546,62,-5.23,Jeita-3,-10.64
1398,552,63,-5.34,Jeita-3,-10.45
1392,558,64,-5.41,Jeita-3,-10.63
1387,563,65,-5.75,Jeita-3,-10.67
1381,569,66,-5.6,Jeita-3,-10.64
1375,575,67,-5.43,Jeita-3,-10.84
1369,581,68,NA,Jeita-3,NA
1368,582,69,-5.55,Jeita-3,-10.77
1366,584,70,-5.52,Jeita-3,-10.61
1365,585,71,-5.34,Jeita-3,-10.61
1364,586,72,-5.47,Jeita-3,-11.05
1361,589,74,-5.6,Jeita-3,-11
1358,592,76,-5.49,Jeita-3,-10.62
1356,594,78,-5.67,Jeita-3,-10.88
1353,597,80,-5.51,Jeita-3,-10.98
1350,600,82,-5.72,Jeita-3,-10.71
1348,602,84,-5.7,Jeita-3,-10.63
1345,605,86,-5.67,Jeita-3,-10.59
1342,608,88,-5.84,Jeita-3,-10.72
1340,610,90,-5.69,Jeita-3,-10.83
1337,613,92,-5.43,Jeita-3,-11.12
1335,615,94,-5.7,Jeita-3,-11.06
1332,618,96,-5.56,Jeita-3,-11.27
1330,620,98,-5.71,Jeita-3,-11.02
1328,622,100,-5.87,Jeita-3,-11.21
1326,624,102,-5.82,Jeita-3,-10.99
1323,627,104,-6.01,Jeita-3,-10.8
1321,629,106,-5.86,Jeita-3,-10.91
1319,631,108,-5.92,Jeita-3,-10.85
1317,633,110,-5.83,Jeita-3,-11.06
1314,636,112,-5.7,Jeita-3,-11.09
1312,638,114,-5.85,Jeita-3,-10.87
1310,640,116,-5.85,Jeita-3,-11.13
1308,642,118,-5.63,Jeita-3,-11.25
1305,645,120,NA,Jeita-3,NA
1303,647,122,NA,Jeita-3,NA
1301,649,124,-5.54,Jeita-3,-10.8
1299,651,126,-5.59,Jeita-3,-10.88
1296,654,128,-5.46,Jeita-3,-10.98
1294,656,130,-5.58,Jeita-3,-11.04
1292,658,132,-5.64,Jeita-3,-10.95
1290,660,134,-5.86,Jeita-3,-10.82
1287,663,136,-5.8,Jeita-3,-10.57
1285,665,138,-5.54,Jeita-3,-10.1
1282,668,140,-5.35,Jeita-3,-10.23
1279,671,142,-5.35,Jeita-3,-10.27
1277,673,144,-5.84,Jeita-3,-10.59
1274,676,146,-5.71,Jeita-3,-11.1
1271,679,148,-5.43,Jeita-3,-10.88
1268,682,150,-5.61,Jeita-3,-10.79
1265,685,152,-5.79,Jeita-3,-11.05
1262,688,154,-5.49,Jeita-3,-10.65
1260,690,156,-5.52,Jeita-3,-11.05
1257,693,158,-5.09,Jeita-3,-11.06
1254,696,160,-5.4,Jeita-3,-10.94
1251,699,162,-5.03,Jeita-3,-10.94
1248,702,164,-5.26,Jeita-3,-11.06
1247,703,165,NA,Jeita-3,NA
1240,710,166,-5.71,Jeita-3,-10.64
1233,717,167,-5.68,Jeita-3,-10.9
1226,724,168,-5.54,Jeita-3,-10.99
1213,737,170,-5.51,Jeita-3,-10.62
1206,744,171,-5.44,Jeita-3,-11.02
1199,751,172,-5.56,Jeita-3,-10.53
1192,758,173,-5.53,Jeita-3,-11.13
1185,765,174,-5.45,Jeita-3,-10.92
1171,779,176,-5.53,Jeita-3,-11.06
1165,785,177,-5.38,Jeita-3,-11.16
1158,792,178,-5.37,Jeita-3,-10.97
1151,799,179,-5.16,Jeita-3,-10.68
1144,806,180,-5.39,Jeita-3,-10.8
1137,813,181,-5.12,Jeita-3,-11.07
1130,820,182,-5.17,Jeita-3,-11.02
1123,827,183,-5.29,Jeita-3,-11.05
