year (AD),age (BP),d18O (permil)
1799.06,150.94,-5.958
1733.02,216.98,-6.104
1657.55,292.45,-5.747
1600.94,349.06,-5.622
1525.47,424.53,-4.54
1412.26,537.74,-5.681
1270.75,679.25,-3.953
1148.11,801.89,-4.37
1016.04,933.96,-4.69
883.96,1066.04,-4.537
761.32,1188.68,-4.219
638.68,1311.32,-5.283
534.91,1415.09,-5.391
487.74,1462.26,-5.42
459.43,1490.57,-5.604
440.57,1509.43,-3.681
421.7,1528.3,-2.609
412.26,1537.74,-2.744
402.83,1547.17,-2.928
393.4,1556.6,-3.614
336.79,1613.21,-3.634
317.92,1632.08,-4.233
261.32,1688.68,-4.417
185.85,1764.15,-4.447
110.38,1839.62,-4.39
34.91,1915.09,-4.11
-50,2000,-4.652
-144.34,2094.34,-4.556
-219.81,2169.81,-4.654
-295.28,2245.28,-4.915
-380.19,2330.19,-4.907
-399.06,2349.06,-5.341
-446.23,2396.23,-6.038
-483.96,2433.96,-6.695
-540.57,2490.57,-6.367
-568.87,2518.87,-6.068
-616.04,2566.04,-5.16
-682.08,2632.08,-4.977
-766.98,2716.98,-4.862
-861.32,2811.32,-4.882
-936.79,2886.79,-5.018
-1012.26,2962.26,-5.193
-1087.74,3037.74,-4.546
-1163.21,3113.21,-4.624
-1248.11,3198.11,-4.818
-1323.58,3273.58,-4.665
-1408.49,3358.49,-4.878
-1483.96,3433.96,-4.56
-1568.87,3518.87,-4.831
-1644.34,3594.34,-4.996
-1729.25,3679.25,-4.92
-1804.72,3754.72,-4.853
-1889.62,3839.62,-5.076
-1955.66,3905.66,-5.173
-2050,4000,-4.749
-2125.47,4075.47,-5.262
-2191.51,4141.51,-5.397
-2285.85,4235.85,-5.418
-2370.75,4320.75,-5.38
-2436.79,4386.79,-5.226
-2521.7,4471.7,-5.797
-2597.17,4547.17,-5.15
-2682.08,4632.08,-4.774
-2757.55,4707.55,-4.987
-2823.58,4773.58,-5.075
-2899.06,4849.06,-5.511
-2965.09,4915.09,-5.444
-3012.26,4962.26,-5.077
-3097.17,5047.17,-5.078
-3163.21,5113.21,-5.088
-3238.68,5188.68,-5.224
-3314.15,5264.15,-5.292
-3370.75,5320.75,-5.245
-3446.23,5396.23,-5.622
-3512.26,5462.26,-5.178
-3578.3,5528.3,-5.643
-3634.91,5584.91,-5.315
-3719.81,5669.81,-5.316
-3776.42,5726.42,-5.22
-3861.32,5811.32,-5.443
-3917.92,5867.92,-5.82
-3993.4,5943.4,-5.917
-4068.87,6018.87,-6.304
-4125.47,6075.47,-6.45
-4200.94,6150.94,-6.789
-4266.98,6216.98,-6.171
-4342.45,6292.45,-6.027
-4408.49,6358.49,-5.574
-4474.53,6424.53,-5.854
-4550,6500,-5.932
-4616.04,6566.04,-6.155
-4682.08,6632.08,-6.011
-4748.11,6698.11,-6.108
-4814.15,6764.15,-6.022
-4899.06,6849.06,-6.11
-4946.23,6896.23,-6.323
-5031.13,6981.13,-6.372
-5087.74,7037.74,-6.672
-5163.21,7113.21,-6.402
-5229.25,7179.25,-6.586
-5304.72,7254.72,-6.548
-5361.32,7311.32,-6.327
-5436.79,7386.79,-6.714
-5502.83,7452.83,-6.106
-5568.87,7518.87,-6.725
-5644.34,7594.34,-6.368
-5719.81,7669.81,-6.06
-5776.42,7726.42,-6.34
