year (AD),age (BP),d18O (permil)
1974,-24,-6.47
1914,36,-6.47
1854,96,-6.58
1794,156,-6.36
1734,216,-6.2
1674,276,-6.08
1614,336,-6.09
1555,395,-6.05
660,1290,-6.08
634,1316,-6.02
607,1343,-6.15
581,1369,-6.12
555,1395,-6.08
529,1421,-6.09
503,1447,-6.16
477,1473,-6.16
451,1499,-6.15
425,1525,-6.01
399,1551,-5.94
373,1577,-5.88
347,1603,-6.08
321,1629,-6.1
294,1656,-6.25
268,1682,-6.08
242,1708,-6.1
217,1733,-6.11
194,1756,-5.93
170,1780,-6.03
146,1804,-6.07
122,1828,-6.06
99,1851,-6.11
75,1875,-6.3
51,1899,-6.1
28,1922,-6.1
4,1946,-6.15
-20,1970,-6.1
-650,2600,-6.41
-717,2667,-6.17
-784,2734,-6.07
-851,2801,-6.24
-918,2868,-6.1
-985,2935,-6.03
-1052,3002,-6
-1119,3069,-6.04
-1186,3136,-6.07
-1252,3202,-5.88
-1319,3269,-6.2
-1386,3336,-5.97
-1453,3403,-6.02
-1520,3470,-6.08
-1587,3537,-5.94
-1636,3586,-6.2
-1667,3617,-6.07
-1698,3648,-6.1
-1729,3679,-6.02
-1759,3709,-6
-1790,3740,-5.92
-1821,3771,-5.99
-1852,3802,-6.14
-1883,3833,-5.99
-1914,3864,-5.97
-1945,3895,-6.03
-1967,3917,-5.98
-1982,3932,-5.98
-1996,3946,-5.93
-2010,3960,-5.97
-2025,3975,-6.08
-2039,3989,-6.09
-2053,4003,-6.01
-2068,4018,-5.99
-2082,4032,-5.9
-2096,4046,-5.84
-2111,4061,-5.88
-2125,4075,-5.86
-2139,4089,-6
-2154,4104,-5.97
-2168,4118,-6.06
-2182,4132,-5.82
-2197,4147,-5.97
-2211,4161,-5.89
-2225,4175,-6.09
-2240,4190,-5.92
-2254,4204,-6.05
-2268,4218,-6.06
-2283,4233,-6.11
-3285,5235,-6.1
-3304,5254,-5.76
-3323,5273,-6.02
-3341,5291,-5.7
-3360,5310,-5.91
-3379,5329,-5.89
-3398,5348,-5.95
-3416,5366,-5.86
-3435,5385,-5.93
-3454,5404,-5.8
-3473,5423,-5.92
-3491,5441,-5.73
-3510,5460,-5.76
-3529,5479,-5.75
-3548,5498,-5.75
-4083,6033,-5.68
-4115,6065,-5.72
-4147,6097,-5.56
-4179,6129,-5.73
-4211,6161,-5.7
-4243,6193,-5.74
-4276,6226,-5.47
-4308,6258,-5.64
-4340,6290,-5.55
-4370,6320,-5.65
-4399,6349,-5.67
-4428,6378,-5.56
-4457,6407,-5.59
-4485,6435,-5.59
-4514,6464,-5.84
-4543,6493,-5.89
-4572,6522,-5.82
-4600,6550,-5.91
-4629,6579,-5.99
-4658,6608,-5.91
-4687,6637,-5.81
-4715,6665,-5.95
-4744,6694,-5.92
-4773,6723,-5.86
-4802,6752,-5.9
-4830,6780,-5.93
-4859,6809,-6.01
-4888,6838,-6.05
-4917,6867,-6.17
-4945,6895,-5.81
-4972,6922,-5.71
-4997,6947,-5.73
-5021,6971,-5.99
-5046,6996,-5.93
-5070,7020,-5.97
-5095,7045,-6.13
-5119,7069,-5.98
-5144,7094,-5.99
-5169,7119,-5.86
-5193,7143,-5.89
-5218,7168,-5.73
-5242,7192,-5.66
-5267,7217,-5.74
-5291,7241,-5.75
-5316,7266,-5.88
-5341,7291,-5.88
-5365,7315,-5.62
-5390,7340,-5.55
-5414,7364,-5.68
-5439,7389,-5.62
-5462,7412,-5.58
-5485,7435,-5.88
-5508,7458,-5.93
-5531,7481,-5.81
-5553,7503,-5.89
-5576,7526,-5.93
-5599,7549,-5.85
-5622,7572,-5.78
-5645,7595,-5.88
-5668,7618,-5.85
-5691,7641,-5.98
-5714,7664,-5.87
-5737,7687,-5.67
-5760,7710,-5.75
-5783,7733,-5.8
-5806,7756,-5.73
-5829,7779,-5.64
-5852,7802,-5.66
-5875,7825,-5.63
-5898,7848,-5.53
