age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (age_error),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-50,0,0,0,NA,NA,NA,NA,0,2,8,NA,1
NA,22.75,220,235,1111,30,1049,979,15,1,1,3,NA
NA,70.5,700,710,3490,35,3819,3716,10,1,2,2,NA
NA,91.5,910,920,4280,40,4870,4829,10,1,3,3,NA
NA,128.5,920,1650,6950,40,7826,7723,730,1,4,1,NA
NA,172.25,1645,1800,7460,40,8342,8210,155,1,5,1,NA
NA,181.5,1795,1835,7480,50,8365,8214,40,1,6,3,NA
NA,228.5,2280,2290,8720,50,9744,9571,10,1,7,3,NA
